Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL compact ;;;;IN1-10;Ceiling panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 12:05:14
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;426;86.06;22.16;;;56.42;11.79;17.79;;128.72;;20.18;0.0088;Projection of particles and cracking of the surface. Raising. Glowing. End flame at 692s.
;2011-07-18;c_LSFIRE_IN-1-10_25b;4.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;3.061275701;56.42;0
3;2.68295982;56.14891562;0
5;2.234440066;56.39579755;0
7;1.676316077;56.50650953;0
9;1.893446415;56.36322096;0
11;1.569434837;56.30916577;0
13;1.544750491;56.3457188;0
15;1.616020162;56.37322902;0
17;1.476236923;56.16252657;0
19;1.37796557;56.41199891;0
21;1.028557597;56.39172858;0
23;0.711288562;56.27240626;0
25;0.543287351;56.35203239;0
27;0.561413931;56.37684214;0
29;0.500129468;56.29598339;0
31;0.22373701;56.29835172;0
33;0.48389409;56.34934605;0
35;0.257788252;56.39823454;0
37;0.212493529;56.3787819;0
39;0.211366615;56.40936808;0
41;0.05053053;56.34839151;0
43;-0.14540306;56.33545944;0
45;-0.277028498;56.30243822;0
47;-0.391191259;56.36114289;0
49;-0.401486362;56.19144961;0
51;-0.073526989;56.3310145;0
53;-0.128876838;56.32209784;0
55;-0.016471037;56.33898978;0
57;0.021188652;56.32734586;0
59;-0.118612754;56.33309257;0
61;-0.16170553;56.28713831;0
63;-0.234523518;56.19865103;0
65;0.60049369;56.17800619;0
67;-0.114654885;56.27648984;0.007078041
69;-0.613314265;56.25155444;0.007078041
71;-0.261765456;56.1000953;0.007078041
73;0.048899068;56.20325912;0.007078041
