Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL compact ;;;;IN1-10;Ceiling panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 12:07:54
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;457;66.93;23.55;;;56.43;11.37;18.47;;112.01;;19.62;0.0088;Projection of particles and cracking of the surface. Raising. Glowing. End flame at 898s.
;2011-07-18;c_LSFIRE_IN-1-10_25c;4.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.25270837;56.43;0
3;4.552752103;56.56707237;0
5;4.437196114;56.50028041;0
7;3.622613505;56.44282151;0
9;2.856529979;56.41760852;0
11;2.891880163;56.4489968;0
13;2.182073311;56.71808784;0
15;1.631050403;56.56891425;0
17;0.940236309;56.44608886;0
19;0.51986027;56.52773706;0
21;0.102442232;56.56445616;0
23;0.306538083;56.32373442;0
25;-0.065648949;56.40787465;0
27;-0.550318395;56.28468936;0
29;-0.795528924;56.16492435;0
31;-0.532779576;56.48871977;0
33;-0.423581343;56.11390324;0
35;-0.293754833;56.36948073;0
37;-0.758271372;56.44718269;0
39;-0.859840936;56.52841547;0
41;-0.677313907;56.54280077;0
43;-0.688003953;56.48413701;0
45;-0.675002046;56.52593756;0
47;-0.911903592;56.44368011;0
49;-0.758134203;56.52438643;0
51;-0.339699271;56.51528957;0
53;-0.308633647;56.49886857;0
55;-0.484136596;56.41064379;0
57;-0.57620004;56.36747327;0
59;-0.573900565;56.43886163;0
61;-0.266200804;56.48892772;0
63;0.006694376;56.45025621;0
65;0.107773547;56.43473568;0
67;0.251707385;56.52704453;0
69;0.41178331;56.467716;0
71;0.68537751;56.43670174;0
73;0.839756743;56.39570427;0
75;0.429765699;56.2390127;0
