Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Woolfabric, mixed fabric;;;;IN8-1;Curtains and sunblind in passenger and staff areas;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 12:35:45
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;29;130.83;6.33;;;3.97;3.50;15.74;;127.25;;46.39;0.0088;Distortion. End flame at 138s.
;2011-07-19;c_LSFIRE_IN-8-1_25a;0.5;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;2.589413216;3.97;0
3;1.593314906;4.21689868;0
5;0.580881623;3.87037345;0
7;0.416910637;3.99724542;0
9;0.407747357;3.90333352;0.00327716
11;0.453099269;3.87484915;0.016940641
13;0.951854505;3.90428125;0.040299007
15;1.227545251;3.88416028;0.067486177
17;1.357746791;3.81158006;0.10471634
19;1.397681176;3.72625843;0.131616776
21;1.421286017;3.63107285;0.169003569
23;0.60785151;3.59934247;0.228314577
25;2.15842614;3.65824929;0.462748381
27;1.525356271;3.71843811;0.795801716
29;-1.883200481;3.59493576;1.134362825
31;-5.73356219;3.37719603;1.401638147
33;24.41912652;3.51638995;1.74000953
35;67.9727383;3.43506204;1.908961008
37;104.3517653;3.21844598;2.070866597
39;125.3632666;2.93197808;2.328534627
41;130.8301513;2.79049376;2.513537711
43;123.5995401;2.71921176;2.664244934
45;119.804984;2.60348389;2.656274422
47;110.4784866;2.58355552;2.479715036
49;100.3289388;2.43361474;2.245054465
51;90.25641876;2.35971037;2.156168704
53;81.63628346;2.33633321;1.90298078
55;79.68448868;2.25921711;1.800212077
57;74.32102472;2.22441434;1.729434296
59;71.22535559;2.20351185;1.612792444
61;65.71189279;2.15879282;1.481893495
63;61.35989258;2.13904039;1.43168863
65;57.77107965;2.16086423;1.317445531
67;54.3936238;1.99080849;1.258897652
69;49.70579662;1.86108359;1.219489217
71;45.40247166;1.8746857;1.122667299
73;42.11558386;1.89828139;1.031755994
75;38.9466574;1.67520572;0.977027331
77;36.45881043;1.75044442;0.870499073
79;33.95724693;1.73549131;0.743831209
81;32.04870191;1.62726662;0.742631345
83;30.93151809;1.79143362;0.678022882
85;29.5183517;2.10757068;0.636467396
87;27.91930845;1.61838698;0.616319798
89;26.30340662;1.59342224;0.564957239
91;23.71254758;1.50358278;0.448766194
93;21.25334122;1.57046871;0.36498312
95;21.10969727;1.60252272;0.285653987
97;21.75412065;1.56055986;0.197276431
99;22.09097806;1.46879622;0.165393408
101;21.96905718;1.53668221;0.110882374
103;22.58546109;1.47007823;0.099747748
105;21.27060273;1.45169485;0.111871183
107;19.28030026;1.40795226;0.107288226
109;16.63050892;1.44399213;0.086523062
111;15.56653278;1.51077251;0.07570887
113;15.0261085;1.39486824;0.059506811
115;13.76457552;1.33729391;0.020264913
117;12.55475729;1.42199189;0.018386078
119;12.02269231;1.3758427;0.027851285
121;11.27141776;1.37858081;0.046188975
123;10.58178812;1.43735798;0.056309681
125;9.130663194;1.3250002;0.067857459
127;8.19309201;1.33737308;0.067761626
129;7.529933934;1.42073859;0.063147876
131;7.164693924;1.36277719;0.045944141
133;5.835885941;1.33194223;0.03781767
135;5.007349663;1.27506006;0.023411498
137;4.34535803;1.34808753;0.019532545
139;3.848298626;1.30562418;0.024764908
141;3.362124105;1.36621812;0.03200306
143;2.557917769;1.30684554;0.033361862
145;1.8337098;1.41551794;0.035691697
147;1.621970724;1.33327656;0.034877647
149;1.918713743;1.35795194;0.027100287
151;1.735660218;1.34626336;0.020352723
153;1.482268994;1.40739159;0.021791865
155;1.405793429;1.33618042;0.01946203
157;1.395441331;1.35491659;0.020611674
159;1.487049047;1.38431444;0.013287946
161;1.406113833;1.32909347;0.010686218
163;1.160269657;1.27047417;0.005400057
165;1.009948892;1.3168257;0.008616475
167;1.1418328;1.36229013;0.013011949
169;1.002035493;1.29840574;0.013011949
171;0.992302719;1.30714555;0.011707293
173;0.759394631;1.2796617;0.011792585
175;0.362792356;1.30753261;0.009863731
177;0.410256642;1.37514498;0.005886379
179;0.618370734;1.2547576;0.008284246
181;0.739105162;1.29940579;0.00656017
183;0.627510044;1.23943596;0.005253197
185;0.448894136;1.25065091;0.003965633
187;0.36944023;1.31223471;0.002397867
189;0.295049764;1.22521253;-2.27596E-16
191;0.415050727;1.2123049;-2.27596E-16
193;0.584657462;1.30795393;-2.27596E-16
195;0.412735482;1.19687816;-2.27596E-16
197;0.202953709;1.29113175;-2.27596E-16
199;0.061334395;1.05260295;-2.27596E-16
201;0.414647016;1.44132764;-2.27596E-16
203;0.416566772;1.45432462;-2.27596E-16
205;0.321848045;1.30187259;0.004372427
207;0.253224567;1.26006761;0.004372427
209;0.063316964;1.26062041;0.004372427
211;-0.046949184;1.2335838;0.004588089
213;0.321180191;1.09800674;0.004588089
215;0.390239465;1.21928119;0.000215662
217;0.372671067;1.16083829;0.000999904
219;0.283427255;1.17260558;0.000999904
221;-0.071554176;1.22455416;0.000784241
223;0.05695632;1.28352347;0.000784241
225;0.325218647;1.18966482;0.00264907
227;0.37491209;1.18428629;0.008814922
229;0.108095765;1.29682881;0.008814922
231;0.261644617;1.21408694;0.008814922
233;0.216517275;1.26398217;0.008814922
235;0.10229147;1.18303067;0.006950093
237;0.354303768;1.25036385;-2.26208E-16
239;0.551776303;1.16409449;0.004507334
241;0.346978449;1.25897218;0.005408105
243;0.340897521;1.01746869;0.005408105
245;0.167706746;1.20925104;0.005408105
247;0.350794422;1.32597109;0.005408105
249;0.326320463;1.25706884;0.000900771
251;0.538958511;1.21881774;0.004968925
253;0.549311515;1.0902091;0.004968925
255;0.24477002;1.08988501;0.004968925
257;0.189193103;1.09156195;0.004968925
