Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Woolfabric, mixed fabric;;;;IN8-1;Curtains and sunblind in passenger and staff areas;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 12:38:36
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;27;143.13;7.60;;;4.03;3.56;19.79;;115.29;;54.00;0.0088;Distortion. End flame at 185s.
;2011-07-19;c_LSFIRE_IN-8-1_25b;0.5;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.690725383;4.03;0.009996547
3;3.060129525;3.75706087;0.00897059
5;2.569431052;3.94854851;0.007944632
7;2.69240793;3.97455013;0.016030743
9;2.707348719;3.90138655;0.024765639
11;2.423693228;3.7022979;0.05478593
13;2.559450847;3.84480901;0.102200229
15;2.059272441;3.680023;0.157896482
17;1.80385421;3.71517808;0.179219154
19;1.753790112;3.68545022;0.218191882
21;2.023781991;3.75139967;0.274976272
23;1.86953019;3.60317494;0.40735847
25;-0.057011157;3.65020922;0.36584724
27;0.546358226;3.66608068;0.444479307
29;20.21687835;3.62136486;0.625248833
31;50.97124119;3.52519822;0.898794759
33;81.43691523;3.23537404;1.230137063
35;111.7262302;3.06930065;1.827266583
37;130.5158541;2.99574338;2.318220712
39;143.1289972;2.78618621;2.69377518
41;141.1479802;2.66153396;2.833704039
43;133.3552529;2.60118503;2.770262375
45;123.7385589;2.43089607;2.610672787
47;110.2984488;2.20782426;2.372777598
49;101.1167518;2.22493747;2.237266431
51;91.7359802;2.12970968;2.157844264
53;83.6622045;1.76958165;2.049592135
55;80.85506819;1.99501998;1.944674533
57;77.21321769;1.99183598;1.879100383
59;69.89956342;1.27186633;1.639595152
61;63.91764792;2.13156892;1.399728752
63;57.7575535;1.78619826;1.325797369
65;53.84776481;1.66905382;1.1664465
67;48.49619254;1.64246287;0.940229793
69;42.60789509;1.64896728;0.766831726
71;37.76005631;1.57462652;0.617973636
73;32.75534627;1.63158756;0.379758187
75;29.24655186;1.61771369;0.260436028
77;25.71474926;2.16032784;0.222313896
79;22.95570884;1.41508229;0.190057909
81;20.2142676;1.57891247;0.181391843
