Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 12:49:43
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;367;76.68;3.40;;;1.83;1.45;20.23;;175.22;;4.77;0.0088;Distortion. Melting. Glowing. Flashing from 239s. End flame at 461s. 
;2011-07-18;c_LSFIRE_IN-8-3_25b;0.4;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;0.928114275;1.83;0.008154211
3;0.460228552;1.86544556;0.017711948
5;0.685913699;1.9452816;0.043289525
7;0.336563462;1.76616955;0.052963372
9;0.1348732;1.70326295;0.055152351
11;0.09594186;1.75379121;0.060973355
13;0.277369506;1.76708366;0.0611636
15;0.156681026;1.81367981;0.051225121
17;0.354233528;1.74763443;0.052921947
19;0.184187323;1.79634469;0.056184781
21;-0.035416975;1.28035077;0.056876127
23;0.124241712;1.7823787;0.057470501
25;0.124107413;1.7453825;0.055573097
27;0.474412512;1.72987464;0.057384668
29;0.269718481;1.7429455;0.056154085
31;0.031271047;1.71311176;0.054740171
33;-0.21154283;1.76394537;0.061671901
35;0.173242348;1.79859711;0.069606769
37;0.233568822;1.70909636;0.07422634
39;0.09479563;1.78220338;0.078138091
41;-0.286680649;1.80201251;0.083330675
43;-0.275966547;1.83531669;0.083291674
45;-0.247866509;1.84356907;0.078923446
47;-0.090858127;1.96107533;0.08145974
49;0.052385836;1.87122394;0.091280991
51;0.065383748;1.67314333;0.089082594
53;-0.366201477;1.78397561;0.085497005
55;-0.513713659;1.87276532;0.086883662
57;-0.141201182;1.78221263;0.085362983
59;0.035801712;1.78548972;0.08227998
61;0.08745548;1.71607521;0.094116569
63;0.03814815;1.80348912;0.096784477
65;-0.217608355;1.67451865;0.097484406
67;-0.235612712;1.74594548;0.101897161
69;-0.095185035;1.79399097;0.110117919
71;0.046448119;1.74668379;0.115272943
73;0.203175022;1.70161978;0.118045664
75;0.085084272;1.76217266;0.118864872
