Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyester fabric;;;;IN8-3;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 12:51:56
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;285;118.08;5.10;;;1.82;1.61;28.52;;298.46;;8.01;0.0088;Distortion. Melting. Glowing. Flashing from 176s. End flame at 339s. 
;2011-07-18;c_LSFIRE_IN-8-3_25c;0.4;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;0.997137024;1.82;0.135333906
3;1.352069275;1.90427509;0.150633614
5;1.428419998;1.70460053;0.161223611
7;1.315699216;1.77465341;0.166709811
9;1.146445746;1.72699036;0.173426676
11;0.842842557;1.81130763;0.174644785
13;1.000325573;1.78083367;0.173214541
15;1.066191012;1.72433782;0.179665156
17;0.720999379;1.8471936;0.18630507
19;0.598031672;1.74483943;0.183669345
21;0.365908949;1.85188304;0.177000743
23;0.455451355;1.89531056;0.173821563
25;1.042331298;2.215814;0.168364722
27;1.11861174;1.74997973;0.160528171
29;0.933979166;1.80905638;0.1609311
31;0.723573367;1.75416701;0.158351291
33;0.294476002;1.76407239;0.150910649
35;0.489953197;1.77321171;0.147298658
37;0.542536093;1.76776533;0.156634882
39;0.935267248;1.76215375;0.159259814
41;0.815228519;1.7490341;0.167516983
43;0.514588667;1.77004744;0.169759492
45;0.291136696;1.81026157;0.165772814
47;0.374473931;1.80604168;0.165628468
49;0.32555721;1.76841575;0.16463685
51;0.754792709;1.5732328;0.16637874
53;0.62175876;1.72533562;0.16997169
55;0.609187263;1.75089753;0.167528251
57;0.599822232;1.73163979;0.157068005
59;0.346022905;1.85054177;0.157206039
61;0.454037322;1.80506997;0.15492871
