Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Solid acrylic;;;;IN10A-2;Curtain;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 12:57:00
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;451;109.19;57.26;;;204.27;33.90;15.86;;0.58;;47.66;0.0088;Flashing from 372s. End flame > 1200s.;2011-07-19;c_LSFIRE_IN-10A-2_25a;12.3;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;1.393564375;204.27;0.006747095
3;1.54969577;204.3124779;0.006384855
5;1.248972763;204.2836331;0.006022615
7;1.006393417;204.3503811;0.005660376
9;1.143295606;204.3902692;0
11;1.354372572;204.4953825;0
13;1.677032983;204.3528656;0
15;2.05820897;204.4265093;0
17;1.972847742;204.3256771;0
19;1.527386148;204.1644479;0
21;1.10647125;204.3957571;0
23;0.727055701;204.4335802;0
25;1.066384503;204.3953785;0
27;1.014613214;204.4017271;0
29;1.230087493;204.3991324;0
31;1.005808141;204.3484238;0
33;0.652087854;204.3927513;0
35;0.394538092;204.4375802;0
37;0.404887586;204.4604075;0
39;0.733365443;204.4558832;0
41;0.719666258;204.2368042;0
43;0.518019821;204.3612088;0
45;0.334408606;204.4115281;0
47;0.033412035;204.419365;0
49;-0.117364676;204.4309554;0
51;0.154560043;204.5595557;0
53;0.386960759;204.3926683;0
55;0.270169051;204.3654244;0
57;0.524290772;204.3975838;0
59;0.099156574;204.4007309;0
61;0.064300206;204.508185;0
63;-0.077135053;204.4606561;0
65;-0.220711174;204.396696;0
67;-0.049822986;204.3881692;0
69;0.096129306;204.4593007;0
71;0.220967977;204.4328025;0
73;0.37006887;204.4704023;0
75;0.150997743;204.4782664;0
77;0.059339417;204.4121834;0
79;0.341216777;204.4294651;0
81;0.581835286;204.4401496;0
83;0.560650291;204.4104494;0
85;0.31025209;204.3796172;0
87;0.211238661;204.5587577;0
89;-0.020530605;204.5314565;0
91;0.00905024;204.535208;0
93;0.10942437;204.5268444;0
95;0.311724452;204.4684649;0
97;0.00324861;204.438737;0
99;-0.345166087;204.3905755;0
101;-0.599228939;204.4506662;0
103;-0.681874632;204.5121647;0
105;-0.316455159;204.4220976;0
107;-0.096019537;204.3438971;0
109;-0.285055752;204.3411369;0
111;-0.448660724;204.4227277;0
113;-0.647801971;204.265867;0
115;-0.780915962;204.3726312;0
117;-0.650987705;204.5018714;0
119;-0.279130795;204.2802253;0
121;-0.310462767;204.4109737;0
123;-0.573592837;204.5416415;0
125;-0.827777324;204.4635012;0
127;-0.754148101;204.4336054;0
129;-0.484202602;204.4182908;0
131;-0.472437059;204.4019552;0
133;-0.340444412;204.3764779;0
135;-0.203845689;204.4070062;0
137;-0.836080438;204.3672861;0
139;-0.90820933;204.4516648;0
141;-0.281124041;204.4091567;0
143;-0.401993384;204.2933065;0
145;-0.240238254;204.2557669;0
147;-0.603850739;204.4497604;0
149;-0.513039337;204.4646682;0
151;-0.894122277;204.418848;0
153;-0.725746004;204.2993313;0
155;-0.166614817;204.3589477;0
157;-0.03966076;204.4733052;0
159;-0.166836309;204.4283709;0
161;-0.416468219;204.510102;0
163;-0.529346967;204.3930697;0
165;-0.667641252;204.4607507;0
167;-0.217098815;204.3814488;0
169;0.33742387;204.3409257;0
171;0.784505255;204.3833536;0
173;0.652031078;204.3808138;0
175;0.133816061;204.3903619;0
177;0.362690337;204.4141553;0
179;0.430444864;204.3568777;0
181;0.398316074;204.3798706;0
183;0.39729847;204.3893886;0
185;-0.008725897;204.3996314;0
187;-0.204512078;204.409182;0
189;-0.001997155;204.3340504;0
191;0.120021014;204.3331946;0
193;0.358342789;204.3750449;0
195;0.275786181;204.3304145;0
197;0.071232503;204.3861163;0
199;-0.020609696;204.3769196;0
201;0.23916978;204.5103229;0
203;0.466452335;204.2769156;0
205;0.588582637;204.3055119;0
207;0.387738887;204.3296363;0
209;0.212550599;204.3036648;0
211;0.156120233;204.4223786;0
213;0.855347322;204.3434102;0
215;1.017796531;204.2877084;0
217;0.739730526;204.2779093;0
219;0.448714645;204.2947215;0
221;0.469921317;204.3225727;0
223;0.937398552;204.2813345;0
225;0.930401828;204.1148082;0
227;0.946784579;204.2146467;0
229;0.576978115;204.1300171;0
231;0.493108723;204.2400639;0
233;0.688485758;204.1917315;0
235;1.451391923;204.075525;0
237;1.371118978;204.1783717;0
239;1.751117467;204.0167892;0
241;1.631040812;204.1836791;0
243;1.336246208;204.2856729;0
245;1.328573059;204.2002709;0
247;1.20756189;203.8072907;0
249;1.06228919;204.027198;0
251;1.122902416;204.0916197;0
253;1.16391085;204.1189185;0
255;1.348475467;204.0882522;0
257;1.286244327;203.989937;0
259;0.919020201;203.9985789;0
261;0.655869745;203.9679704;0
263;0.751399087;203.9864089;0
265;0.738294126;204.0073012;0
267;1.130137068;204.0283043;0
269;1.140121275;203.8585488;0
271;1.097325169;203.915272;0
273;1.574166616;203.8879179;0
275;1.831864455;203.8449157;0
277;2.219675002;203.9268148;0
279;1.777329398;203.8297918;0
281;1.59940548;203.8135039;0
283;1.775728477;203.8121791;0
285;1.727378779;203.882731;0
287;2.124569241;203.7923329;0
289;2.183049329;203.8210369;0
291;1.742573615;203.7920542;0
293;1.546278478;203.6886249;0
295;1.672821599;203.7390825;0
297;1.782806561;203.7132489;0
299;1.834974542;203.6538208;0
301;1.712251443;203.6591228;0
303;2.111693951;203.6678127;0
305;2.22692054;203.703726;0
307;2.074034808;203.599469;0
309;2.205141177;203.4928125;0
311;2.067587316;203.563613;0
313;1.78968286;203.5089048;0
315;1.913539313;203.5164151;0
317;2.256490459;203.6753807;0
319;2.457568587;203.176578;0
321;2.262697157;203.4481341;0
323;2.051886316;203.4207247;0
325;1.911685872;203.4522744;0
327;2.068426621;203.4029212;0
329;2.092254975;203.4466108;0
331;1.579263694;203.3139784;0
333;1.314197442;203.323727;0
335;1.406400682;203.3997143;0
337;2.092397346;203.2544998;0
339;1.903694802;203.2875675;0
341;1.935737298;203.1794183;0
343;1.526751955;203.2102228;0
345;1.333676653;203.1955407;0
347;1.780617629;203.1637454;0
349;1.927982877;203.0564845;0
351;1.49193548;203.0925284;0
353;1.487612242;203.1357262;0
355;1.110516295;203.0684535;0
357;1.186800174;203.0467305;0
359;1.439753914;202.9265492;0
361;1.620940509;202.9370381;0
363;2.150760047;202.8781644;0
365;1.66045633;202.9079423;0
367;1.67826253;202.8822217;0
369;1.630446147;202.8810377;0
371;2.164201283;202.8354107;0
373;2.455201658;202.8317117;0
375;2.27721118;202.8439671;0
377;2.055984326;202.8520298;0
379;1.866430583;202.8453171;0
381;2.382063807;202.7424728;0
383;2.952352109;202.6192025;0
385;3.163983143;202.6855865;0
387;2.937486378;202.5558269;0
389;2.820207334;202.5458351;0
391;2.809796351;202.6277317;0
393;3.490252756;202.4633312;0
395;3.819821385;202.8293655;0
397;4.141915226;202.4035963;0.001597488
399;4.295285026;202.4991314;0.001597488
401;4.24139829;202.3921191;0.001597488
403;4.432090476;202.3852486;0.001597488
405;4.824431132;202.3984152;0.001597488
407;5.037313174;202.2825096;0
409;4.862189891;202.2517298;0
411;4.633321379;202.3046442;0
413;5.147877416;202.1801541;0
415;5.636964461;202.2964461;0.000361282
417;6.71805449;202.1271319;0.000361282
419;6.961226015;202.0963055;0.000361282
421;6.24095302;201.9865548;0.000361282
