Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Solid acrylic;;;;IN10A-2;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 13:02:09
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;415;102.11;54.75;;;203.85;35.48;14.61;;1.79;;45.57;0.0088;Flashing from 379s. End flame > 1200s.;2011-07-19;c_LSFIRE_IN-10A-2_25c;12.3;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;1.739551154;203.85;0
3;2.254020513;203.8452476;0
5;3.023546528;203.9302078;0
7;2.712574333;203.7940453;0
9;1.974450726;203.8871207;0
11;1.300059782;203.9721333;0
13;1.351627293;203.9707785;0
15;1.582865926;203.955625;0
17;1.002148312;203.9046203;0
19;0.508241539;203.9049266;0
21;0.435711067;204.0049025;0
23;0.767450919;204.0738811;0
25;1.228709554;204.0042399;0
27;0.895844774;203.855601;0
29;0.49373112;204.0049073;0
31;0.642200654;204.0099035;0
33;0.512075251;203.9939495;0
35;0.303461663;203.9701008;0
37;0.133346721;203.9111397;0
39;0.406270673;203.9491507;0
41;0.442393461;204.0668223;0
43;0.359808691;203.9518002;0
45;-0.01714762;203.9373919;0
47;-0.01717626;204.0459246;0
49;0.333395185;204.0329789;0
51;0.457157071;204.0121943;0
53;0.569600424;203.8957426;0
55;0.360899558;204.0157826;0
57;0.114498842;203.9799848;0
59;0.042713539;204.0450964;0
61;0.378256785;203.8323897;0
63;0.065739238;203.5993125;0
65;-0.017417901;204.0347405;0
67;-0.017301466;203.9904111;0
69;0.036259404;204.1027002;0
71;0.304107284;204.0357944;0
73;0.309228053;203.9565255;0
75;0.092734292;203.9566332;0
77;-0.017452179;203.7953249;0
79;-0.017343437;203.9987821;0
81;0.241610191;204.2689498;0
83;-0.017325284;203.9708183;0
85;-0.016916893;203.9467191;0
87;-0.017301014;203.9717246;0
89;-0.017574709;203.9477152;0
91;0.297848563;204.0213031;0
93;0.556354838;203.9568794;0
95;0.132236704;204.0002175;0
97;-0.017389228;203.9934849;0
99;0.064558203;203.9564701;0
101;0.396179483;203.9759023;0
103;0.445249241;203.979295;0
105;-0.017633513;204.171488;0
107;-0.017351941;204.1193746;0
109;-0.017561839;204.0144001;0
111;-0.017291284;203.9463628;0
113;0.002480649;203.9926543;0
115;-0.017406116;203.969443;0
117;-0.017708285;203.9709338;0
119;-0.017121141;204.0276541;0
121;-0.01741019;203.9619857;0
123;-0.017527313;203.9525682;0
125;-0.016974272;203.9980874;0
127;-0.017235779;204.0369561;0
129;-0.017570223;204.3642358;0
131;-0.017298376;204.751999;0
133;-0.017903729;204.2029571;0
135;-0.017583292;203.9868329;0
137;-0.017281883;203.9477225;0
139;-0.01727393;203.6997151;0
141;-0.017357999;203.8206688;0
143;-0.017263517;203.90458;0
145;-0.01741228;204.024455;0
147;-0.017055733;203.9421166;0
149;-0.017267138;204.0200409;0
151;-0.017813795;203.9676488;0
153;-0.017521676;204.0128341;0
155;-0.017553749;203.9336729;0
157;-0.017270341;203.8873512;0
159;-0.017616961;203.9620983;0
161;-0.017761805;203.9885669;0
163;-0.017133023;203.9046004;0
165;-0.017502883;203.9501745;0
167;-0.017048118;203.9413438;0
169;-0.017391514;203.9776411;0
171;-0.017071923;203.5860459;0
173;-0.017118734;204.0103248;0
175;-0.017161678;203.8430519;0
177;-0.017077127;203.9254199;0
179;-0.017042526;203.854203;0
181;-0.017185316;204.1004395;0
183;-0.017187398;203.9213019;0
185;-0.017141473;203.8130731;0
187;-0.017583436;203.8037963;0
189;-0.017495997;204.1019575;0
191;-0.017528163;203.8250775;0
193;-0.01707566;203.8259911;0
195;-0.017480889;203.9805115;0
197;-0.017145538;203.9118067;0
199;-0.017262805;203.9080227;0
201;-0.01743475;203.809841;0
203;-0.016682143;203.9560764;0
205;-0.017338902;204.132596;0
207;-0.017338336;203.9041334;0
209;-0.017251447;203.966628;0
211;-0.017483269;203.9684518;0
213;-0.017669084;203.8554729;0
215;-0.017503886;203.8058439;0
217;-0.017300504;203.8988086;0
219;-0.017666388;203.8050682;0
221;0.074089533;203.8031939;0
223;-0.017471484;203.8242222;0
225;-0.017002522;203.9883208;0
227;-0.017298149;204.0259429;0
229;-0.017402899;203.8837905;0
231;-0.018057028;203.7575922;0
233;-0.01700317;203.7753432;0
235;-0.01756137;203.8208596;0
237;-0.017379508;203.7363134;0
239;-0.017247282;203.7762816;0
241;0.067337213;203.747078;0
243;0.15350456;203.6627202;0
245;0.065277485;203.6345409;0
247;-0.017541047;203.6573129;0
249;-0.017270964;203.7351488;0
251;-0.017221465;203.7157497;0
253;-0.017397775;203.6537847;0
255;0.008286927;203.5777425;0
257;0.151387804;203.4815181;0
259;-0.017103713;203.5891925;0
261;-0.017420987;203.6346535;0
263;-0.017855741;203.5645987;0
265;0.072033924;203.506827;0
267;0.261604761;203.5407777;0
269;-0.017200838;203.4986541;0
271;-0.017030827;203.4872293;0
273;-0.017250222;203.5617283;0
275;-0.017305544;203.2718478;0
277;-0.017020816;203.5453622;0
279;-0.017632277;203.4379314;0
281;-0.01703596;203.402269;0
283;-0.017246721;203.4570296;0
285;-0.017169535;203.1393809;0
287;-0.017235455;203.4043943;0
289;-0.009212836;203.3245433;0
291;-0.016949605;203.290178;0
293;-0.017552769;203.4644068;0
295;-0.01711247;203.3465449;0
297;-0.017051279;203.3758557;0
299;-0.017461249;203.3463463;0
301;0.021898601;203.2763721;0
303;-0.009881105;203.1845914;0
305;-0.016674981;203.2027236;0
307;0.130495613;203.2071678;0
309;0.255664661;203.2723371;0
