Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Synthetic rubber;Glue;Plywood;;IN16-1;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 13:23:52
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;525;132.10;52.69;;;140.29;46.22;12.34;;589.84;;43.80;0.0088;Flashing from 462s. Splits and raising of the surface. End flame > 1200s.
;2011-07-13;c_LSFIRE_IN-16-1_25a;14.8;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.309373872;140.29;0
3;6.062086181;140.2276923;0
5;6.33865454;140.215795;0
7;6.673229689;140.2422449;2.40791E-05
9;6.544256826;140.2943682;2.40791E-05
11;6.0904272;140.3249183;2.40791E-05
13;5.124864763;140.2815587;2.40791E-05
15;3.70203376;140.3091784;2.40791E-05
17;2.270387652;140.2801302;0
19;1.427893289;140.3223749;0
21;0.678009159;140.247921;0
23;0.408937258;140.3144398;0
25;0.494784355;140.2018886;0.005205009
27;0.427102911;140.2357096;0.005205009
29;0.54806656;140.2015468;0.005895738
31;0.394934768;140.4206589;0.005895738
33;0.236910356;140.5431908;0.008392926
35;-0.140690511;140.2074996;0.009228042
37;-0.398422098;140.3017485;0.014515133
39;-0.42191264;140.2257382;0.013854143
41;-0.521792112;140.2838157;0.018930217
43;-0.879834797;140.2690332;0.021117484
45;-1.287979322;140.3031965;0.020723634
47;-1.222846122;140.2695953;0.018927749
49;-1.506636039;140.5779346;0.025889355
51;-1.567977292;140.0919159;0.030098543
53;-1.637485371;140.1111118;0.028179234
55;-1.643989671;140.3074251;0.029234801
57;-1.492655563;140.2989099;0.036192809
59;-1.361824129;140.2012138;0.038864498
61;-1.176378426;140.4579083;0.04407238
63;-1.143409769;140.2900714;0.05505713
65;-1.142822061;140.2250818;0.064636448
67;-1.241082956;140.2555488;0.056808703
69;-1.05668293;140.1969093;0.063941857
71;-0.902331525;140.2935722;0.059287484
73;-0.549477217;140.2704695;0.068659223
75;-0.35487772;140.3073784;0.071903117
77;-0.372143451;140.1610058;0.086269692
79;-0.552491627;140.2276077;0.091288246
81;-0.507663218;140.0728395;0.093865068
83;-0.576986961;140.0821652;0.089336176
85;-0.574621609;140.1669766;0.081176275
87;-0.350976046;140.2039682;0.076428883
89;-0.496463268;140.1909375;0.073101507
91;-0.326462158;140.1679077;0.078109566
93;-0.200817494;140.1245845;0.080937652
95;-0.015056198;140.0184111;0.078262387
97;0.125632573;140.1469978;0.085631908
99;0.050414883;140.1147614;0.075160162
101;-0.033392275;139.9815298;0.068568601
103;-0.13140381;140.0820446;0.061693268
105;-0.164878013;140.0892971;0.062661232
107;-0.120932885;140.0259849;0.048883796
109;0.318034565;140.0396706;0.049241325
111;0.284782183;140.0245472;0.047282363
113;0.214906308;140.0494572;0.04057664
115;0.138907266;140.1120313;0.039014376
117;-0.079029028;140.1222609;0.040084626
119;-0.013041925;140.1832781;0.035533741
121;0.016428336;140.157981;0.034738483
123;0.239248775;140.1928804;0.031074723
125;0.33004529;140.2109615;0.030118918
127;0.132994885;140.2050729;0.027806908
129;0.08063998;140.1993583;0.034775081
131;0.037442114;140.1282501;0.043690638
133;-0.08465988;140.0651874;0.050763966
135;-0.110083964;140.1219468;0.057041189
137;-0.100946619;139.9743216;0.069708928
139;-0.421685818;140.0256898;0.080376985
141;-0.395982777;140.0912585;0.089185466
143;-0.153428433;139.8957106;0.092904774
145;-0.14053953;140.031752;0.102875179
147;-0.077368098;140.1278344;0.105960264
149;0.103215098;139.9204256;0.109282148
151;0.096655955;139.8820983;0.106164607
153;0.059041609;139.7835449;0.115798565
155;-0.088640853;139.7720906;0.114535048
157;0.013597501;139.727228;0.109548835
159;-0.135994997;139.5134332;0.112928247
161;-0.195467284;139.6653726;0.113348075
163;-0.438098356;139.6582033;0.114530161
165;-0.583359587;139.5781097;0.113601232
167;-0.669835609;139.6263174;0.132444786
169;-0.822615157;139.5170098;0.127415895
171;-0.868171331;139.5785332;0.121754207
173;-0.886372451;139.4331097;0.127878202
175;-0.712161043;139.4448407;0.127550165
177;-0.157021495;139.4107056;0.122936659
179;0.067567608;139.268268;0.121797209
181;0.22898489;139.2166056;0.126339099
183;0.134218327;139.3648303;0.118982246
185;0.258194708;139.1328712;0.123489275
187;0.26136903;139.6809379;0.116451421
189;0.3044814;139.2354418;0.110187397
191;0.194754448;139.2340872;0.120908942
193;0.115323675;139.1573301;0.119279105
195;0.29632452;139.1346508;0.1122276
197;0.065202532;139.0128931;0.117073372
199;0.173699737;138.9997141;0.136879451
201;0.054847335;139.0260896;0.16497014
203;0.105102596;138.9288913;0.185595312
205;0.386218634;138.9459673;0.204238456
207;0.808006502;138.8750434;0.222292034
209;1.167062844;138.8258418;0.226943878
211;1.106716432;138.6712394;0.211251929
213;1.116683857;138.7322653;0.212556199
215;1.011924154;138.6659586;0.223640646
217;1.036431377;138.614867;0.222066939
219;1.088100777;138.6266812;0.22680985
221;1.175242709;138.5643921;0.234540861
223;1.435886719;138.3260465;0.239179617
225;0.971203195;138.5043701;0.246993924
227;0.938506839;138.4245532;0.25597805
229;0.712815898;138.3770743;0.272414845
231;0.740582342;138.3266276;0.273551106
233;1.045268182;138.2925197;0.293867484
235;1.315389329;138.2324336;0.303309414
237;1.639011205;138.1693519;0.319157685
239;1.60636193;138.1379727;0.320733822
241;1.712537427;138.0460738;0.337639295
243;1.406408337;138.025919;0.343259713
245;1.259680459;138.153861;0.342371877
247;1.376684;138.0414663;0.335403749
249;1.213630234;137.964893;0.340676622
251;1.417128608;137.7403435;0.376774276
253;1.157174707;137.6555501;0.357008961
255;1.224558285;137.9356235;0.371247973
257;1.192028348;137.611996;0.407502158
259;1.265370483;137.7688102;0.430304029
261;1.011446205;137.5609409;0.393759607
263;1.27876174;137.5324733;0.418133703
265;1.058039394;137.6009554;0.412878319
267;1.237558983;137.4629686;0.399516445
269;1.223265156;137.4263548;0.39678867
271;1.654616782;137.416236;0.424564224
273;1.83139767;137.3135828;0.432694851
275;1.799774185;137.3536984;0.437215525
277;1.630210942;137.307915;0.434191695
279;1.715520987;137.1738179;0.421732137
281;1.721246753;137.1267902;0.397471616
283;1.654336158;137.2247252;0.405891803
285;1.820198429;137.2744159;0.395525707
287;1.383696547;137.2135557;0.386201804
289;1.121301891;137.0578287;0.393839236
291;1.184776063;137.151958;0.389625899
293;1.103151618;136.4484321;0.362277383
295;0.859996964;136.7809619;0.365816534
297;1.105567047;136.9350941;0.349381864
299;0.895251948;136.8104613;0.354851967
301;0.797146635;136.5322487;0.358179142
303;1.105621892;136.6561721;0.361063747
305;1.131749818;136.4089982;0.368382141
307;1.266943032;136.555509;0.393082077
309;1.233697048;136.2966036;0.410269977
311;1.559125985;136.3298076;0.428317871
313;1.499533633;136.3093489;0.442312954
315;1.52782874;136.4556384;0.452795531
317;1.517900051;136.2821994;0.474931278
319;1.311696196;136.3641639;0.464481468
321;1.409437851;136.179924;0.454317459
323;1.495133077;136.1626534;0.460037694
325;1.790725844;136.1238273;0.461939077
327;2.067211819;136.0523875;0.467057943
329;2.111624088;135.992633;0.449269036
331;2.660928608;135.8858878;0.481312833
333;2.750276208;135.8613371;0.496267513
335;2.663182164;135.7619736;0.48943555
337;2.663257232;135.7776771;0.460740791
339;2.65539564;135.6931511;0.476067301
341;2.398205063;135.6210564;0.440562716
343;2.595550542;135.3890978;0.411596209
345;2.525467791;135.9517798;0.423896846
347;2.779709906;135.5002574;0.453575076
349;2.485918932;135.4197029;0.455941487
351;2.397450878;135.3139807;0.47007359
353;2.278617481;135.2958992;0.486542093
355;2.050135224;135.1360903;0.504539007
357;1.908754705;135.1806388;0.508788193
359;2.050077007;135.1012916;0.525746168
361;2.20434425;135.0470391;0.539176145
363;2.436754127;134.9356213;0.569984344
365;2.972400089;134.9485971;0.544118824
367;2.88731143;134.8245726;0.534779774
369;2.68998311;134.880272;0.534140087
371;2.526537574;134.7008889;0.526303728
373;2.249889293;134.500383;0.515494677
375;2.522525518;134.6675094;0.522877458
377;2.275417659;134.5374393;0.503161077
379;2.372759975;134.5265465;0.476601434
381;2.57268864;134.4367669;0.491590323
383;2.614850912;134.1557074;0.478110823
385;2.807676032;133.9744626;0.497495623
387;2.879734577;134.159338;0.541864775
389;3.30844231;134.1818427;0.569847159
391;3.257323948;134.0225683;0.578630861
393;3.738308291;133.912312;0.594614197
395;3.856573077;133.8122757;0.58914576
397;3.491669665;133.7730902;0.576196897
399;3.640121965;133.6781135;0.581205935
401;3.399967514;133.6423384;0.593443775
403;3.580468934;133.5905;0.639662829
405;3.626559516;133.4492239;0.667787474
407;3.487506751;133.3530949;0.674542041
409;3.34077156;133.4597846;0.701485991
411;3.066840595;133.2709003;0.708577366
413;3.31761435;133.1850378;0.683727355
415;3.145959726;133.660346;0.694444176
417;3.581932646;132.9755932;0.69234501
419;3.400136413;133.2567358;0.674228332
421;3.287492818;132.2080652;0.656665118
423;3.3378571;132.897232;0.659289705
425;3.19590365;132.9017383;0.667256825
427;3.505648459;132.5950681;0.690287722
429;3.399267586;132.4491657;0.694988996
431;3.573937692;132.5087728;0.728840501
433;3.508338754;132.5080537;0.744054252
435;3.679607204;132.4438669;0.70491097
437;3.655755943;132.2934022;0.748930274
439;3.577411673;132.4207169;0.789550923
441;3.696042882;132.1242025;0.778305239
443;3.728925915;132.2125068;0.773708276
445;3.865432298;132.0404039;0.798015488
447;4.072032766;131.8837472;0.779843039
449;3.999203002;131.8997453;0.746901955
451;4.063401952;131.7484424;0.753660221
453;4.020384889;131.6630228;0.755791842
455;4.201558765;131.604531;0.752582426
457;4.387254695;131.5285198;0.741999333
459;4.31824083;131.3746088;0.726918978
461;4.308370752;131.3236831;0.759272403
463;4.03350253;131.1796598;0.774677588
465;4.046998387;131.1058424;0.786730223
467;3.998133402;131.1000277;0.785452786
469;4.240089193;130.9891355;0.824461907
471;4.373257842;130.8874314;0.797355683
473;4.645110933;130.8494445;0.780785321
475;4.877059184;130.8656371;0.818711324
477;5.039339789;130.7597214;0.808233747
479;4.930527676;130.6493543;0.752303705
481;5.100154264;130.5046499;0.746141849
483;5.549013889;130.5050549;0.765714703
485;5.518567923;130.4684313;0.758923531
487;5.657470365;130.2802656;0.781237103
489;5.902565429;130.1811507;0.820932707
491;6.36891218;130.0941912;0.832133435
493;6.7147964;129.8882124;0.80646695
495;6.782242965;129.9287057;0.765012689
497;6.62521322;129.8950593;0.79179548
499;6.541393525;129.6835137;0.831721364
501;6.674180532;129.5815515;0.818970121
503;6.887855681;129.6281741;0.88696502
505;7.289750046;129.3048145;0.925023746
507;7.580238625;129.4279269;0.898796788
509;8.035149363;129.3112934;0.860173306
511;8.647169714;129.225864;0.923783264
513;9.421505234;129.0893155;0.86995806
515;9.612744574;129.0452002;0.863419221
517;9.506842496;128.8809493;0.820680005
519;9.385729527;128.3786305;0.815563479
521;9.625582361;128.7316472;0.76642314
523;9.775476927;128.6889877;0.766017551
525;10.54044737;128.6565578;0.756279756
527;11.41551686;128.4163053;0.783193116
529;11.77254633;128.1230986;0.789432883
531;12.03570233;128.251095;0.735051275
533;12.6948923;128.2746047;0.721876964
535;13.55883705;128.1192103;0.643715446
537;14.07472839;128.0931115;0.614576206
539;14.50032462;127.943468;0.557516668
541;14.86075527;127.798256;0.569363378
543;15.22857766;127.8042652;0.482856201
545;15.89784782;127.7870311;0.483100403
547;16.14006882;127.6498568;0.453438213
549;17.41428577;127.6555796;0.479838733
551;18.20917694;127.3784638;0.4087324
553;18.56417721;127.3391039;0.432967429
555;18.70868892;127.329888;0.418317513
557;18.87716615;127.2009877;0.430171768
559;19.24902329;127.0536844;0.365179496
561;19.13936172;127.0059556;0.367787352
563;19.76921083;126.9263143;0.331688542
565;19.31210475;126.7377893;0.329329341
567;20.19105034;126.7539906;0.283512056
569;19.83995884;126.7267958;0.363223919
571;18.76778536;126.3536161;0.433300768
573;18.07847739;127.1343406;0.458500228
575;17.60852518;126.3043392;0.480930072
577;17.00803258;126.00321;0.571268543
579;16.38300697;126.297447;0.530943338
581;15.54530365;126.1843707;0.575593908
583;15.38555516;125.6229626;0.637923919
585;14.50521263;125.9895346;0.698040851
587;14.22330679;125.631699;0.685953755
589;14.12238605;125.8435208;0.745231525
591;13.9548619;125.7746341;0.721692331
593;13.34923736;125.4689311;0.755443039
595;13.24609547;125.3807274;0.769262957
597;13.1864176;125.3508307;0.723085613
599;13.8642616;125.4035359;0.743780239
601;14.16729148;125.2844879;0.782975265
603;13.62225862;125.1608329;0.801980164
605;13.63776316;125.0100381;0.791782712
607;13.52689422;124.9131077;0.874043568
609;13.53091885;124.9119646;0.907369975
611;13.45053985;124.7512524;0.84055434
613;13.93958042;124.6275497;0.784331811
615;14.49591306;124.846514;0.817975981
617;15.59314199;124.3157286;0.780463702
619;16.15234536;124.4846244;0.780279048
621;16.2776778;124.4143734;0.81428954
623;16.43360791;124.2566295;0.797773899
625;16.25614821;124.1660754;0.798262944
627;16.64044229;124.1473209;0.852278789
629;16.48139717;124.0431745;0.732836814
631;17.05778083;123.8688598;0.735941288
633;17.11263713;123.8805923;0.699940009
635;17.05503545;123.9214474;0.615936086
637;17.8666399;124.7455592;0.519533376
639;18.58805406;123.6189612;0.566178581
641;19.39395987;123.440306;0.487327719
643;19.77975334;123.3638348;0.498536374
645;20.74193652;123.3082365;0.459029754
647;21.51626219;123.1205964;0.482677142
649;21.88523969;123.1832546;0.436614701
651;21.89072304;123.0707311;0.427060542
653;22.72810687;122.8803814;0.408185623
655;23.09856233;122.8242682;0.418765879
657;23.71443612;122.7679235;0.328777193
659;24.71253385;122.5851389;0.2762975
661;25.55178181;122.4509305;0.230367024
663;26.60483435;122.4193019;0.187106649
665;27.43110106;122.6959382;0.188095291
667;27.94220206;122.6029715;0.185099426
669;28.61821134;122.1380591;0.178497334
671;28.9186057;121.9368165;0.208409626
673;29.12945604;122.0504009;0.19555309
675;29.65331508;121.9503534;0.161154274
677;30.54465097;121.9018155;0.154046506
679;30.91724455;121.8555726;0.14232761
681;31.61266591;121.5916815;0.132332084
683;32.56763814;121.4766044;0.129938702
685;32.18093296;121.4865748;0.09737187
687;33.48829225;121.2770106;0.090334299
689;33.95711376;121.2088153;0.073900262
691;35.29262653;121.0207328;0.048658316
693;35.43987954;121.0753183;0.059703268
695;35.8783468;120.9944128;0.068230893
697;36.17807564;120.8592572;0.073865582
699;36.8240038;120.7477947;0.083753925
701;37.9930192;120.7259085;0.080913111
703;38.52242881;120.678273;0.064487846
705;39.10065122;120.5329773;0.057180268
707;39.25352248;120.3853702;0.049968655
709;40.34520612;120.1781559;0.059168009
711;40.52967851;120.2361867;0.047904818
713;41.51983209;120.2805324;0.039416332
715;42.72045532;120.0289174;0.032797616
717;43.43605239;120.163437;0.03266577
719;44.12800083;119.9437643;0.01474289
721;43.62930876;119.7020191;0.02254482
723;44.46785335;119.7744644;0.030377454
725;44.54975461;119.6284054;0.040250203
727;45.61027653;119.5035791;0.049845684
729;46.95603884;119.3087128;0.062562729
731;47.1534515;119.1733253;0.066831934
733;47.27129922;119.1538619;0.073881876
735;47.9895608;119.0947079;0.063772374
737;48.63986346;119.0468678;0.047188774
739;48.78395621;118.9130566;0.03490018
741;50.32066952;118.7455538;0.030840807
743;51.46255239;118.7488159;0.019142371
745;51.70419999;118.8771362;0.020001301
747;52.91099522;118.3171566;0.023772733
749;53.80252286;118.4165584;0.034420693
751;54.46594542;118.3829844;0.041494193
753;54.79703866;118.2475138;0.047376188
755;56.58678553;118.426805;0.059470112
757;56.9738205;118.208466;0.069657457
759;58.23378841;118.0525367;0.096222852
761;59.46680563;117.8478556;0.107192951
763;59.99788982;118.4456392;0.142573494
765;61.71413663;117.8784267;0.178339421
767;62.70001396;117.3915352;0.190437507
769;65.41333942;117.4659993;0.183172731
771;65.36482041;117.3592434;0.184626717
773;67.35897464;117.8034374;0.201565957
775;68.76441227;117.2300217;0.227380889
777;70.64318605;117.082414;0.288164039
779;72.05759626;116.9451852;0.330077219
781;72.73083469;116.954789;0.415439397
783;73.14874296;116.7171529;0.436778754
785;76.01811256;116.6810905;0.465747601
787;76.63321429;116.4581727;0.537957493
789;79.23994338;116.3091443;0.621506722
791;81.16182076;116.2489017;0.668870065
793;82.09222746;115.9989068;0.758567612
795;82.48203126;116.0151738;0.825202498
797;83.52449306;115.9590615;0.819334338
799;86.75773702;115.7950318;0.852793529
801;88.90144147;115.6476119;0.890234921
803;89.18259894;115.5466896;0.975302102
805;91.11418432;115.3444624;0.980056184
807;93.23155379;115.3567483;1.095245252
809;93.02808293;115.2320221;1.110306666
811;93.22910332;115.0435141;1.194963131
813;95.10226041;114.9405011;1.26395866
815;96.25904206;114.7339291;1.314529017
817;97.7874;114.5995924;1.352180556
819;97.69533066;114.5852542;1.347172474
821;98.66972823;114.3893863;1.349951917
823;101.6077134;114.2295313;1.289340513
825;100.2440666;114.1087742;1.252496097
827;102.1295102;114.0704552;1.198583425
829;101.6772443;113.8759312;1.277272638
831;103.2515711;113.7066041;1.265812798
833;102.1391668;113.6119575;1.233887816
835;103.4645552;113.5386268;1.303869862
837;101.6533324;113.383085;1.391896527
839;102.1481126;113.2435506;1.382383892
841;105.1054736;113.0476054;1.367152884
843;104.4861649;112.9122733;1.455696267
845;105.4863853;112.6847938;1.499069016
847;104.8984568;112.7481775;1.499987657
849;106.3011135;112.5825831;1.537780156
851;107.3440713;112.3445259;1.551374155
853;106.1416536;112.2544794;1.516222052
855;104.8086046;112.1063194;1.449162101
857;107.0722768;112.0657609;1.430092387
859;106.2216559;111.8925693;1.370712888
861;108.067176;111.7504083;1.417715934
863;109.4383859;111.5185441;1.400921192
865;108.073559;111.4467727;1.476058252
867;109.6779612;111.3589492;1.504347276
869;108.2730783;111.1527025;1.542326827
871;108.5930297;111.0189574;1.520767697
873;109.8878652;110.812241;1.639236583
875;111.0998743;110.7666068;1.714898333
877;111.2985431;110.6644515;1.660641291
879;111.3097961;110.3887555;1.696489932
881;111.2859638;110.2557739;1.720564451
883;111.5959783;110.0323913;1.637428935
885;113.2985479;110.0219132;1.592507232
887;115.6103823;109.8731999;1.559857692
889;114.4138141;109.7129968;1.658661593
891;112.6742597;109.4637866;1.655475614
893;114.7774244;109.4597783;1.665502497
895;114.1183373;109.2058406;1.591612401
897;113.2626581;109.1094076;1.68274075
899;111.8993399;108.9555521;1.546081678
901;115.4779603;108.80909;1.533736897
903;115.2435395;108.5584815;1.596055894
905;114.6237083;108.5322718;1.611651723
907;114.2897152;108.3178697;1.522026228
