Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Synthetic rubber;Glue;Plywood;;IN16-1;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 13:28:09
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;386;147.67;56.98;;;136.32;52.11;11.74;;346.65;;47.35;0.0088;Splits and raising of the surface. End flame > 1200s.
;2011-07-13;c_LSFIRE_IN-16-1_25b;14.8;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.774533984;136.32;0
3;7.745234367;136.3357224;0
5;7.994888182;136.2679686;0
7;7.97679856;136.3942506;0
9;7.859519781;136.3978448;0
11;7.151371762;136.3425786;0
13;5.76732202;136.3037811;0
15;4.218057999;136.5372499;0
17;2.98609703;136.3389757;0
19;2.119416336;136.3352158;0
21;1.055727778;136.3655719;0
23;0.886867694;136.4243214;0
25;0.329803521;136.3612679;0
27;0.141943289;136.3665298;0.000903498
29;-0.401221916;136.349444;0.000903498
31;-0.549930275;136.3052456;0.000903498
33;-0.719714229;136.3651013;0.002168051
35;-0.831465089;136.3772748;0.002168051
37;-1.111598316;136.4477465;0.001264552
39;-0.998855006;136.1595557;0.001264552
41;-1.055939907;136.3717819;0.001264552
43;-1.029542314;136.4059078;-1.73472E-19
45;-1.132794899;136.3683356;-1.73472E-19
47;-1.155965411;136.4071705;-1.73472E-19
49;-0.986388357;136.4038992;-1.73472E-19
51;-1.206535148;136.3233919;-1.73472E-19
53;-1.113406027;136.3870162;-1.73472E-19
55;-1.22602965;136.3937707;-1.73472E-19
57;-1.252309027;136.4153633;-1.73472E-19
59;-1.160603778;136.3391318;-1.73472E-19
61;-1.326546811;136.3245894;-1.73472E-19
63;-1.586901294;136.4080554;-1.73472E-19
65;-1.402849094;136.2054315;-1.73472E-19
67;-1.461699146;136.3126182;-1.73472E-19
69;-1.33273349;136.3237876;-1.73472E-19
71;-1.62539258;136.3149496;0.003748804
73;-1.389317859;136.3034209;0.003748804
75;-1.623789594;136.3266257;0.004725766
77;-1.605718816;136.3038998;0.004725766
79;-1.598392357;136.3185715;0.004725766
81;-1.603509911;136.3046651;0.000976962
83;-1.606923705;136.3519967;0.000976962
85;-1.610684768;136.3293349;0.004430684
87;-1.612194185;136.3252254;0.004430684
89;-1.600351167;136.2422573;0.00923115
91;-1.587936571;136.3053195;0.00923115
93;-1.584665677;136.2503762;0.011784458
95;-1.590393316;136.3107385;0.007353774
97;-1.400102697;136.2755157;0.007353774
99;-1.60337697;136.1918562;0.003170948
101;-1.471553153;135.8898329;0.006155604
103;-1.622894825;136.8614176;0.003602296
105;-1.602112919;136.4179164;0.003602296
107;-1.422631299;136.1733614;0.003602296
109;-1.400405462;136.2556847;0.002984656
111;-1.24954432;136.1875255;0.000513754
113;-1.212085859;136.2421367;0.000513754
115;-1.313441141;136.259186;0.000513754
117;-1.358109318;136.2046851;0.005688304
119;-1.482754195;136.0490519;0.016643456
121;-1.243558241;136.1192937;0.023064928
123;-1.54191699;136.1201597;0.032164207
125;-1.59180597;135.9492743;0.038879477
127;-1.615814433;136.0606084;0.047142338
129;-1.590304251;135.9001826;0.050352413
131;-1.593896683;136.0129355;0.056755366
133;-1.61883538;136.0010474;0.075392804
135;-1.586527631;135.964526;0.084141338
137;-1.559263405;135.9815286;0.090454222
139;-1.430862732;136.000199;0.1010429
