Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Synthetic rubber;Glue;Plywood;;IN16-1;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 13:30:19
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;537;170.34;59.95;;;137.74;49.28;12.84;;598.68;;49.82;0.0088;Flashing from 485s. Splits and raising of the surface. End flame > 1200s.

;2011-07-13;c_LSFIRE_IN-16-1_25c;14.8;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;10.68399479;137.74;0
3;10.31462436;137.6603411;0
5;10.04510101;137.5209278;0
7;10.01526199;137.706428;0.003320591
9;9.379843406;137.4402362;0.009114986
11;8.313211625;137.7357981;0.013417239
13;6.879311726;137.9093174;0.018297694
15;5.009909418;137.9198878;0.018297694
17;3.526729318;137.7467638;0.015187258
19;2.750028083;137.7831559;0.011149906
21;2.023201311;138.6075896;0.006847653
23;1.248013448;137.8578019;0.001967198
25;0.872745965;137.7665491;0.001967198
27;0.354317345;137.8208385;0.001757043
29;0.166035395;138.4212239;-3.46945E-19
31;-0.230450565;137.7363966;-3.46945E-19
33;-0.434972677;137.8128674;-3.46945E-19
35;-0.358350044;137.7770646;0.001443239
37;-0.553732545;137.9047926;0.00499391
39;-0.498582485;137.795063;0.00499391
41;-0.425357352;137.7693609;0.006251682
43;-0.342835675;137.7698311;0.006251682
45;-0.426218624;137.8524306;0.004808443
47;-0.38512804;137.7776184;0.001257771
49;-0.567618657;137.8699948;0.001257771
51;-0.381092405;137.8100473;-5.20417E-19
53;-0.141719712;137.7965921;0.000715678
55;0.0302865;137.7769352;0.004972234
57;0.241973323;137.506293;0.008875835
59;0.261544995;137.8081399;0.013674462
61;0.154967783;137.7711205;0.015489508
63;0.369093367;137.7676834;0.01477383
65;0.548234913;137.8455457;0.01354578
67;0.326802224;137.6931571;0.009642178
69;0.270374958;137.8593228;0.004843551
71;0.397943299;137.8134567;0.003028506
73;0.0502296;137.8054666;0.003028506
75;0.134355238;137.79568;1.38778E-18
77;0.079749418;137.7930447;1.38778E-18
79;-0.104802379;137.7515468;1.38778E-18
81;-0.142080529;137.7538967;0.00737158
83;0.310547048;137.7363966;0.007575312
85;0.008706695;137.6813245;0.007575312
87;0.054948527;137.9125979;0.007932114
89;0.192601188;137.7429577;0.007932114
91;0.491444409;137.6775178;0.000560534
93;0.343199879;137.6864755;0.000356802
95;0.803109203;137.7248582;0.000965977
97;0.605403558;137.7880031;0.000609175
99;0.532020509;137.6748266;0.002091091
101;0.847784892;137.6433832;0.011658792
103;0.807708055;137.5964766;0.014895035
105;0.937139627;137.6647084;0.022659254
107;1.134354521;137.5930021;0.033367786
109;0.815584585;137.6590313;0.042195057
111;0.696562315;137.6018304;0.032627355
113;0.600819622;137.5967523;0.029391112
115;0.474612361;137.6020516;0.023395622
117;0.276339025;137.5741193;0.013295126
119;0.396424614;137.58445;0.007022778
121;0.771546296;137.5762577;0.01133961
123;0.932476669;137.491032;0.026434113
125;1.102176731;137.5081266;0.029718567
127;1.334073833;137.4383832;0.048030976
129;1.310503145;137.4626105;0.060068362
131;1.255347899;137.4520771;0.061960873
133;1.061942782;137.5089186;0.050928404
135;0.837804028;137.8687039;0.050203027
137;0.35653471;137.3097337;0.035123047
139;0.60564068;137.2422668;0.031931812
141;1.024259215;137.3057992;0.043908084
143;1.20138923;137.2638039;0.061072928
145;0.974458396;137.2379818;0.07291909
147;0.920932569;137.1936176;0.096356807
149;1.06124712;137.2604762;0.098501215
151;1.186742711;137.1603679;0.097738847
153;0.722730576;137.2201584;0.08767747
155;0.875730261;137.1332276;0.089344574
157;0.604806617;137.0287973;0.08785713
159;0.702392647;136.9970403;0.097955305
161;0.959334056;137.0124948;0.10866597
163;0.855078512;136.948041;0.131275352
165;1.442368811;136.9698543;0.143839074
167;1.357133174;136.8886098;0.145202868
169;1.403166245;136.8106921;0.149479255
171;1.266064073;136.8357125;0.148771738
173;0.858563531;136.8560973;0.154477772
175;0.624764584;136.7851004;0.145607522
177;0.405895915;136.5402979;0.151766024
179;0.345558574;136.7763178;0.156231479
181;0.321877131;136.6173404;0.17391276
183;0.509843756;136.5040259;0.168226183
185;0.727863829;136.5524077;0.185990936
187;0.655775226;136.4360703;0.188659539
189;0.91898677;136.4918339;0.196336215
191;0.561112442;136.5323453;0.188205307
193;0.548212084;136.4523912;0.181947506
195;0.699567773;136.3645483;0.176019477
197;0.687461443;136.3035506;0.163198761
199;0.702520078;136.2951278;0.178027943
201;1.23718186;136.2788253;0.180079035
203;1.366058292;136.1189445;0.196702753
205;1.558605834;136.143218;0.211650972
207;1.718404009;136.1295329;0.242685552
209;2.004015828;136.0696778;0.244760133
211;1.909827842;136.2022991;0.255439579
213;1.731098797;136.1031856;0.257916358
215;1.618648571;136.0973247;0.257113968
217;1.278526157;135.913483;0.257660922
219;1.668414257;135.9087924;0.250316778
221;1.615049307;135.8006294;0.259062544
223;1.382443408;135.7718126;0.279503586
225;1.520220099;135.6967976;0.294660666
227;1.24694969;135.6725517;0.285691518
229;1.414498329;135.5959979;0.307177586
231;1.436212242;135.5551267;0.316211164
233;1.619890631;135.5792437;0.323516577
235;1.259921681;135.5595591;0.321033762
237;1.505720158;135.5471736;0.35429412
239;1.218594669;135.5346773;0.361336256
241;1.361676157;135.3776627;0.355082121
243;1.733140459;135.326507;0.352083411
245;2.043846175;135.3294375;0.370446727
247;2.055426535;135.2885206;0.367713835
249;1.967780608;135.2126946;0.387656604
251;2.133538504;135.1363347;0.419204639
253;1.820031021;135.1204655;0.420345823
255;1.793464797;135.0832526;0.424133324
257;1.877752038;135.0935649;0.425201655
259;1.630662716;134.8781422;0.424819157
261;1.764603918;135.055523;0.423961172
263;1.71879546;134.8658024;0.419994081
265;1.833487093;134.9346152;0.430038944
267;2.058759183;134.776052;0.45164726
269;1.933396197;134.7387842;0.444231315
271;2.354168232;134.7025487;0.470827011
273;2.0400012;134.6213689;0.511643197
275;2.385536545;134.6460203;0.504570513
277;2.177656145;134.5697061;0.487830253
279;2.410754043;134.5869484;0.481156391
281;2.206916004;134.5314065;0.461659546
283;1.928897335;134.5212601;0.444083061
285;1.460939203;134.4207181;0.463049663
287;1.708952488;134.4167004;0.499179381
289;1.85067307;134.2147874;0.509398294
291;1.762316522;134.211359;0.519643622
293;1.815074262;134.2364528;0.537341462
