Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
80% wool, 20 % Nylon;Glue;Plywood;;IN16-3;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 13:37:32
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;30;198.92;92.15;;;113.20;71.52;13.79;;1376.91;;87.73;0.0088;End flame at 106s. 2nd ignition at 535s. End flame > 1200s. Raising. Glowing.
;2011-07-13;c_LSFIRE_IN-16-3_25a;22.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.656839368;113.2;0.050796329
3;4.214343806;113.1453377;0.058373875
5;4.089742778;113.1409057;0.054519234
7;4.027111413;113.1903105;0.060089242
9;3.964763932;113.1431453;0.081568018
11;4.23468979;113.1408503;0.141001921
13;3.852581496;113.3020857;0.204418008
15;2.815811379;113.1306878;0.337921117
17;2.288539265;113.1207341;0.510122498
19;1.878869004;112.974655;0.690499368
21;1.651507368;112.9912312;0.841261165
23;1.538614143;112.9924365;1.060795267
25;2.122480411;112.961705;1.276810021
27;1.023931282;112.9309618;1.21736625
29;-1.596614465;112.8884802;1.175080339
31;25.06070537;112.8001214;1.186835032
33;75.01339843;112.6577849;1.119560709
35;123.3094939;112.511755;1.130822787
37;159.8208672;112.1659894;1.357427142
39;181.4106069;111.9823602;1.516940333
41;194.9298558;111.3258577;1.588312499
43;198.9188456;111.5747493;1.676582126
45;198.2011195;111.4832826;1.735239012
47;196.4997211;111.3446068;1.684276793
49;191.510493;111.1916099;1.619201536
51;180.9517696;111.3572252;1.615503972
53;175.3777486;110.4850714;1.612939816
55;164.9001757;110.7339033;1.411656968
57;158.7090869;110.5486865;1.363265012
59;153.6029305;110.3745955;1.285708858
61;143.4597779;110.2190391;1.221629495
63;131.8657957;110.098456;1.074790173
