Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Synthetic rubber;Glue;Plywood;;IN16-6;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 13:50:08
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;136;239.61;;;;149.77;42.77;27.34;;1265.06;;79.88;0.0088;Projection of particles. Intumescence after ignition. Glowing. End flame > 1200s.
;2011-07-14;c_LSFIRE_IN-16-6_25a;15.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;8.446454762;149.77;0.005084973
3;8.883295374;149.4843414;0.012939306
5;8.435166988;149.7663227;0.020471876
7;7.606044819;149.7702762;0.034007222
9;6.418184818;149.7112004;0.038190954
11;5.633803549;149.8107409;0.037377482
13;4.569404937;149.8601953;0.040821194
15;4.209288903;149.7812127;0.046201149
17;3.547723549;149.6769249;0.04461885
19;2.576211395;149.8191262;0.051426036
21;1.954508919;149.9446911;0.064284036
23;1.769968576;149.8069294;0.068890041
25;1.75919812;149.8212865;0.069626938
27;1.718175407;149.7802374;0.069605944
29;1.623883785;149.7549116;0.064681457
31;1.294601374;150.0672229;0.054004026
33;1.13944813;149.8357899;0.053881769
35;1.224788007;149.8973143;0.052160696
37;1.48720912;149.8472044;0.050332175
39;1.055630398;149.7974656;0.051694571
41;0.92636705;149.9407926;0.055301482
43;1.397590372;149.8413076;0.049032568
45;1.642599899;149.8917728;0.050150617
47;1.951161599;149.8631019;0.049045897
49;1.953970008;149.8194179;0.042116216
51;1.858724801;149.8107093;0.035568437
53;1.877332871;149.8928863;0.034558229
55;2.257830331;149.8850897;0.028217593
57;2.354862002;149.9032345;0.024903192
59;1.939015468;149.8403434;0.028377923
61;1.739485035;149.9112527;0.030649979
63;1.567814432;149.9336198;0.031114714
65;1.675352306;149.9273991;0.036946673
67;1.895884975;149.8967177;0.036566992
69;1.673382021;149.9021721;0.032669353
71;1.385405452;149.9046329;0.030525883
73;1.255585989;149.9026656;0.031506517
75;1.414771463;149.9835162;0.030499673
77;1.529129085;149.690926;0.039428017
79;1.484677381;149.9679105;0.048339376
81;0.994662995;149.7984648;0.049352117
83;1.004969392;149.9151663;0.050969677
85;1.063717124;149.9427039;0.059062914
87;1.352387078;149.8975073;0.060150093
89;1.227538069;149.8603761;0.065006139
91;1.252901364;149.9604417;0.071891379
93;0.932088195;149.9516576;0.085840666
95;1.12669315;149.8273093;0.085979053
97;1.454278211;149.8859503;0.095654965
99;1.572601943;149.841998;0.099458674
101;1.584572458;149.8612489;0.105981735
103;1.541574907;149.8953465;0.09917223
105;1.542712403;149.8716681;0.115058737
107;1.823722806;149.8860529;0.123975389
109;2.307982518;149.8177074;0.131463899
111;2.203929396;149.8498145;0.145552716
113;1.910682067;149.8729556;0.159640481
115;2.077692815;149.8618134;0.163893939
117;2.441278706;149.8418045;0.169384021
119;2.314455718;149.8269101;0.194688819
121;2.432744479;149.7900551;0.208217162
123;2.317682731;149.8140535;0.210179081
125;1.983886566;149.7560036;0.221606021
127;2.154401059;149.7446395;0.249143122
129;2.324271175;149.6954474;0.262833418
131;1.733428395;149.6499896;0.304245793
133;1.728783329;149.6751136;0.356086618
135;2.153165954;149.6589877;0.376139226
137;3.964032294;149.6390054;0.377094488
139;6.721796519;149.6511761;0.392275143
141;9.451773064;149.7128307;0.613248832
143;16.75383464;149.6702529;1.154280685
145;32.29765798;149.7268008;2.157568768
147;56.75831863;149.5611427;3.668297938
149;86.76277215;149.4496467;4.799105089
151;114.8374199;149.0292137;6.008538092
153;142.9535022;149.0276573;6.911719412
155;169.5470099;149.0375752;7.571033961
157;189.7323923;148.8726834;7.824097253
159;207.9184511;148.6097045;8.624823229
161;231.0107632;148.3840231;8.965676213
163;231.0345103;148.1877118;9.171172077
165;238.5150945;148.0344679;9.161424162
167;239.6080901;147.8838228;9.080820794
169;237.4896531;147.6610558;8.75576968
171;226.0584523;147.5333583;8.501813534
173;222.4173961;147.3519691;8.312514679
175;214.8714221;147.1482677;8.129997858
177;211.9199198;147.0141401;7.852292078
179;204.0700957;146.6490695;7.605766463
181;199.3730807;146.5215656;7.334098846
183;193.9622477;146.35261;7.034728063
185;188.2496223;146.2307657;6.725706459
187;182.5205954;146.061743;6.410437044
189;181.391242;145.8425789;6.030374563
191;173.5269237;145.8434161;5.673668624
193;170.7095653;145.695351;5.304572691
195;168.8537633;145.54548;5.009129305
197;162.2571245;145.440067;4.684980688
199;158.5482075;145.2674229;4.345081961
201;151.4408188;145.506347;4.184497316
203;149.3226955;145.1281525;4.043084181
205;149.2709105;145.0584718;3.766573641
207;143.156052;144.8859133;3.606931965
209;138.6258004;144.8198793;3.591786929
211;134.8339024;144.6466931;3.43926093
213;135.0193319;144.5670565;3.314551917
215;134.8352401;144.5571945;3.320919271
217;132.3706758;144.3841109;3.250197617
219;129.1772152;144.166669;3.16905706
221;128.8805481;144.1665309;3.186126615
223;127.8385986;144.0838915;3.165556263
225;128.7652808;143.7305053;3.16949152
227;129.7559487;143.382383;3.209855767
229;128.512839;143.8973405;3.157751782
231;130.13524;143.655201;3.07549261
233;128.6838402;143.5721191;3.170458931
235;130.0766967;143.3732017;3.144120872
237;128.5662319;143.3256474;3.151606446
239;128.0106534;143.2620105;3.144015739
241;127.9424367;143.0728164;3.144291583
243;126.0609925;143.0183228;3.10954881
245;125.0068569;142.773178;3.176839895
247;126.743811;142.9652665;3.173005824
249;124.3588442;142.8275612;3.233793687
251;121.9892422;142.6598387;3.214314802
253;119.850664;142.4732162;3.081356478
255;119.6947616;142.441098;2.938008864
257;118.9803363;142.3347452;2.757037789
259;116.337002;142.3041945;2.719054254
261;117.5532447;142.1901278;2.653775725
263;115.2957903;142.0079567;2.685012381
265;114.4685007;142.0345262;2.726502101
267;116.0648009;141.9984375;3.010638066
269;116.8142669;141.8637925;2.942552281
271;115.9500765;141.7223739;2.982300939
273;117.803415;141.6721464;2.926527286
275;119.0026746;141.6284352;3.040871132
277;119.6882216;141.5496943;3.067129343
279;120.7229574;141.4662152;3.364117117
281;122.3719541;141.2669385;3.367916869
283;120.5303691;141.0981657;3.557744616
285;117.9735193;141.0426938;3.643273672
287;122.4225439;141.1299416;3.652506548
289;122.3868335;140.9642018;3.603690351
291;124.3787937;140.8856817;3.731926738
293;122.3562653;140.7879194;3.795259897
295;120.679269;140.6712645;3.649970882
297;121.0057747;140.7302269;3.586470429
299;119.5202747;140.5316882;3.466237029
301;118.9177043;140.4294104;3.434538579
303;117.5983906;140.6575409;3.2833962
305;117.1605056;140.2051215;3.211668533
307;115.5950957;140.3315825;3.024444274
309;112.2695867;140.4621437;2.918585574
311;109.8064535;139.8694668;2.854763302
313;109.0566778;140.0154194;2.824381391
315;108.1815626;139.8330358;2.775581358
317;106.7575178;139.908642;2.765827148
319;103.1185224;139.5959457;2.662105623
321;100.0197877;139.8140591;2.584393533
323;97.98719894;139.7547636;2.432975798
325;94.06744539;139.6108289;2.382523458
327;91.93227261;139.5987556;2.321686463
329;89.78657474;139.4190905;2.3253205
331;86.98105686;139.360339;2.193254484
333;85.72137172;139.6521333;2.143061925
335;84.69021175;139.2299052;2.078124886
337;82.07135013;139.1571555;1.888769395
339;79.65833437;139.2121192;1.757556925
341;77.03385631;139.1386402;1.655361627
343;77.41319878;138.9678049;1.552065978
345;74.90212965;138.9446258;1.340295788
347;72.88543514;138.9617208;1.317520233
349;71.21637469;138.9900597;1.280107455
351;70.17505432;138.7205771;1.245474146
353;69.01256039;138.7657537;1.154207992
355;68.01745808;138.5378167;1.222049924
357;65.33080771;138.6732995;1.139210325
359;64.39360054;138.6603967;1.032719103
361;63.82273752;138.6330341;0.890944138
363;61.57995171;138.595442;0.828853998
365;61.17036134;138.6564884;0.643378853
367;59.25762346;138.3436263;0.597539845
369;60.08729158;138.4446511;0.520367324
371;60.14933086;138.3493773;0.503879274
373;59.19467084;138.3100985;0.45596689
375;56.88651511;138.2741464;0.422057408
377;57.09269817;138.1821069;0.347484836
379;55.70033677;138.2805606;0.326486366
381;54.64128118;138.1475751;0.29411015
383;54.00607746;138.0552229;0.278200233
385;52.94900526;138.1359077;0.255435528
387;52.7754204;138.1546617;0.252293175
389;52.11714713;137.9929863;0.227438776
391;51.05033961;137.8884782;0.206044838
393;50.38147083;137.8561202;0.192425786
