Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Synthetic rubber;Glue;Plywood;;IN16-6;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 13:52:15
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;144;281.39;;;;150.01;49.17;18.07;;3268.23;;85.98;0.0088;Projection of particles. Intumescence after ignition. Glowing. End flame > 1200s.
;2011-07-14;c_LSFIRE_IN-16-6_25b;15.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.126529211;150.01;0.130144962
3;5.717640988;150.0161376;0.130449041
5;5.444899112;150.0420502;0.13442028
7;5.468264678;149.8411601;0.132908558
9;5.267301541;149.98218;0.140653293
11;4.882432558;150.0220544;0.142802365
13;4.124212187;150.0601166;0.152657809
15;3.435046315;149.7711308;0.152888459
17;2.812255963;150.0551825;0.168405032
19;2.073237476;150.2160946;0.179352153
21;1.498529858;150.3349287;0.184559503
23;1.010459212;149.9109074;0.179948949
25;1.083168239;150.0601735;0.183330229
27;1.370959679;149.9518321;0.185145219
29;1.454141558;149.9338823;0.184352057
31;0.937717117;150.0265548;0.182280415
33;0.804328427;149.9989356;0.186155021
35;1.09819003;150.0922918;0.190291809
37;1.032060462;149.9539466;0.203307438
39;0.553919692;149.9716757;0.207701709
41;0.439136315;150.1830841;0.216049351
43;0.476422128;149.8011914;0.216324485
45;0.309580185;149.5464524;0.22538785
47;0.668088231;149.7766553;0.221925226
49;0.313821468;150.034594;0.216858463
51;-0.14995346;150.2460579;0.212364088
53;0.193885291;149.9685731;0.214130117
55;0.540923042;150.1707477;0.212893258
57;0.563349394;150.0383262;0.203903395
59;0.238261421;150.0983345;0.200374675
61;0.239958363;150.0656557;0.205728254
63;0.486663908;149.9870835;0.200022434
65;0.584621356;150.0520187;0.196969842
67;1.053612542;150.0268325;0.19620743
69;0.727852243;149.9475616;0.200060567
71;0.41346181;150.0295344;0.18993513
73;0.415774934;149.9803649;0.196650251
75;0.55845455;149.8313482;0.201601579
77;0.50645052;149.9642399;0.205572602
79;0.426953338;150.0461578;0.212005649
81;0.331487358;150.0435589;0.216266693
83;0.492263035;149.993912;0.219237667
85;0.693840407;150.0089867;0.223485072
87;0.869882061;149.8600877;0.222716029
89;1.101484548;149.9331933;0.21477838
91;0.797541186;149.9377074;0.233631755
93;1.071892189;149.8851708;0.243773123
95;1.261981856;150.0120499;0.240387721
97;1.405091373;149.7381996;0.252776481
99;1.184669518;150.130869;0.274046375
101;1.026311932;149.7854208;0.272786487
103;0.880054238;149.8380255;0.273462832
105;0.833654421;149.8544825;0.282861178
107;1.295083972;149.831812;0.297167655
109;1.183984912;149.7456646;0.306743879
111;1.002363806;149.7959135;0.322158783
113;0.655955049;149.7670981;0.331333322
115;0.87587065;149.6195192;0.350964447
117;1.280023043;149.800993;0.353799814
119;1.623571278;149.7994799;0.368175903
121;1.532234188;149.6881734;0.3942689
123;1.015120207;149.717687;0.413184757
125;1.077284114;149.492413;0.458437929
127;0.406468699;149.6779788;0.512587312
129;1.599864095;149.6896185;0.577641182
131;1.475135018;149.8495484;0.637914744
