Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric vandalize protected;Foam;;;F1A-1-1;Upholstery for passanger seats, vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 14:40:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;39;216.17;20.02;;;31.92;13.40;13.66;;1090.81;;71.21;0.0088;Shrinkage. Glowing. End flame at 348s.
;2011-07-14;c_LSFIRE_F1A-1-1_25b;42.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.229914504;31.92;0.040750432
3;7.755272505;31.98796286;0.044776507
5;7.716422491;31.95529228;0.05326523
7;7.120861015;31.87785542;0.068538026
9;6.561690868;31.80522826;0.08978938
11;5.268814511;31.75458455;0.109653523
13;3.904249039;31.76766095;0.116210643
15;3.170092486;31.86554871;0.122693176
17;2.327634393;31.69089946;0.129271286
19;1.961299664;31.64974969;0.130163111
21;1.56478177;31.60678729;0.150580673
23;1.092146578;31.65688253;0.164131111
25;0.8358961;31.58297175;0.188435252
27;1.141542682;31.62057065;0.2159976
29;0.853202863;31.58209509;0.256566387
31;0.460642753;31.5549188;0.303230037
33;0.481224766;31.57285302;0.384842749
35;0.952730091;31.55064541;0.507595356
37;0.430135552;31.55330746;0.720275262
39;-7.927878535;31.42303794;0.786525999
41;8.793361986;31.38511473;0.922884948
43;65.4012227;31.29559628;1.109862007
45;132.1278806;31.0883591;1.188014751
47;172.5102502;30.76893396;1.210956734
49;205.9704736;31.64106434;1.35392715
51;216.1677131;30.27528111;1.432586794
53;211.8373159;30.18321876;1.441286921
55;197.6279761;30.07199788;1.475701746
57;176.0496508;29.85850548;1.510056256
59;157.7603937;29.67438078;1.520457558
61;142.0717908;29.68052611;1.525310562
63;130.2669525;29.57212482;1.542626446
65;122.1319579;29.49741663;1.522724578
67;115.7219621;29.42178414;1.531541891
69;111.2016385;29.27520339;1.609807209
71;107.5288267;29.23820497;1.651950133
73;103.0341751;29.17222054;1.694015493
75;99.88234178;29.02342069;1.800187612
77;96.58023506;29.01100749;1.904669035
79;96.63615733;28.94675741;1.969133634
81;90.52587888;28.83973115;2.029594494
83;90.02661496;28.7628267;2.103692111
85;91.77114833;28.72123885;2.185009936
87;90.88194882;28.60363925;2.137327344
89;89.20652054;28.54898228;2.080339333
91;91.22936262;28.41478702;2.079751493
93;89.09293358;28.35495279;2.057240644
95;89.91089918;27.8239704;2.11829792
97;90.73977926;28.44991788;2.21483602
99;89.97430884;28.3425323;2.322901538
101;85.78660941;28.08785464;2.31334305
103;85.05268277;27.91783712;2.309954334
105;84.40790467;27.94998988;2.15487833
107;82.02189467;27.86519846;2.028004196
109;80.15493557;27.83462154;1.913533314
111;79.00355263;27.73838499;1.78911862
113;74.55823959;27.681647;1.660239807
115;71.30272356;27.57750354;1.681667349
117;67.43969728;27.50292128;1.48881044
119;64.64758462;27.49937528;1.296439587
121;61.35934105;27.50200135;1.197965542
123;60.35017282;27.40004199;1.039809364
125;56.23111854;27.3206695;0.785181365
127;53.47119628;27.34458325;0.721693947
129;50.74785373;27.32003352;0.660254671
131;49.38042102;27.26096606;0.577300406
133;47.9208611;27.07562531;0.500954383
135;45.37494313;27.09334657;0.423312051
137;44.53942778;27.11037643;0.369490488
139;41.85222308;27.05577538;0.280361674
141;39.05068465;26.98666699;0.208626483
143;38.27575567;26.97511051;0.192714153
145;36.73358569;26.9546246;0.179862007
147;35.68957222;26.93891435;0.169256157
149;35.98277957;26.81577767;0.149422689
151;35.45625362;26.84101881;0.143011329
153;35.58369084;26.86451783;0.132737629
155;35.45993747;26.83074158;0.139854496
157;35.83315939;26.66754573;0.12223959
159;36.10661238;26.610393;0.136487941
161;35.62097381;26.67809913;0.137870944
163;34.50377781;26.57478468;0.146162002
165;33.00356409;26.81120867;0.12881448
167;32.28884035;27.091673;0.125608078
169;32.36266945;26.58059598;0.182273431
171;31.53529568;26.36788543;0.202199639
173;31.14321781;26.53502209;0.21484572
175;30.46371086;26.43544715;0.254298969
177;28.91341669;26.3785035;0.287563958
179;27.11553037;26.32377846;0.261145239
181;25.49990463;26.36283506;0.262888632
183;24.63774925;26.37544955;0.27439266
185;24.3580449;26.33634288;0.27885948
187;23.51954527;26.32306518;0.283227232
189;22.90247979;26.2864815;0.260558443
191;22.43031115;26.22749718;0.266374619
193;21.82323897;26.19566922;0.277634916
195;20.97656272;26.17176227;0.255347635
197;21.20631643;26.10541123;0.228280217
199;20.30600296;26.17407716;0.223804027
201;19.98482013;26.11472818;0.224477925
203;20.06724074;26.08846403;0.194575841
205;20.28456663;26.11275801;0.185289598
207;20.89071204;26.11323548;0.205520905
209;21.63770686;26.00710095;0.220819821
211;21.28672748;25.99689957;0.225279627
213;21.30157903;26.00461296;0.222499683
215;21.03467054;25.9971558;0.235310548
217;21.25498927;25.96125624;0.229792591
219;21.26227104;25.91279226;0.22276647
221;21.04800187;25.9179141;0.204915381
223;21.07223884;25.8630291;0.211900992
225;20.6909953;25.86817088;0.204668813
227;20.36029065;25.83894176;0.193083372
229;20.9852974;25.92217144;0.204277019
231;20.85530079;25.82225809;0.208297937
233;19.95504938;25.73546345;0.209660998
235;19.40553212;25.73399069;0.203269892
237;19.67358779;25.76536938;0.20700105
239;19.468674;25.71595776;0.213644124
241;18.95257605;25.7458987;0.213374949
243;18.42611369;25.6548117;0.208794812
245;18.08977228;25.81265184;0.208317133
247;17.98811755;25.70814129;0.221597809
249;17.98129245;25.64053872;0.211179679
251;18.41560175;25.57835507;0.203158505
253;17.82404297;25.57041315;0.217909551
255;17.60939872;25.64967528;0.227072369
257;17.34337575;25.57331588;0.220081063
259;17.09881514;25.55150308;0.231689264
261;16.94900184;25.49402653;0.232045973
263;16.66524206;25.49924416;0.20603878
265;16.35418248;25.50355693;0.206081886
267;16.96323724;25.49194551;0.205809612
269;16.11041672;25.50483617;0.215999163
271;15.86813518;25.49153854;0.228757993
273;15.52053357;25.4105975;0.225158234
275;15.78054491;25.3951357;0.224703791
277;15.85538473;25.40954678;0.234483825
279;15.87421916;25.14926397;0.224087201
281;15.54844167;25.37501641;0.225805913
283;14.97919087;25.5315773;0.242727261
285;14.84029933;25.26533636;0.258572096
287;14.86036774;25.3587256;0.246450807
289;14.529883;25.35354833;0.229790591
291;14.9422056;25.33813613;0.220315735
293;15.92400046;25.2946209;0.220084686
295;15.54861079;25.35030087;0.192125658
297;15.1215056;25.15820702;0.193030009
299;15.14533329;25.18111868;0.191485008
301;15.68506866;25.23553934;0.185698876
303;15.86881222;25.2977507;0.18168001
305;16.11659664;25.2250963;0.202712386
307;15.70753273;25.17423429;0.192224678
309;14.91949837;25.18861035;0.214072269
311;17.70637692;25.24397866;0.21817593
313;18.62425861;25.30923133;0.212936727
315;17.39589871;25.13616569;0.202992273
317;16.48807699;25.08645748;0.2280814
319;18.07606553;25.09417087;0.194554497
321;17.58999484;25.13020123;0.201559899
323;17.27919547;25.12635134;0.214263045
325;16.97045002;25.04021261;0.217893887
327;16.6908929;25.04668176;0.191201977
329;16.34538858;25.07220637;0.208459575
331;16.12785504;25.0772864;0.211432516
333;16.17225313;24.99809283;0.23633086
335;18.48109166;25.02869697;0.318305132
337;17.53833524;24.89539976;0.521511413
339;14.31377527;24.96484753;0.702243419
341;11.7050354;25.09750148;0.849694517
343;9.452968696;24.9504102;0.904278142
345;8.197891726;24.97834014;0.925286745
347;7.540361337;25.04347466;0.873673178
349;7.101779736;25.19270968;0.801643785
351;6.49089957;24.85068989;0.753379383
353;5.873487044;24.93218376;0.787045768
355;5.752305411;24.93409898;0.782768964
357;5.870007908;24.90573388;0.741665746
359;5.507445646;24.88611198;0.686025171
361;5.078192935;24.85926778;0.695162684
363;4.990527746;24.85423589;0.66861504
365;5.2584058;24.84646755;0.668602106
367;5.17936169;24.8686951;0.707568625
369;4.916123341;24.82155801;0.750120594
371;4.559163205;24.81187446;0.768737669
373;4.85708491;24.81790164;0.796547244
375;4.981911988;24.79683519;0.779730663
377;4.800447465;24.84055706;0.763891934
379;4.571981273;24.80380175;0.793883677
381;4.621130668;25.05359338;0.785848515
383;4.658214092;24.87885418;0.800603136
385;4.617083164;24.86537033;0.838857574
387;4.532095395;24.86670451;0.853582683
389;4.493398748;24.73686287;0.816817517
391;4.518223307;24.7196395;0.822116763
393;4.854912368;24.69755733;0.851277303
395;4.64278406;24.72708352;0.845355092
397;4.643937296;24.71207148;0.822133776
399;4.44341003;24.69614729;0.809685501
401;4.615966441;24.7273597;0.753402206
403;4.815122609;24.69023826;0.685446475
405;4.607786631;24.64400652;0.70864557
407;4.387075633;24.62178578;0.680271401
409;4.478913023;24.67674663;0.705781166
411;4.55133452;24.67436172;0.706463042
413;4.634478072;24.59092539;0.702913671
415;4.226768799;24.57131711;0.686635937
417;4.297434253;24.62920841;0.718394285
419;4.68699187;24.6100421;0.712617011
421;4.618698326;24.61854998;0.750003609
423;4.491341491;24.53290914;0.772628649
425;4.498925595;24.53938559;0.815557858
427;4.176243714;24.59510008;0.777101059
429;4.534420903;24.5609086;0.797904662
431;4.691821031;24.79268822;0.81940395
433;4.50541202;24.47193569;0.783599121
435;4.143661598;24.47846027;0.685062997
437;4.244464354;24.59485113;0.731015738
439;4.429096249;24.4686255;0.694734453
441;4.415222767;24.58329514;0.672204687
443;4.390838368;24.3230736;0.678212928
445;4.227800183;24.45350892;0.681834402
447;4.680665748;24.39365475;0.667817997
449;4.713043197;24.42774996;0.669213856
451;4.472739585;24.52120144;0.654877958
453;4.416875921;24.36365255;0.647368292
455;4.602128315;24.36994861;0.677303506
457;5.109262747;24.40261919;0.632431999
459;5.182839499;24.42104499;0.645653357
461;5.001736143;24.40205177;0.619326353
463;4.848520136;24.36492304;0.633874042
465;5.179376555;24.530338;0.621421337
467;5.372193621;24.35519864;0.695830688
469;4.892831817;24.29732193;0.727808477
471;4.841827749;24.3279888;0.72727198
473;4.880324203;24.37108199;0.748333182
475;4.984650333;24.2861802;0.775545399
477;4.850227907;24.28274506;0.736419734
479;4.630122308;24.27668335;0.68705775
481;4.623829167;24.23709386;0.706439141
483;5.145964299;24.29114207;0.709950897
485;5.006813953;24.29611854;0.687798476
487;4.58515494;24.19623971;0.674728832
489;4.742400097;24.23486162;0.735042903
491;5.002353495;24.24225022;0.729641481
493;4.998478324;24.23348659;0.655995259
495;4.91727533;24.1969034;0.669345647
497;4.688717652;24.16195828;0.666873494
499;4.671766774;24.15338088;0.587763028
501;4.971341265;24.20628842;0.594203615
503;4.884338654;24.17049388;0.681294036
505;4.631869709;24.12712986;0.671233855
507;4.795749405;24.15933804;0.676132402
509;5.008814791;24.17023083;0.731711556
511;4.91584278;24.14937831;0.789626856
513;4.807580714;24.11013501;0.759601608
515;4.789366018;24.11231911;0.747642317
517;5.029505891;24.15852314;0.751776919
519;4.972704937;24.08572336;0.750672364
521;4.621872638;24.09960154;0.738786032
