Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric vandalize protected;Foam;;;F1A-1-1;Upholstery for passanger seats, vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 14:42:18
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;38;217.90;12.37;;;31.47;9.49;11.78;;914.81;;70.45;0.0088;Shrinkage. Glowing. End flame at 285s.
;2011-07-14;c_LSFIRE_F1A-1-1_25c;42.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;8.661603283;31.47;0.165116505
3;8.128128359;31.29393196;0.166725756
5;7.781161012;31.5496336;0.179934547
7;7.345014047;31.22745061;0.195825187
9;6.654829141;31.23725719;0.20639827
11;5.690512343;31.21344164;0.231896223
13;4.552234733;31.43732213;0.24543296
15;3.650423886;31.27303131;0.242203782
17;3.312029594;31.16847261;0.244071431
19;3.052919574;31.24626198;0.267099307
21;2.728577667;31.07653279;0.278101413
23;2.339038736;31.09352764;0.291056791
25;2.396257615;31.12693241;0.320965382
27;2.141245454;31.19027034;0.347195353
29;2.190792208;31.11033675;0.353238012
31;2.183860006;31.00877949;0.384041014
33;1.822732163;31.1181012;0.446724653
35;1.918269033;31.05179732;0.56399001
37;1.967543795;31.05291076;0.552007338
39;-0.405161106;30.99142533;0.588863006
41;23.36783001;30.99948248;0.757784261
43;76.27330741;30.61077438;0.945076999
45;136.0754118;30.56217961;1.05291813
47;178.065137;30.424098;1.252981937
49;199.9626313;30.19425402;1.42437377
51;217.9046543;29.90071231;1.476691507
53;211.8530093;29.65146038;1.484883247
55;195.576281;29.50235567;1.491524526
57;180.2953282;29.40521377;1.515297949
59;155.2682846;29.27513777;1.574003246
61;138.9354753;29.22363248;1.573851617
63;123.692958;28.99361444;1.5920476
65;112.9689922;29.04462184;1.59484294
67;103.3611144;28.88534346;1.647915895
69;96.93748225;29.3148775;1.646097975
71;93.24669495;28.76983704;1.711306695
73;90.11049123;28.70412149;1.814530255
75;85.35157163;28.5945309;1.849527583
77;84.13487268;28.65595362;1.81929285
79;82.93731231;28.54647389;1.76928213
81;83.03858516;28.49483052;1.785342784
83;81.41976448;28.43725089;1.738856386
85;81.28658766;28.29351745;1.781339582
87;79.55980969;28.20985163;1.85489345
89;79.85378054;28.32637377;1.932422003
91;78.89945972;28.10213396;1.852749269
93;80.38542856;27.99223949;1.864860513
95;82.05283755;27.92456107;1.975115366
97;79.87436209;27.88119171;1.98267555
99;78.85569702;27.85987631;2.042623486
101;78.51233641;27.77594161;2.062865979
103;78.16226193;27.75941693;2.067575917
105;75.23304882;27.61363748;1.932496951
107;72.21648362;27.51665361;1.886292287
109;69.81308417;27.52578482;1.817199799
111;65.98700752;27.43947251;1.741935872
113;63.82579759;27.56296169;1.595547952
115;60.58079336;27.34895098;1.479571981
117;55.32175783;27.36141183;1.401412053
119;51.73203468;27.27379304;1.241142723
121;47.73819913;27.25718474;1.163379212
123;45.55677542;27.24493005;1.047331027
125;43.17131278;27.18434412;0.950974662
127;41.22840858;27.10007052;0.816347483
129;37.87600188;27.08548101;0.777835815
131;36.34221166;27.08970334;0.700854484
133;34.14495999;27.07792563;0.659424821
135;32.47841008;27.00388892;0.61628983
137;30.58383159;27.05444656;0.568935172
139;29.12762174;26.93955569;0.466943228
141;27.08617738;26.90933809;0.420199164
143;26.24089982;26.89118215;0.373803756
145;25.52696441;26.8471063;0.329738552
147;24.31507039;26.84226793;0.296934709
149;22.97148311;26.82123648;0.293420227
151;22.06207244;26.81695143;0.288454647
153;21.4122737;26.75843145;0.290257005
155;20.70296481;26.73126244;0.286811645
157;19.38796167;26.62646793;0.294438814
159;17.84007864;26.6692091;0.288590716
161;17.46375287;26.70530024;0.292502176
163;17.31013109;26.66857848;0.267842304
165;17.07801209;26.62923793;0.280173171
167;16.95930911;26.57055215;0.294882005
169;16.23535062;26.58114056;0.318234708
171;15.21429456;26.58514944;0.321084642
173;14.39573224;26.53502648;0.354322755
175;13.7810481;26.44887997;0.362008698
177;13.55675944;26.44708339;0.359564259
179;12.58730511;26.50964677;0.352721995
181;12.20869552;26.43961845;0.469097365
183;10.97324689;26.48144018;0.60895504
185;9.148421518;26.39053892;0.711645382
187;7.378208831;26.41244216;0.816199207
189;6.1811735;26.39188818;0.907634974
191;5.265407134;26.3098687;0.890875288
193;4.873594264;26.309364;0.835345519
195;4.559074603;26.36959791;0.797159202
197;4.182361819;26.30954244;0.741048479
199;3.811392765;26.26505964;0.734830906
201;3.502286694;26.2057301;0.73861135
203;3.492155869;26.24853448;0.710480109
205;3.328518091;26.16222216;0.723223149
207;3.192917362;26.1831656;0.731448533
209;2.937477197;26.14167548;0.701687313
211;2.800698041;26.14365877;0.671896978
213;2.966058474;26.20878648;0.676438629
215;3.112866594;26.16659765;0.659965003
217;2.862442111;26.08021581;0.683278994
219;2.577878529;26.10349408;0.677724608
221;2.583300016;26.04200864;0.633759017
223;2.596136196;26.10050091;0.618082949
225;2.584489053;26.11007361;0.589614549
227;2.539326413;25.99293592;0.533339413
229;2.337536659;26.02053473;0.531971106
231;2.091361194;25.97184953;0.548464479
233;2.26391337;25.95656082;0.540976551
235;2.100348472;25.99561256;0.556491536
237;1.826032338;26.00047816;0.559186004
239;1.77669198;25.93297867;0.550350896
241;1.956632799;25.92283952;0.566220201
243;2.119274985;25.93670311;0.570755287
245;2.046675823;25.88099592;0.554464734
247;1.51691032;25.8527689;0.561876373
249;1.841596799;25.89327103;0.545196929
251;1.869542522;25.90691339;0.524317326
253;1.891440294;25.88281292;0.543633403
255;1.814956751;25.93333069;0.541745868
257;1.666386866;25.8492652;0.520787049
259;1.632753186;25.83528346;0.533250981
261;1.500943271;25.84860929;0.522609928
263;1.700183647;25.7655245;0.489996502
265;1.493159867;25.78332112;0.482646634
267;1.622791509;25.7716747;0.47539019
269;1.217914243;25.77629184;0.469717473
271;1.356139483;25.78234625;0.480322548
273;1.496708386;25.78001629;0.477056475
275;1.532512644;25.74259048;0.477266634
277;1.400080305;25.74460148;0.488181423
279;1.243576948;25.78540749;0.507556967
281;1.446615261;25.67785758;0.494241042
283;1.747338701;25.65950763;0.489237291
285;1.515897091;25.63976856;0.499820519
287;1.471307238;25.65032926;0.478130469
289;1.156332731;25.65544381;0.432547934
291;1.512391709;25.71169703;0.46850517
293;1.206100603;25.63946419;0.493296937
295;1.430291962;25.59400067;0.474863189
297;1.402149621;25.62213725;0.507013812
299;1.478623106;25.49052576;0.534059378
301;1.047238065;25.56397464;0.488351148
303;1.134930597;25.56393963;0.477141844
305;1.487949831;25.57228171;0.470995224
307;1.460461024;25.60551242;0.454439742
309;1.144985058;25.54997831;0.425656405
311;1.090461621;25.54320478;0.429473612
313;1.305135036;25.54406928;0.417368142
315;1.381316296;25.51834533;0.424425126
317;1.182134343;25.5344008;0.439875402
319;1.092458254;25.57122564;0.447254435
321;0.946905766;25.48874911;0.456829918
323;1.084920964;25.40952734;0.458653152
325;1.155415535;25.46128887;0.455089214
327;1.20053745;25.45866231;0.495803753
329;0.940376091;25.48827894;0.503139974
331;1.226388734;25.47319883;0.496624
333;1.070914918;25.47567952;0.494265196
335;0.963507648;25.47172607;0.502309114
337;0.95158326;25.37443879;0.4403486
339;0.765980956;25.45855923;0.445441836
341;0.811034864;25.41388242;0.469218985
343;1.170039618;25.45238666;0.474218633
345;1.263062221;25.38672654;0.534489188
347;1.116805103;25.39262828;0.547451224
349;1.016926112;25.33316795;0.544460705
351;0.997672865;25.39461887;0.520900076
353;1.291973682;25.41317691;0.524309078
355;1.207148118;25.33768202;0.458204702
357;1.086805713;25.40286467;0.474974158
359;0.837523978;25.36119416;0.497885515
361;1.015927257;25.39190916;0.512237333
363;1.252344185;25.26725159;0.50707032
365;0.793005371;25.38170778;0.525755274
367;0.756928466;25.288602;0.520435553
369;0.48632166;25.2637829;0.498564875
371;0.78867872;25.34880284;0.485069799
373;0.963277357;25.267696;0.492839197
375;0.972018089;25.24613165;0.486931975
377;0.650975;25.19611955;0.482056942
379;0.872323545;25.19884919;0.484372349
381;1.146197173;25.2382933;0.525934223
383;1.415554423;25.27603759;0.540732316
385;0.921560504;25.17150661;0.522802838
387;0.898226292;25.21359187;0.521516961
389;0.720456866;25.22130526;0.532329039
391;1.010824599;25.14659756;0.501475213
393;0.83129794;25.20376293;0.490560247
395;0.757036839;25.19897269;0.487594133
397;0.836425443;25.28766214;0.492081092
399;0.955734925;25.24735353;0.491249154
401;1.122211759;25.18858509;0.503507084
403;0.860121055;25.06070582;0.508667096
405;0.791273737;25.19190257;0.547249406
407;0.743719218;25.15476605;0.548002194
409;1.077526336;25.15521581;0.569258687
411;0.896349592;25.0946221;0.583706481
413;0.753249182;25.11844591;0.60478142
415;0.722044877;25.15991561;0.588162034
417;0.478724889;25.20710083;0.589449919
419;1.477073908;25.14101867;0.565177793
421;0.735798165;25.08998307;0.548677226
423;0.665362738;25.1454141;0.499331996
425;0.677379967;24.99978051;0.477422928
427;0.948029472;24.92300637;0.510919878
429;0.986487545;25.11064256;0.536827367
431;0.655286111;24.98509278;0.543157939
433;0.797017727;25.12407099;0.637263488
435;0.934869564;25.05747829;0.661880323
437;1.065627734;25.10337163;0.626487947
439;0.840006911;25.04955145;0.602151905
441;0.669535398;25.00159217;0.609542889
443;0.709823423;25.11913002;0.551830817
445;0.983938021;24.98102895;0.564016223
447;0.982994876;25.03496679;0.581024103
449;0.609536699;24.97519528;0.57925692
451;0.587087426;25.0190426;0.577780906
453;0.922779815;24.98311532;0.570684265
455;0.850379455;24.95213095;0.568126588
457;0.825221048;24.98301224;0.577084759
459;0.619708151;24.95555929;0.592892648
461;0.673938483;25.01113569;0.562546153
463;0.811157285;24.9005576;0.556410111
465;0.999661599;24.99230877;0.559229459
467;0.672637526;24.98251435;0.518305703
469;0.73932596;24.9299107;0.520616323
471;0.966001647;25.0062978;0.543808328
473;1.088255934;25.02567756;0.562595338
475;0.839354927;24.87826733;0.528129129
477;0.655236563;24.907565;0.538565715
479;0.992688575;24.9864328;0.533842249
481;1.109284242;24.91656299;0.528349506
483;0.916790594;24.9018276;0.507802276
485;0.728411867;24.93189982;0.524951743
487;0.896239454;24.99000506;0.535101331
489;0.846770559;24.90709337;0.521631484
491;0.960689536;24.79231287;0.568175679
493;0.559318958;24.75239907;0.58882485
495;0.966961653;24.81118258;0.599859248
497;1.188010143;24.81878512;0.604473778
499;0.847582308;24.86716644;0.642004391
501;0.84096328;24.72886456;0.627047222
503;0.629820335;24.84160634;0.617094589
505;0.836584432;24.78590643;0.63313109
507;0.929727033;24.72204338;0.609160578
509;0.7087502;24.83031388;0.5985442
511;0.622718214;24.70264272;0.5798337
513;0.892948061;24.77121335;0.630028091
515;0.952494972;24.74931741;0.606920052
517;0.946270694;24.75573114;0.646682927
519;0.67238769;24.71267101;0.660484875
521;0.737129868;24.68980748;0.668992421
523;0.992074285;24.72976407;0.608962731
525;0.88351861;24.88466647;0.63533859
527;0.887487661;24.70888384;0.618885741
529;0.772343288;24.68138275;0.623832256
531;0.898902981;24.73713808;0.606295398
533;1.114418922;24.69204701;0.630217337
535;0.959220624;24.67333046;0.609574915
537;0.681640573;24.62458253;0.604804504
539;0.61434002;24.65952035;0.571729094
541;0.647189028;24.68435404;0.573979121
543;1.014530759;24.66168403;0.583831003
545;0.966307346;24.64674784;0.610998193
547;0.977978186;24.64877295;0.612465362
549;0.887151265;24.58848945;0.620194891
551;1.058250469;24.59186965;0.625759692
553;1.180292633;24.62732675;0.583800073
555;0.96745199;24.61698729;0.572532965
557;0.656105;24.49725075;0.590182407
559;0.853439215;24.63545489;0.59651186
561;1.195610997;24.54337795;0.624445322
563;1.325268425;24.54490566;0.663673182
