Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Protection layer;Foam;;F1A-1-2;Upholstery for seat, vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 14:46:17
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;15;100.03;13.95;;;35.40;19.07;7.23;;646.44;;41.16;0.0088;Shrinkage. End flame at 202s.
;2011-07-14;c_LSFIRE_F1A-1-2_25a;32.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;9.277930638;35.4;0
3;8.300925903;35.27774825;0.011585831
5;7.153462563;35.4792806;0.027955871
7;6.162685029;35.23447223;0.056277388
9;5.950195926;35.37090703;0.102806764
11;5.812308163;35.33879074;0.175298486
13;5.865425992;35.28140657;0.287457544
15;5.881500618;35.19727884;0.271087505
17;8.390821881;35.23153255;0.244606045
19;20.09983183;35.13718496;0.21004684
21;39.77706498;35.26319665;0.147652217
23;64.41216195;34.91212539;0.029630467
25;85.60521375;34.84617062;0.029630467
27;100.0309983;34.81232242;0.027790409
29;96.29207078;35.05290067;0.015820239
31;84.82189409;34.37649669;0.005723139
33;66.86852885;34.42129262;3.40006E-17
35;49.9467884;34.30808116;0.031132154
37;37.9218506;34.25231853;0.05929593
39;28.91776773;34.14183476;0.069111392
41;24.76440808;34.16259684;0.069111392
43;23.2621494;34.13391861;0.075745365
45;22.93487591;34.1129071;0.044613211
47;24.91136456;33.99314334;0.016449435
49;28.53917436;33.96612409;0.006633973
51;35.28175759;33.99149408;0.0084577
53;45.45119952;33.82772643;0.011623656
55;58.56047341;33.88296394;0.011623656
57;65.94387412;33.57820951;0.035027048
59;66.49119542;33.55145671;0.078828149
61;64.47739814;33.26490296;0.228478293
63;64.24611024;33.25443415;0.470774623
65;60.48968992;33.15738659;0.773928588
67;54.74805155;33.05554683;0.924138268
69;47.24459531;32.99810723;1.082210125
71;40.81610878;32.90866172;1.083745809
73;33.17447798;32.71947838;0.990085895
75;27.29862737;32.82625715;0.858614684
77;22.57005226;32.59389018;0.841278653
79;19.88278142;32.28766105;0.751452617
81;17.63868523;32.66988977;0.693966821
83;16.64178995;32.83591494;0.609988622
85;16.04260885;32.61261597;0.497017936
87;15.76499184;32.48650266;0.361182238
89;15.83457378;32.47361929;0.306890066
91;16.10792131;32.49957031;0.254432588
93;15.87208304;32.18903715;0.19012603
95;15.51891376;32.36469288;0.148292647
97;15.07970185;32.26178393;0.127851305
99;15.09608954;32.30158542;0.076806538
101;14.38458915;32.28847206;0.039522161
103;13.96145814;32.16361222;0.033414205
105;13.51411795;32.14312632;0.018241362
107;13.40680042;32.11940559;0.018250806
109;12.68249609;32.07397368;0.019963406
111;12.24638562;31.89197813;0.019989461
113;11.38413722;32.7359554;0.017157897
115;11.238409;31.80250538;0.015452054
117;10.95320694;31.97651137;0.059573795
119;10.13427799;31.93164152;0.066060639
121;9.873217405;31.87552833;0.067338261
123;9.688951803;31.85684873;0.077767294
125;9.668510445;31.77755889;0.09679482
127;9.394102698;31.71007447;0.068647312
129;9.079989781;31.68787464;0.05696757
131;9.000898873;31.70769686;0.06509696
