Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;F1A-1-3;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 15:16:40
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;67;73.17;12.14;;;44.29;14.82;7.48;;187.55;;30.83;0.0088;End flame at 239s;2011-07-14;c_LSFIRE_F1A-1-3_25b;29.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;9.004225193;44.29;0
3;7.728859968;44.53824157;0.017222163
5;7.484122471;44.30491869;0.029821893
7;7.19836689;44.32841819;0.111900572
9;6.734067299;44.3628095;0.200757176
11;5.870295643;44.33869494;0.356412557
13;4.737566151;44.36371485;0.420968081
15;4.175485453;44.25838306;0.508431915
17;3.772541363;44.20267635;0.578028495
19;3.596806628;44.18476157;0.645488495
21;3.383448356;44.15789986;0.693141171
23;3.322145352;44.06336751;0.751484417
25;3.621332582;44.10323318;0.795720194
27;3.562068985;44.01887498;0.838708556
29;3.340899248;43.80923491;0.880433727
31;2.923921806;43.89374869;0.861263155
33;2.911792121;43.86819394;0.932876344
35;2.895510631;43.85369729;0.951428608
37;2.981101193;43.80872729;0.869116832
39;2.795167678;43.70939498;0.819445654
41;2.599337486;43.74486473;0.76696368
43;2.431579045;43.78772648;0.643018331
45;2.646511815;43.70111125;0.589684013
47;2.534605111;43.71062122;0.577230181
49;2.51789685;43.67299509;0.51239816
51;2.468688945;43.66117022;0.430892063
53;3.011333663;43.64413015;0.44248297
55;3.245048942;43.60173858;0.408934573
57;3.205667771;43.55678608;0.430044984
59;2.693244928;43.5330177;0.458272158
61;2.543192861;43.51166729;0.499165503
63;2.752653273;43.56396658;0.520375157
65;3.203230999;43.48511239;0.527425796
67;3.642303948;43.43529429;0.413563283
69;7.451880827;43.44477655;0.31152155
71;18.68536404;43.39680074;0.220478789
73;31.57899967;43.17373224;0.101527066
75;41.88968192;43.34086258;0.018507535
77;45.00951543;43.14364543;0.027666789
79;45.26822171;43.11554726;0.017942773
81;45.83056502;42.97640471;0.017942773
83;49.59880968;42.88727378;0.016305165
85;51.11667633;42.89122723;0.047131009
87;48.56568943;42.92347237;0.064182606
89;47.7088581;43.06554537;0.142528126
91;49.99834238;42.50219143;0.233720228
93;53.63942745;42.50509416;0.331119642
95;56.52427419;42.36973149;0.356038568
97;61.52197441;42.14054586;0.370226995
99;65.60457915;42.11181366;0.334722031
101;67.61761765;42.07033472;0.318947639
103;68.69888717;41.91252083;0.283468632
105;70.19826066;41.767231;0.277436686
107;71.71167223;41.66103229;0.247130711
109;73.05512782;41.67746409;0.227744602
111;73.17039977;41.43782814;0.182925386
113;72.70005282;41.41497434;0.157607392
115;72.52003413;41.20580444;0.146138927
117;70.07663436;41.23095222;0.146699627
119;68.70718688;41.00238458;0.147964897
121;68.29665932;41.12412774;0.140183219
123;67.30768805;40.87501925;0.132757724
125;62.71410058;40.79063528;0.123915515
127;61.24982093;40.80096502;0.116839276
129;57.94913897;40.68846344;0.102202726
131;53.88985056;40.6672589;0.091335374
133;51.77302696;40.58530603;0.078821592
135;47.37253258;40.60146118;0.049419442
137;44.21346816;40.46342429;0.038695767
139;42.19822699;40.48106241;0.028612599
141;40.03125465;40.33337746;0.016663136
143;37.88100398;40.36268194;0.001991311
145;36.25084765;40.31230128;0.004333345
147;34.5770143;40.36589683;0.004333345
149;33.26662947;40.25392085;0.004333345
151;32.70005694;39.76149862;0.004333345
153;31.84950319;40.20371523;0.002342034
155;30.35729506;40.01735342;4.66641E-16
157;28.35217233;40.07881066;4.66641E-16
159;27.49584689;40.06365081;4.66641E-16
161;26.51379234;40.0322089;4.66641E-16
163;25.27481238;39.98144121;4.66641E-16
165;24.62483091;40.10999535;4.66641E-16
167;24.12544738;39.8770595;4.66641E-16
169;23.79212866;39.92535671;4.66641E-16
171;23.27257303;39.77890579;4.66641E-16
173;23.15194454;39.82273463;4.66641E-16
175;22.11697431;39.76495468;4.66641E-16
177;20.5379958;39.72041644;4.66641E-16
179;19.66781968;39.70731232;4.66641E-16
181;19.30989395;39.65800961;4.66641E-16
183;18.52324752;39.6123662;0.000599184
185;17.27159932;39.65292278;0.000599184
187;16.41580734;39.56820575;0.000599184
189;15.57211344;39.68763646;0.000599184
191;14.62152625;39.58440612;0.000599184
193;14.46549629;39.44250864;4.66641E-16
195;14.13381505;39.49011493;4.66641E-16
197;13.37780622;39.52909616;4.66641E-16
199;12.41977837;39.46059895;0.00435502
201;11.86957938;39.44217704;0.013117799
203;10.84582663;39.48084417;0.034904377
205;9.923251909;39.40529726;0.046989165
207;8.500644338;39.40239404;0.052943974
209;8.362359158;39.3677635;0.048588954
211;7.667692468;39.35591286;0.042712254
213;7.769272955;39.19505865;0.030837526
215;7.129998949;39.29430782;0.026442718
217;6.699116531;39.29009569;0.020487909
219;6.351635508;39.2390319;0.020487909
221;6.449793412;39.24540041;0.01760183
223;6.236747365;39.20921154;0.007987698
225;6.221549532;39.20789437;0.002955959
227;5.867156724;39.17488635;0.002955959
229;5.279246319;39.18774201;0.002955959
231;5.267838234;39.194764;0.002955959
233;5.602283384;39.12575965;0.00265824
235;5.585299194;39.09603848;4.62824E-16
237;5.617186256;39.10254362;4.62824E-16
239;5.523284337;39.1078157;4.62824E-16
241;6.147605327;39.07115715;4.62824E-16
243;6.753607797;39.18552047;4.62824E-16
245;6.322022035;39.01834636;4.62824E-16
