Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;F1A-1-3;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 15:18:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;68;91.70;13.22;;;44.16;13.99;8.80;;126.35;;35.29;0.0088;End flame at 181s;2011-07-14;c_LSFIRE_F1A-1-3_25c;29.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.511618132;44.16;0
3;6.089899685;44.35890288;0.018419027
5;6.609461864;44.14194714;0.043996124
7;6.326533853;44.13980826;0.124797578
9;5.335870258;44.20497973;0.18964238
11;4.491535592;44.3084313;0.278305528
13;4.339323261;44.21777996;0.406939662
15;3.730583048;43.75044182;0.555796999
17;3.055652051;44.18411506;0.630998198
19;2.626822074;44.11060443;0.76840152
21;2.553758426;43.97541533;0.88682757
23;2.729709253;43.79289612;0.895059783
25;2.818197384;43.90031865;0.941808737
27;2.974395633;43.60652459;0.981452688
29;3.221655974;43.98083377;0.972449765
31;3.179751857;43.58282429;0.925733782
33;2.669706326;43.86654533;0.93919817
35;2.206116031;43.81611896;0.824850331
37;1.959504816;43.67232426;0.763352007
39;2.047055549;43.64962654;0.715091238
41;2.026659181;43.60088687;0.661436699
43;1.771420075;43.48527105;0.591024543
45;1.814192727;43.57517605;0.585714016
47;2.532155754;43.50028309;0.567108115
49;2.525446225;43.44406099;0.522397155
51;2.702729897;43.42754653;0.520923694
53;2.839266865;43.50575696;0.502639059
55;3.074046633;43.38120149;0.50354895
57;2.846845574;43.49403517;0.484969675
59;2.422747558;43.45353353;0.507621879
