Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seats, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 15:23:01
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;125;310.18;81.54;;;41.52;34.42;21.13;;1195.70;;135.74;0.0088;Melting of surface. Shrinkage. End flame at 659s.
;2011-07-15;c_LSFIRE_F1A-2-2_25a;28.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;8.291102678;41.52;0.002851029
3;8.404021564;41.5111153;0.013044028
5;8.072811009;41.36865867;0.015357095
7;7.17835813;41.37218717;0.015357095
9;6.135821191;41.38593553;0.015406167
11;5.120034842;41.45226177;0.023762407
13;4.07045628;41.26519981;0.015878357
15;3.494181535;41.4129645;0.020637996
17;2.698988513;41.32380196;0.027416621
19;2.133291083;41.58326208;0.036790713
21;2.034382809;41.36393602;0.049102184
23;1.692676626;41.35709685;0.08527277
25;1.513340641;41.41945165;0.142723563
27;1.588528348;41.39895504;0.192650443
29;1.475508558;41.39970139;0.282298745
31;1.147072281;41.42631561;0.372294331
33;0.67571478;41.19829108;0.432242548
35;0.829556214;41.27956421;0.503729751
37;0.895997407;41.32337506;0.59079791
39;1.064251741;41.40071467;0.73193879
41;1.060741537;41.25860715;0.805337957
43;1.153151957;41.30262173;0.89303388
45;0.795057125;41.26399836;0.965775763
47;0.965163524;41.25375905;1.054279281
49;1.19640106;41.37756379;1.06518581
51;1.395380738;41.138857;1.05651636
53;1.291394089;41.15505834;1.064703186
55;1.287806309;40.95750812;1.047178624
57;1.305330147;41.0993842;1.040516059
59;1.355423809;41.15443987;0.999492778
61;1.751944582;41.14222748;1.059098843
63;1.972411247;41.06865802;1.12429332
65;1.742485103;41.07792975;1.209721537
67;1.520416098;40.9808778;1.275110855
69;1.360687159;41.03109558;1.248716369
71;1.365129941;40.90173383;1.309694417
73;1.396989301;40.97178209;1.246870183
75;1.584094134;40.96655668;1.226753194
77;1.92612764;40.94097276;1.217903714
79;2.016301142;40.90518745;1.287663299
81;1.988616011;40.89861716;1.216928138
