Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seats, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-08-16 15:28:10
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;116;442.18;78.77;;;39.84;33.42;20.93;;1234.49;;146.98;0.0088;
Melting of the surface. Shrinkage. End flame at 593s.
;2011-07-15;c_LSFIRE_F1A-2-2_25c;28.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.78290459;41.69;0
3;7.679134143;41.32730808;0
5;7.995253838;41.5267249;0
7;7.577565563;41.22670868;0
9;6.851295677;41.33022686;0
11;5.759261699;41.18279572;0
13;4.686038109;41.2848781;0
15;3.491693627;41.26124002;0
17;2.460217381;41.24148199;0
19;1.726221017;41.3463645;0.001884926
21;1.468151378;41.44475015;0.037062492
23;1.814832996;41.33108407;0.107070038
25;1.639454486;41.20808305;0.20221454
27;1.427457101;41.18473088;0.299893351
29;0.999462517;41.22369509;0.441169491
31;0.993978597;41.3243577;0.546540972
33;1.143566289;41.22958419;0.645398648
35;1.436516921;41.24160063;0.771943359
37;1.335188046;41.13982262;0.885293572
39;1.043964726;41.2283662;0.941922917
41;0.938773632;41.20711547;1.060576326
43;1.151386189;41.21893013;1.079720688
45;1.304655416;41.1424769;1.07067153
47;1.280782856;41.11762231;1.06733386
49;1.053900857;41.13481845;1.052417959
51;0.968837804;41.05551743;1.097260094
53;0.967526313;41.08298059;1.162561474
55;1.374795813;41.16447398;1.171940504
57;1.503857073;41.00374472;1.203170111
59;1.422957886;40.91778054;1.30692188
61;1.334788945;40.94014714;1.239643864
63;1.003554762;40.9230711;1.27293303
65;1.094750077;40.92699684;1.31279798
67;1.49774296;40.84932708;1.298720324
69;1.735690498;40.88016121;1.354818583
71;1.271294676;40.8294295;1.395215851
73;0.958198109;40.77792324;1.430600173
75;0.864316368;40.78288172;1.416157274
77;1.033225908;40.76218382;1.442547279
79;1.163035622;40.69082714;1.367105462
81;1.253073185;40.74683969;1.300201123
83;1.277822484;40.59542592;1.233010767
85;1.106105045;40.61469579;1.243233144
87;1.270077643;40.61175561;1.233331996
89;1.627260543;40.55517176;1.257364907
91;2.257865478;40.59078106;1.409947948
93;2.365637961;40.49339897;1.457287982
95;2.1560929;40.53144131;1.484068053
97;1.999370494;40.52707311;1.550698305
99;1.772460881;40.45775272;1.621625135
101;2.072184536;40.39437589;1.69449248
103;2.238350975;40.37204721;1.786197027
105;2.134181926;40.24496389;1.909616603
107;1.880162145;40.27803949;1.893271466
109;1.677828575;40.22494767;1.904772442
111;1.630334855;40.24637393;1.906911097
113;1.413553096;40.18839851;2.042012477
115;-1.590678221;40.12583221;2.206472012
117;-14.36409824;40.06117565;2.911356047
119;-2.832038165;40.03706789;3.79773652
121;44.65324637;39.84877433;4.879834442
123;88.60899072;39.74063754;5.922683552
125;124.8632725;39.48968676;7.385903007
127;144.3560219;39.17171979;8.491497879
129;166.8545478;38.85820416;9.077176122
131;177.8982247;38.59844355;9.586427225
133;180.3544788;38.26809061;10.17036649
135;189.6742423;38.02124936;10.07021461
137;190.530311;37.5094503;9.764907696
139;191.0490728;37.32472316;9.489471861
141;193.070188;37.16145875;9.05716443
143;194.7294942;36.81684936;8.867115636
145;197.0309517;36.58105794;8.70228617
147;199.4633459;36.27389186;8.927993469
149;201.8567288;36.05061526;8.973458333
151;203.803275;35.75048964;9.108266024
153;202.8194153;35.46321093;8.448543109
155;202.9675855;35.1090264;7.882271228
157;194.4613106;34.87216628;7.02627052
159;186.0551861;34.58384657;6.485212421
161;186.9815205;34.46506594;5.692300101
163;183.652271;34.17796227;5.353525353
165;179.105009;34.03359966;5.081965754
167;177.8093392;33.75077181;4.770123217
169;172.0725321;33.51087961;4.616497289
171;176.7746463;33.33955221;4.473019794
173;174.8662113;33.27159616;4.315820788
175;172.8440859;33.00111732;4.130859301
177;172.1641244;32.78681732;3.952530933
179;168.476571;32.58981507;3.593415889
181;167.9148005;32.27039187;3.364787001
183;164.4553058;32.7814723;3.158270458
185;168.0105467;32.0887887;2.82740687
187;160.0989521;31.92115609;2.576261791
189;163.3794973;31.73228199;2.329081215
191;160.4192105;31.50285908;2.168871893
193;159.9856402;31.39917461;1.818377138
195;160.7512577;31.25087654;1.686458125
197;155.6671635;30.90482064;1.410447154
199;150.7400142;30.8565492;1.241984332
201;140.9015899;30.70281373;0.932132179
203;135.6466416;30.60049262;0.736003879
205;128.5616814;30.42995776;0.573320556
207;122.9459211;30.37321735;0.526471065
209;120.2088128;30.24447504;0.494206898
211;119.0718127;30.10738288;0.49734613
213;113.5038861;30.18550434;0.478532827
215;107.4467274;30.03649638;0.413594361
217;104.5854583;29.91613068;0.403444996
219;102.9218629;29.70988491;0.344510813
221;97.38842043;29.58576899;0.322741234
223;96.44529359;29.58258959;0.337303407
225;96.13767425;29.49824939;0.339642409
227;92.17517257;29.4875224;0.320425482
229;89.88258658;29.41268196;0.327063753
231;90.44251299;29.21271231;0.334220615
233;89.29729166;29.16410879;0.345552427
235;86.46772104;28.97323486;0.336867881
237;85.84775264;29.08819089;0.370066819
239;85.57959769;28.79386199;0.32348238
241;83.70529126;28.85725632;0.273137807
243;82.63148897;28.71526209;0.273325752
245;84.06774678;28.61062706;0.263602027
247;84.07936135;28.20418166;0.191917553
249;82.57545384;28.33052787;0.204181325
251;85.03714419;28.57178489;0.187007901
253;84.29817799;28.45078321;0.153068146
255;82.90842699;28.15706257;0.15831538
257;86.15644517;28.29491858;0.158014018
259;83.67801862;28.18426706;0.149934135
261;84.29388864;28.14267775;0.16023079
263;83.61576699;27.85848654;0.133067041
265;82.50042258;27.84939082;0.089391325
267;81.80574206;27.87413504;0.074630501
269;81.84172511;27.65971445;0.074989113
271;81.66337672;27.6152861;0.053656235
273;81.86587233;27.48108792;0.056588558
275;80.20316448;27.53455705;0.056119355
277;79.4660693;27.42540698;0.043142663
279;76.16960013;27.40550988;0.023571729
281;76.38114669;27.13199071;0.016981782
283;75.32362297;27.26013399;0.014443245
285;73.58009008;27.1877441;0.012877022
287;72.01006238;27.08515703;0.012069377
289;70.82203782;26.97014606;0.042454614
291;69.4349659;26.91961614;0.042846837
293;68.77963423;26.87011116;0.039444557
295;66.51864506;26.89120582;0.038614292
297;64.57010914;26.85174517;0.04180822
299;62.34509063;26.7553681;0.036550278
301;60.29335191;26.67358007;0.057178121
303;59.1604025;26.58498057;0.057178121
305;61.01499323;26.51613085;0.057178121
307;60.02269052;26.61854385;0.055180836
309;61.34250273;26.40733231;0.078487147
311;62.5047628;26.42359686;0.094338123
313;63.891397;26.30891798;0.09971081
315;63.86911087;26.16633445;0.119657164
317;61.54371608;26.14664789;0.141428174
319;63.12950027;26.19167624;0.131774678
321;60.69597137;26.2508954;0.131821387
323;58.48864797;26.01425748;0.142039657
325;62.03014193;25.95251337;0.153220596
327;63.70674352;25.89389177;0.181193339
329;65.76463235;25.86804189;0.166852443
331;65.74799401;25.73658113;0.17017282
333;68.19973726;25.73566849;0.190745017
335;68.63989563;25.77024603;0.218290199
337;73.38983837;25.58686475;0.202768466
339;74.73987599;25.56233349;0.220956932
341;79.09342001;25.53110067;0.267083027
343;82.80209788;25.49845002;0.270797733
345;83.66292203;25.36605766;0.245913182
347;84.08348033;25.19528261;0.287707962
349;86.57983384;25.20970584;0.311291726
351;86.22469737;25.04702344;0.317624798
353;86.10519936;25.09407835;0.351576582
355;89.79704101;24.87074681;0.418386507
357;90.03864927;24.91465879;0.453100878
359;94.62159089;24.82593969;0.496987453
361;94.54354;24.79126248;0.585117699
363;99.80131109;24.54989655;0.715959192
365;104.5303663;24.52757711;0.830114507
367;107.2919259;24.42824236;0.889573633
369;106.97896;24.37239562;0.966745591
371;106.3630178;24.33528488;0.996529049
373;108.7761162;24.22390403;0.970244791
375;112.9743373;24.00597245;0.961745262
377;116.25884;23.9262664;1.009325419
379;117.5521951;23.89191836;0.988395868
381;120.3697358;23.80720814;1.037184171
383;120.3437741;23.63544898;1.065304898
385;119.504244;23.47589929;1.038662485
387;122.875945;23.59400651;1.00110484
389;123.977738;23.24681723;1.067696232
391;126.2390883;23.28034453;1.039695612
393;131.0157675;23.14089371;1.111624895
395;134.288314;23.11297885;1.153697743
397;137.1495797;22.86884876;1.197873394
399;138.6207559;22.86103277;1.259360382
401;143.6936421;22.74900769;1.315213762
403;145.8173392;22.5549461;1.292827523
405;148.2422578;22.44705972;1.392302345
407;147.631062;22.32856547;1.526494055
409;148.957987;22.30276275;1.536236136
411;150.0448958;22.10721625;1.529547965
413;154.3017734;22.04055986;1.547747192
415;153.5346975;21.88373592;1.620473343
417;153.3990163;21.59269727;1.560549355
419;154.3132158;21.70441799;1.543410356
421;161.7359401;21.33480716;1.563141381
423;161.2580567;21.4458564;1.612522742
425;163.7686226;21.52823617;1.68880688
427;165.2215397;21.35857553;1.7587862
429;171.8514035;20.89778533;1.833366435
431;174.7453352;20.81522371;1.908982826
433;174.7626819;20.70881106;2.050847961
435;176.5154285;20.54469917;1.955232211
437;182.522837;20.45650567;1.994304781
439;183.9057891;20.41719186;2.13580041
441;185.6918661;20.15401362;2.197547585
443;184.9506584;20.09116385;2.271354816
445;185.0512402;19.92089496;2.340029465
447;187.590636;19.64862877;2.413901722
449;186.4073553;19.67163087;2.408084916
451;185.9658173;19.50808007;2.607615507
453;186.305818;19.25263516;2.526478499
455;187.4769679;19.13543183;2.535192365
457;184.2151069;19.00095796;2.493342536
459;180.454955;18.8746312;2.491489363
461;174.3164023;18.81113476;2.311884435
463;172.483106;18.61518178;2.38133068
465;165.0558428;18.47127962;2.377360483
467;165.7494948;18.36913258;2.326359652
469;163.0683575;18.35478374;2.291421223
471;161.6091816;18.17743694;2.280947076
473;163.1714268;17.99366863;2.264190425
475;159.1289501;17.93527847;2.386901374
477;162.2193784;17.68540612;2.472679206
479;158.9012534;17.61719335;2.564218565
481;160.1752298;17.5988084;2.523165561
483;158.0795308;17.37108094;2.487744459
485;156.6670056;17.97588368;2.304330662
487;156.4625873;17.30434141;2.313089287
489;153.3769216;16.99840157;2.122458276
491;153.2160822;16.95814791;2.129613593
493;149.1392187;16.88457942;2.091860141
495;148.8871633;16.79604653;2.073692495
497;144.9797892;16.9375351;2.030207608
499;145.2914577;16.65342848;2.005130625
501;142.0034394;16.53638366;1.972969447
503;137.838159;16.43294473;1.885373962
505;138.5717454;16.33278049;1.843632216
507;137.0761939;16.15792168;1.767396235
509;133.972945;16.07354355;1.746777834
511;132.3255385;16.03021308;1.715167738
513;132.2890873;15.91697925;1.766069726
515;132.3557948;15.78601638;1.754089851
517;130.9480559;15.73436426;1.688808282
519;126.1328742;15.60627641;1.668226901
521;125.3644581;15.57044637;1.589113205
523;122.2721427;15.57837321;1.473914196
525;122.6392638;15.228447;1.489642526
527;123.6671751;15.47320431;1.459777394
529;119.7784252;15.20493972;1.470462205
531;117.779028;15.07180004;1.472084198
533;116.9558876;14.96967245;1.408589347
