Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Powder coated Alu sheet ;;;;IN1-2;Walls and ceiling;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 09:26:49
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;126;50.587;5.62;;;53.92;1.10;45.055;;236.05;;6.72;0.008836;A large blister, approximately 60 mm in diameter, was produced in the ;2011-10-05;ISO 5660-1_BREG_IN1-2_50b;2.03;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;0;53.92;0
2;4.107097409;53.92;0.142301008
4;4.133543176;53.92;0.220155214
6;5.912568144;53.998236;0.209211923
8;3.10784188;54.204102;0.198794721
10;2.68823384;54.212769;0.196078742
12;0.952994284;54.207808;0.225414878
14;0.973169836;54.266066;0.290747725
16;2.786870363;54.287653;0.198104308
18;1.599045309;54.193304;0.173912453
20;-0.41316502;54.208457;0.169146934
22;1.308801344;53.988273;0.165623248
24;2.324296332;53.998892;0.182594037
26;1.783878444;54.053441;0.195829508
28;0.851583094;54.005601;0.172261258
30;-0.140973324;53.991932;0.205029971
32;2.766486134;54.054924;0.221356982
34;3.823815296;54.073043;0.234352396
36;5.222721892;53.996609;0.21128664
38;3.790368111;54.213941;0.167049391
40;3.429557776;53.99437;0.190298528
42;3.438409245;54.04205;0.216994568
44;3.221236545;54.190101;0.258588773
46;1.212490297;54.001003;0.221201367
48;0.834314203;54.051869;0.140947514
50;-1.013787125;54.070891;0.121356809
52;4.003243914;53.992348;0.145632336
54;0.130689212;53.908946;0.121534876
56;1.284038672;53.927237;0.187338722
58;2.334404718;53.716011;0.195853547
60;0.819078886;53.781217;0.20717435
62;0.573751178;53.926079;0.16718705
64;2.309830273;53.786004;0.21929142
