Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Powder coated Alu sheet ;;;;IN1-2;Walls and ceiling;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 09:31:38
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;126;48.60;4.95;;;53.95;0.41;106.06;;43.80;;6.12;0.008836;Small blisters were produced over the exposed area just prior to ignition;2011-10-05;ISO 5660-1_BREG_IN1-2_50c;2.03;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;0;53.95;0
2;0;53.95;0.047491042
4;1.358211698;54.002362;0.06816522
6;1.30307336;53.564874;0.089414002
8;0.888353539;53.631702;0.084908733
10;2.188734126;53.767137;0.053027771
12;1.674630026;53.704801;0.073269587
14;1.237181032;53.207723;0.053111054
16;1.782617153;53.60976;0.023032201
18;2.952290737;53.981667;0.044645394
20;0.843933397;53.564602;0.064701986
22;0.641255088;54.348466;0.103775763
24;2.138077217;53.831078;0.096383535
26;2.803269477;53.530984;0.0507044
28;1.806201072;53.685982;0.079553399
30;1.994013742;53.76772;0.047043568
32;0.577808655;52.985576;0.030539024
34;0.938623626;53.977087;0.030242271
36;1.626982624;53.805902;0.017225593
38;2.525205082;53.495877;0.037041542
40;3.776060932;53.613656;0.062995464
42;1.840973104;53.677887;0.023469414
44;2.772216426;53.281993;0.016752453
46;3.318457656;53.677492;0.027781419
48;2.613585195;53.93886;0.077332015
50;1.868443155;53.487685;0.089776661
52;1.894122683;53.715682;0.030257645
54;1.36484338;53.735796;0.02491041
56;0.741280798;53.438242;0.001136298
58;0.94137727;53.686582;0.024289089
60;0.501029925;53.488083;0.030031099
62;0.674365434;53.260431;0.055449617
64;1.713171959;53.953731;0.050114817
66;1.801398957;53.487758;0.093269333
68;1.812546863;53.073481;0.102587279
70;2.038184572;53.816389;0.111567687
72;1.373116748;52.85073;0.119153184
74;1.865129697;53.614481;0.156410096
76;2.615330961;53.723617;0.195626387
78;1.79293731;53.246864;0.241640708
80;0.128182659;53.637025;0.159022815
82;2.645295735;53.462483;0.182539447
84;0.776068609;53.277697;0.206001117
86;1.147749061;53.680872;0.231979538
88;3.5092597;53.268122;0.211080508
90;3.156014524;53.484473;0.259187434
92;3.842092847;53.53294;0.27939943
94;3.026186372;53.244864;0.332528479
96;2.921398488;53.510865;0.350717853
98;2.890455175;53.265554;0.35806325
100;7.326342817;53.29767;0.458864371
102;2.946952126;53.50178;0.470497575
104;3.686507762;53.169342;0.486843294
106;4.349063907;53.665398;0.488533329
108;3.121809508;53.463685;0.55601067
110;3.137605499;53.224398;0.573173681
112;4.022542592;53.498512;0.670978582
114;3.87961898;53.178953;0.63263894
116;6.0344293;53.281944;0.653564857
118;5.125108706;53.438973;0.705153319
120;5.387602382;53.226395;0.76371741
122;4.251819368;53.420254;0.764996415
124;4.361309466;53.224867;0.83371766
126;10.26633992;53.222853;0.812551419
128;23.47778615;53.218773;1.193010337
130;41.20606701;53.16216;1.369011917
132;47.8084132;53.260075;0.897627647
134;48.60069496;53.038475;0.465382075
136;39.58387271;52.926497;0.459103704
138;29.43651748;53.155496;0.223472228
140;19.35909145;52.9695;0.237024615
142;12.12546012;52.967621;0.375916881
144;7.325679691;52.817735;0.409928862
146;5.067790723;52.791487;0.341359628
148;6.785827082;52.963923;0.321158831
150;6.814839196;52.931665;0.165536368
152;7.188857248;52.765977;0.122019992
154;6.645606179;52.929114;0.139066184
156;6.062107566;52.819063;0.123666282
158;6.043434242;52.904711;0.069935443
160;6.32025213;52.969845;0.069452629
162;7.68921344;52.795354;0.023261051
164;6.919028258;52.929093;0.071709682
166;6.678648766;52.748359;0.026247234
168;7.069769577;52.717711;0.045416735
170;6.789249497;52.911622;0.127100785
172;5.97762773;52.722819;0.034532108
174;6.307305365;52.780425;0.057773525
176;6.841672511;52.799023;0.009877601
178;6.570927568;52.715827;0.001729919
180;6.558119994;52.903689;0
182;6.626863846;52.726391;0.066262758
184;7.158807882;52.781002;0.018147237
186;8.048936105;52.926902;0.005814582
188;7.487728281;52.777765;0.028307634
190;9.247218228;53.08706;0
192;6.202781254;52.832201;0
194;5.904911546;52.931389;0.02483455
196;3.249365558;52.821181;0.090577378
198;4.048689248;52.72594;0.138769066
200;6.041737376;52.765126;0.084512767
202;4.302181761;52.735848;0.084032643
204;5.964259636;52.718974;0.070994185
206;5.958034449;52.791708;0.080535771
208;3.898958322;52.728265;0.129609227
210;5.841055028;52.702915;0.084985693
212;5.683874213;52.729884;0
214;6.624528587;52.647595;0
216;6.050723291;52.768034;0
218;6.624827112;52.719988;0.049402794
220;5.354177137;52.613175;0
222;4.979333681;52.719416;0
224;5.60055481;52.647876;0
226;0.641068568;52.634365;0
228;2.200812129;52.72623;0
230;1.854156014;52.508518;0
232;1.824854455;52.648131;0.00684527
234;2.228728654;52.638678;0
236;4.217763263;52.507751;0
238;3.358810647;52.880483;0.013512838
240;6.104072768;52.536029;0
242;4.572357636;52.656059;0
244;5.735588076;52.781346;0
246;4.163801399;52.646094;0
248;6.083265923;52.715574;0
250;5.385430701;52.719858;0
252;5.28200014;52.644057;0.022279043
254;3.2582975;52.707231;0
256;2.923786636;52.73194;0
258;4.754313924;52.645953;0
260;4.093644597;52.714193;0.02008421
262;5.184091735;52.663327;0.011432196
264;3.312077462;52.634167;0.013763049
266;3.041146289;52.655169;0.021218106
268;3.665039127;52.653294;0.034503685
270;4.026774967;52.646451;0
272;3.927354934;52.714671;0.035633786
274;3.976014492;52.528866;0.056263229
276;4.530303339;52.607543;0
278;3.918065924;52.715557;0
280;5.992321122;52.536294;0
282;6.047939159;52.640947;0
284;4.596690394;52.70365;0
286;7.623139394;52.543776;0.014003027
288;8.813916334;52.647055;0.048206715
290;5.708420796;52.663263;0.057174812
292;5.955053722;52.534675;0.086437693
294;4.892609769;52.659109;0
296;4.838381046;52.544241;0
298;5.340382459;52.510256;0
300;4.533919324;52.624774;0.028799759
302;5.425892002;52.643246;0
304;3.643933941;52.432697;0
306;3.645018633;52.48285;0.021132577
308;2.562284381;52.495227;0
310;2.518259913;52.445901;0
312;3.37689194;52.490334;0
314;2.174577497;52.497898;0.00591373
316;4.309564298;52.440442;0.029255266
318;4.68316381;52.489261;0
320;4.548615051;52.642;0.00699652
322;4.079496593;52.529111;0.018391317
324;4.8340453;52.622434;0
326;5.478311264;52.702544;0
328;5.290024818;52.531137;0
330;3.000232589;52.613237;0
332;3.789512689;52.648104;0
334;4.218750557;52.52747;0
336;3.985398412;52.485422;0
338;5.846236311;52.519543;0
340;5.441916937;52.440201;0
342;6.636884017;52.439078;0
344;5.274237129;52.49073;0
346;6.919815539;52.434446;0
348;7.486489029;52.468914;0
350;7.956682675;52.503146;0
352;7.69123015;52.534109;0
354;8.862789696;52.483195;0
356;7.082125858;52.704979;0
358;7.620880442;52.522034;0.072616191
360;5.961448283;52.615251;0.095612895
362;6.004720912;52.7039;0
364;5.687783309;52.535512;0.018888776
366;6.497249543;52.498186;0.032363112
368;6.768904512;52.494827;0.134219149
370;5.87837185;52.521483;0.042853413
372;6.15273989;52.294607;0.107612261
374;5.39243102;52.60662;0.026421134
376;7.865421519;52.509762;0.041663935
378;7.341149346;52.335002;0.100045693
380;6.594899621;52.496612;0.058426664
382;6.442185246;52.496853;0.036728073
384;6.530530402;52.494973;0.034748161
386;7.144496199;52.615583;0
388;6.398363234;52.710885;0.299322133
390;6.71956227;52.475139;0.097679793
392;5.295471707;52.510409;0.065929133
394;3.684470646;52.507176;0
396;6.299297174;52.331844;0.043975985
398;5.20239574;52.216527;0.053562133
400;5.773498717;52.468751;0.038067895
402;5.566688867;52.44412;0.005637844
404;7.09523842;52.432033;0.013743396
406;6.196789647;52.497917;0.014413515
408;7.526233365;52.451584;0.006441209
410;5.590990115;52.498641;0.02657735
412;7.050985552;52.618441;0.036307758
414;5.826151417;52.648118;0.126634011
416;4.912732875;52.436613;0.083376077
418;4.725425158;52.641356;0.135042617
420;5.602070727;52.643311;0.053265895
422;7.963853674;52.497578;0
424;7.993800631;52.649568;0.018545825
426;11.44076754;52.43736;0
428;8.004448171;52.427293;0.022647526
430;7.06147609;52.493885;0.015255494
432;5.492679454;52.43736;0
434;5.595664505;52.398524;0
436;4.121550246;52.491575;0
438;5.749240776;52.312505;0
440;5.492333646;52.294942;0.053643915
442;7.221899894;52.491884;0
444;5.673179222;52.312617;0.004272288
446;4.260100462;52.428008;0.031681304
448;5.105151544;52.490241;0
450;4.510955482;52.311282;0.008887469
452;3.670876746;52.459186;0
454;4.43054183;52.49773;0
456;5.451277732;52.43364;0.054268571
458;5.54705991;52.607881;0.058823656
460;5.533759368;52.529396;0.015198258
462;8.556326981;52.449005;0.02939416
464;7.204265965;52.503097;0
466;7.291204005;52.648162;0
468;7.268282609;52.439184;0.011164288
470;6.421350026;52.62309;0.031701771
472;6.316631646;52.611908;0.110949524
474;6.141356148;52.498034;0.069039962
476;6.775285342;52.642038;0.071885977
478;6.213113959;52.666604;0.094682405
480;5.584659388;52.505493;0.036924467
482;5.909228618;52.611862;0.009557482
484;6.814742861;52.46288;0.018760517
486;6.011853084;52.429177;0.016111061
488;5.122224519;52.491558;0.048405539
490;6.229456962;52.444095;0.031079129
492;5.608367463;52.487735;0.043028443
494;5.833933658;52.505341;0
496;6.274248955;52.447683;0.002007656
498;6.675217165;52.430155;0.017416036
500;5.517437213;52.451078;0.042762785
502;5.788023723;52.435866;0
504;6.910021339;52.612476;0
506;5.535045872;52.529396;0
508;6.235207837;52.437505;0
510;6.742676558;52.500021;0
512;6.590566788;52.532049;0.001095748
514;7.103190428;52.468947;0.012186978
516;5.051829102;52.507942;0
518;7.093924005;52.296715;0
520;4.974538452;52.438695;0.076126401
522;8.265875693;52.501618;0
524;7.50165177;52.428167;0
