Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Painted GFK polyester with Gelcoat handlaminated;;;;IN1-5;Wall panel;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 11:57:38
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
15;239;43.89;11.39;;;85.23;12.40;8.68;;393.63;;13.57;0.0088;End flame at 657s.;2011-09-30;c_LSFIRE_IN-1-5_15a;4.8;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.521533116;85.23;0
3;6.157626516;85.1704577;0
5;5.785960364;85.2434809;0
7;5.504123867;85.3382355;0
9;5.585106567;85.3401497;0
11;5.254491648;85.3373204;0
13;4.314103569;85.3331278;0
15;3.153798214;85.2542398;0
17;2.196399271;85.2744172;0
19;1.746894663;85.5282244;0
21;1.589794216;85.3642504;0
23;1.432797406;85.2964179;0
25;1.250739143;85.2753645;0
27;0.600699212;85.3526993;0
29;0.643409921;85.2636153;0
31;0.555804918;85.2806029;0
33;0.494366771;85.389976;0
35;0.661737876;85.3165523;0
37;0.598406197;85.2819502;0
39;0.272162271;85.3636836;0
41;0.244621956;85.3900472;0
43;0.426503306;85.406829;0
45;0.304500694;85.4002983;0
47;0.648748401;85.2767513;0
49;0.272016939;85.5050787;0
51;0.499356265;85.1297649;0
53;0.239560367;85.3613138;0
55;0.052351461;85.4031398;0
57;0.29100001;85.4313658;0
59;0.26744611;85.3304649;0
61;0.390490744;85.2788991;0
63;0.603383319;85.3371497;0
65;0.424040653;85.3796849;0
67;0.204867179;85.3915013;0
69;0.083351825;85.3087851;0
71;0.505884169;85.366505;0
73;0.737774645;85.3596139;0
75;0.89174724;85.2613207;0
77;0.712454566;85.3426896;0
79;0.680122862;85.3832156;0
81;0.527909508;85.3859063;0
83;0.576727468;85.3453686;0
85;0.820023707;85.3467711;0
87;0.941729305;85.3047198;0
89;0.885941022;85.2986608;0
91;0.735956116;85.276664;0
93;0.714321768;85.3923613;0
95;0.44756849;85.3652728;0
97;0.644117748;85.3227337;0
99;0.965694654;85.3276039;0
101;0.739238505;84.9636593;0
103;0.8929793;85.3142299;0
105;0.580544232;85.2672172;0
107;0.368862254;85.4039798;0
109;0.572764499;85.4112748;0
111;0.798075215;85.3437043;0
113;0.769086951;85.261749;0
115;1.033848323;85.2734981;0
117;0.909512625;85.3837151;0
119;0.767893582;85.3795542;0
121;0.648449507;85.3080719;0
123;0.35952519;85.3409423;0
125;0.505436927;85.3544627;0
127;0.808249114;85.2708469;0
129;0.993339902;85.3175031;0
131;0.920434395;85.3200035;0
133;0.923881111;85.3599748;0
135;0.584722843;85.4290317;0
137;0.490793662;85.8427905;0
139;0.807797376;85.3429828;0
141;0.836062914;85.2065491;0
143;0.970848642;85.3250757;0
145;0.946220954;85.3984598;0
147;0.963533236;85.2782966;0
149;0.848336353;85.4204011;0
151;0.781741168;85.3827322;0
153;0.931916221;85.4265869;0
155;1.119886591;85.2675621;0
157;1.075503204;85.5849458;0
159;1.135842576;85.2707796;0
161;0.611443673;85.2896536;0
163;0.805518146;85.3703728;0
165;0.912844328;85.3092251;0
167;0.867966566;85.2873078;0
169;1.375736675;85.2613168;0
171;1.394503117;85.175803;0
173;1.387948408;85.3588612;0
175;1.284069598;85.3268786;0
177;1.171508089;85.2971155;0
179;1.345816351;85.3188348;0
181;1.483972442;85.3431891;0
183;1.553915317;85.4173221;0
185;1.427337795;85.1950931;0
187;1.303991964;85.2412502;0
189;1.032827017;85.2843834;0
191;1.025292774;85.3198611;0
193;1.338047463;85.2046076;0
195;1.311981212;85.1580505;0
197;1.522192126;85.2362019;0
199;1.041670821;85.275824;0
201;1.032066888;85.3115353;0
203;1.125582624;85.2063076;0
205;1.357577877;85.2450028;0
207;1.55574363;85.250174;0
209;1.55016924;85.2562368;0
211;1.283005584;85.2591056;0
213;1.230795143;84.9645115;0
215;1.248934084;85.2231845;0
217;1.288937615;85.2931965;0
219;1.711610555;85.1044086;0
221;1.747380211;85.0988487;0
223;1.56029489;85.1795401;0
225;1.467113994;85.1179607;0
227;1.215663382;85.2130046;0
229;1.430997417;85.0510277;0
231;1.956333547;85.1932706;0
233;1.491539116;85.4008374;0
235;1.557163507;85.0183358;0
237;1.59924004;85.1506364;0.009630544
239;6.182211617;85.1064491;0.009630544
241;12.70032503;85.0354386;0.009630544
243;16.91447764;85.1364463;0.009630544
245;18.9314796;85.0929526;0.073777239
247;21.52428407;85.1074993;0.12284748
249;25.12398698;85.1589539;0.172153339
251;27.16819967;85.1813113;0.259906353
253;29.93619366;84.980762;0.324474797
255;32.12691436;84.9271875;0.342371973
257;36.02009089;84.8672324;0.374772788
259;38.40028594;84.8682315;0.412348776
261;41.58780054;84.8617959;0.434969439
263;42.92180763;84.8004502;0.450376654
265;43.69657769;84.7532394;0.410419053
267;43.89408334;84.6192749;0.355329762
269;42.55252348;84.6246163;0.300109067
271;41.12157761;84.6265305;0.233871957
273;40.85984705;84.5936166;0.19556395
275;39.51051754;84.5045922;0.184276865
277;37.9344467;84.454718;0.18533169
279;38.04712229;84.4010722;0.183175026
281;35.78049413;84.4181867;0.214704984
283;33.98851681;84.3841236;0.210101522
285;33.61373298;84.4054824;0.232838644
287;31.96602065;84.3105736;0.270880085
289;31.8234217;84.2094946;0.326395069
291;32.3130145;84.1389953;0.354085977
293;31.26996024;84.1869153;0.514998992
295;30.12950993;84.1955616;0.572387347
297;29.45061098;84.1155083;0.72126188
299;28.59676843;84.3640848;0.804602356
301;28.75541122;84.1357973;0.891786402
303;29.18598779;84.0585693;0.826670939
305;30.14426931;83.9713634;0.848535752
307;30.92697455;83.8490768;0.786746314
309;31.61785752;83.74879;0.77042585
311;31.35794679;83.8070094;0.691896784
313;30.96976908;83.7652752;0.686412854
315;30.81368157;83.7925817;0.680606544
317;31.14568395;83.747911;0.663734832
319;31.8190284;83.6178176;0.619547372
321;32.12530669;83.6175957;0.630611045
323;30.97416578;83.324681;0.637943403
325;30.29031661;83.5320263;0.624163368
327;29.38558997;83.3073046;0.582620501
329;28.99399216;83.4993656;0.58861706
331;28.89269526;83.1390673;0.560716267
333;28.17434522;83.4017227;0.533667285
335;27.89136026;83.3097544;0.507534259
337;27.35828345;83.21307;0.493291744
339;26.93369166;83.1874517;0.5111901
341;27.0618673;83.1602002;0.555658322
343;26.1580482;83.126843;0.602628899
345;24.81395124;83.2550227;0.611312559
347;24.22481218;83.1668577;0.640279578
349;23.70945809;83.0747538;0.581652938
351;23.24026654;82.9727875;0.536423908
353;22.96953186;82.8615993;0.456004714
355;22.49770798;82.8846898;0.448430896
357;22.18083428;82.7560116;0.400562476
359;21.71595723;82.844719;0.433962901
361;21.72568542;82.7631364;0.460333447
363;21.11456729;82.8107481;0.450619923
365;20.57242982;82.8055331;0.483982899
367;20.40083432;82.6906006;0.489187605
369;20.27927987;82.5762227;0.509089775
371;20.25530012;82.5825075;0.458499242
373;20.19090406;82.4525927;0.462690987
375;19.8064893;82.4891796;0.412694697
377;19.61507823;82.4759325;0.42084761
379;19.21475616;82.4646984;0.351890109
381;18.98651241;82.4314402;0.375912321
383;18.81497631;82.4067531;0.370347178
385;19.1594541;82.3187945;0.419334291
387;18.78536681;82.3298466;0.411312003
389;19.05514505;82.3108058;0.426459871
391;19.23592527;82.2441504;0.427847019
393;18.87705127;82.229631;0.452574621
395;18.64001177;82.2120844;0.382684569
397;18.46917086;82.2131263;0.390824713
399;18.38421029;82.0949729;0.376112601
401;18.1887468;82.051744;0.364636277
403;18.74473049;82.0432129;0.387615035
405;18.68092249;82.0548908;0.402272447
407;18.04133179;81.8585025;0.376986164
409;18.25099835;81.9129498;0.387464563
411;18.39170696;82.0310203;0.388734481
413;18.32874605;81.9178473;0.344521213
415;17.88402662;81.8313589;0.335829688
417;18.15851606;81.7356057;0.364143971
419;18.48400639;81.7651747;0.368164493
421;18.99143149;81.7449256;0.36934634
423;18.14962937;81.7135259;0.374752346
425;17.80583224;81.9325208;0.388075233
427;17.54729684;81.8091557;0.382841265
429;17.70892405;81.6291297;0.420416385
431;17.66245884;81.5966793;0.423538585
433;17.96165498;81.502729;0.446917783
435;17.80636159;81.4518012;0.455096155
437;17.40779175;81.5100797;0.462755492
439;17.6505462;81.4829238;0.410599852
441;18.10992096;81.5252683;0.408287574
443;18.11808309;81.3444657;0.429334662
445;17.82690699;81.3477233;0.426048429
447;17.50603286;81.3201235;0.415612164
449;17.29333914;81.3186255;0.434215357
451;17.27936997;81.3617314;0.430704632
453;17.54234932;81.2426102;0.418829364
455;17.38182869;81.1759425;0.419421709
457;16.84013396;81.1306854;0.422916959
459;16.99908437;81.0979111;0.442990068
461;16.95351468;81.1001545;0.422665846
463;17.03255168;80.6563794;0.367496377
465;16.70521041;81.4772863;0.362760202
467;16.89418893;81.1706533;0.345506911
469;16.70427227;81.0184524;0.316400762
471;16.65223553;81.154454;0.321767791
473;16.94963461;80.9417712;0.352624494
475;16.60868766;80.8097764;0.355482853
477;16.39077266;80.8103033;0.370384158
479;16.56020136;80.765133;0.394009168
481;16.67993346;80.836143;0.392641429
483;17.09073377;80.7427478;0.370529831
485;16.64752251;80.7263421;0.399980031
487;16.56459242;80.7995839;0.392160384
489;16.33659496;80.4698569;0.339661552
491;16.05686392;80.8240924;0.348555653
493;16.83300529;80.6437215;0.353921625
495;16.47634455;80.7458668;0.29279528
497;16.12651585;80.4670555;0.264986297
499;16.35915201;80.527331;0.317426825
501;16.835543;80.5423933;0.316660572
503;16.79814793;80.4449664;0.312471498
505;16.84954187;80.3666453;0.342899329
507;16.58706941;80.3074239;0.373190198
509;16.92412762;80.3841207;0.330161758
511;17.14082018;80.4177921;0.32515342
513;17.25520562;80.5873294;0.339610924
515;16.97853424;80.2308349;0.345550024
517;16.49898646;80.2184355;0.326005672
519;16.57646477;80.190127;0.422443211
521;16.77200349;80.30882;0.456719253
523;17.13605787;80.1172307;0.496847886
525;16.49541077;80.0937636;0.491468367
527;16.70260496;80.0847208;0.513671045
529;16.54075899;80.0628785;0.464532855
531;16.4576567;79.7990426;0.436163617
533;16.74754715;80.0968548;0.399133823
535;16.24288201;79.8863354;0.396169499
537;16.36140702;79.8891652;0.396688447
539;16.0048005;79.8854081;0.363526143
541;16.62850084;79.866922;0.351863672
543;16.75466173;79.860585;0.363675468
545;16.55159015;79.7260658;0.382931342
547;16.07728667;79.743791;0.355946091
549;16.11160402;79.8489475;0.34419659
551;16.10739321;79.7212795;0.339124714
553;16.22065144;79.7741058;0.348448019
555;15.84973914;79.6199078;0.327631807
557;16.13799968;79.5739327;0.328392161
559;16.32757408;79.5623938;0.329279578
561;16.65537796;79.557749;0.345867731
563;16.65251949;79.5088182;0.324184114
565;16.56110044;79.4700552;0.343289021
567;16.33394622;79.4712454;0.373212737
569;16.21260805;79.4520656;0.401167693
571;16.51629831;79.3485028;0.418355179
573;16.26132665;79.370345;0.404582226
575;15.78108775;79.3986262;0.38234466
577;15.69017942;79.3598168;0.378953685
579;15.8175836;79.3088334;0.362952162
581;16.07700316;79.2246445;0.324319202
583;15.72697032;79.1211245;0.346292696
585;15.44814178;79.3765556;0.347487735
587;15.24444569;79.2958491;0.317357057
589;15.14764786;79.1151207;0.366685331
591;15.07702599;79.3053388;0.395202284
593;15.52124137;79.2065344;0.379955331
595;15.25204946;78.9835727;0.394773291
597;14.74469251;78.9197066;0.417106006
599;14.81182059;79.013752;0.344542405
601;14.90305271;78.9893424;0.334317709
603;14.95522697;79.0016984;0.343978853
605;14.94880656;78.91905;0.31420052
607;14.26853432;78.8752358;0.310027363
609;14.77851299;78.8675954;0.316429579
611;14.62750091;78.8253221;0.317988673
613;14.52593728;78.8013838;0.309063157
615;14.80244805;78.7267948;0.325325928
617;14.45097547;78.6739812;0.338424607
619;14.34175281;78.7260861;0.362446738
621;14.48797696;78.7129535;0.353024615
623;14.49528932;78.6438849;0.352140297
625;14.36963655;78.5923869;0.361492657
627;14.14252906;78.4791988;0.343517891
629;13.87814946;78.5846201;0.326488295
631;14.20326707;78.5394221;0.342065832
633;14.20940713;78.5619053;0.360425134
635;14.11331963;78.3408855;0.329406132
637;13.77425605;78.3970406;0.329741501
639;13.65621583;78.4757344;0.318305517
641;13.56068859;78.3698291;0.311811356
643;13.57010032;78.3743227;0.317354875
645;13.17860929;78.2523288;0.34188127
