Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Painted GRP polyester with gelcoat handlaminated;;;;IN1-5;Wall;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 12:14:11
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;253;33.10;7.28;;;83.81;18.91;3.26;;885.76;;11.54;0.0088;End flame at 511S.;2011-09-16;c_LSFIRE_IN-1-5_20a;4.8;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.254450794;83.81;0.045044969
3;3.886831991;83.7410467;0.050811161
5;3.330065024;83.7720528;0.055004555
7;2.958544739;83.8022857;0.063815389
9;3.379794498;83.7573636;0.061237591
11;3.202176619;83.7597097;0.064609538
13;2.93794057;83.7395154;0.065419523
15;2.023083629;83.8895241;0.066127204
17;1.946099123;83.8310239;0.057857225
19;1.106325125;83.89039;0.061871144
21;0.581154503;83.7455562;0.061288125
23;0.977007332;83.8143164;0.05632195
25;0.470662744;83.8419083;0.053913963
27;0.371550279;83.984165;0.059799206
29;0.310350505;83.6603212;0.060227733
31;-0.000674592;83.7021127;0.052501421
33;-0.216450272;83.720591;0.053422626
35;0.103858986;83.8046435;0.054439789
37;-0.041252099;83.7727064;0.055260669
39;-0.109551118;83.697503;0.054237061
41;2.633615123;83.8383753;0.062560854
43;2.332405919;83.7029249;0.061367569
45;2.575873906;83.8204329;0.06799822
47;2.590681234;83.6286992;0.068517025
49;2.561730819;83.6631207;0.061322363
51;2.565514568;83.0944069;0.060295127
53;2.644579405;83.75605;0.064120379
55;2.583579913;83.7686214;0.062353194
57;2.543423178;83.771453;0.066647211
59;2.664457768;83.7596777;0.076828463
61;2.54337921;83.7826162;0.075415969
63;2.20154593;83.7568228;0.079065087
65;2.59102767;83.705922;0.085242339
67;2.460412213;83.7315382;0.082917132
69;2.459891921;83.7275911;0.082737296
71;2.625650378;83.8001837;0.082672675
73;2.422449895;83.7537038;0.0752265
75;2.429449337;83.7391013;0.071107934
77;2.61548805;83.7992493;0.072124889
79;2.424744391;83.7240459;0.074169779
81;2.445954275;83.1445232;0.079516558
83;2.599963431;83.63284;0.082945876
85;2.473667264;83.8045333;0.079622779
87;2.453137233;83.6765635;0.077049849
89;2.687758993;83.6342754;0.083511288
91;2.417134824;83.7032288;0.080353728
93;2.479447029;83.6885554;0.077374455
95;2.614808468;83.6027752;0.076877618
97;2.381555722;83.7134099;0.073118532
99;2.494686036;83.6824665;0.063601559
101;2.640414327;83.6442677;0.067233817
103;2.622212415;83.6764533;0.074144733
105;2.643342012;83.8659948;0.076498141
107;2.636974968;83.7300085;0.081975583
109;2.648595666;83.8992174;0.08251635
111;2.472547726;83.827299;0.085970183
113;2.648625072;83.6019009;0.097811769
115;2.40548161;83.661094;0.104577261
