Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Painted GRP polyester with gelcoat handlaminated;;;;IN1-5;Wall;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 12:20:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;184;65.39;11.00;;;87.07;21.22;4.63;;842.13;;23.72;0.0088;End flame at 436s.;2011-09-16;c_LSFIRE_IN-1-5_20c;4.8;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.805714175;87.07;0
3;5.269807314;86.9144373;0
5;5.238531841;86.9404478;0
7;4.912471061;86.9213899;0
9;4.483188766;87.032014;0
11;4.192567286;86.9953399;0
13;4.003477938;86.9417614;0
15;3.342458204;87.0728788;0
17;2.859332527;86.9571251;0.004418925
19;2.201805148;86.9890185;0.004418925
21;1.657488329;87.0013851;0.004418925
23;1.529215806;87.0278018;0.004418925
25;1.314766359;87.0497694;0.004418925
27;1.300244092;87.0325722;0
29;1.198444524;86.6840928;0.001103631
31;0.958739044;87.0512097;0.001103631
33;0.888416442;87.0865425;0.001103631
35;0.868065929;87.0829313;0.001103631
37;0.878304478;86.9723509;0.001103631
39;0.668305524;87.0323062;0
41;0.474747742;87.0388756;0
43;0.50562042;87.1028285;0
45;0.329563301;87.0825788;0.001448674
47;0.537720253;87.1180931;0.001448674
49;0.845598697;87.0762186;0.002920907
51;1.031034253;87.1611434;0.006599203
53;1.065280184;87.0957231;0.010603601
55;1.078071674;87.0411504;0.009154927
57;0.876577955;87.1522943;0.009154927
59;0.66911291;87.0650666;0.007682694
61;0.816913471;87.0563165;0.004004398
63;0.800495345;87.0160037;0
65;0.447005279;87.1347544;0
67;0.203293606;87.0267804;0
69;0.231672112;87.1426443;0
71;0.314764024;87.0975401;0
73;0.441420622;87.0455233;0
75;0.705376088;87.0175221;2.72948E-05
77;0.554808665;86.9924074;2.72948E-05
79;0.216930086;87.0215799;2.72948E-05
81;-0.00889144;87.0249474;2.72948E-05
83;0.316822968;87.0644045;2.72948E-05
85;0.102584215;87.0460757;0
87;0.416959628;87.0180852;0
89;0.627302993;87.0005133;0
91;0.74074911;87.0531811;0
93;0.720475353;87.0717695;0
95;0.601444954;87.050349;0
97;0.895207777;86.7003463;0
99;0.62022351;87.1042202;0
101;0.425316007;86.7301635;0
103;0.070297778;87.0582209;0
105;0.024602872;87.2049068;0
107;0.152004491;87.0616991;0
109;0.063105515;87.2212642;0
111;0.112433869;86.9951079;0
113;-0.262246196;86.982134;0
115;-0.261057957;87.0198406;0
117;-0.200153429;87.0267969;0
119;-0.019602133;87.0309489;0
121;0.060505873;87.0092958;0
123;-0.232128687;86.8949344;0
125;-0.495093978;87.2067952;0
127;-0.415869345;87.0078007;0
129;-0.18989879;86.8862344;0
131;-0.363593293;86.9643524;0.002030736
133;-0.374101703;86.7826264;0.004290739
135;-0.165560475;87.0682962;0.004290739
137;-0.289836606;86.9896258;0.006986975
139;0.209411635;86.982019;0.006986975
141;-0.092647748;86.9749359;0.015591951
143;-0.091469114;86.8949019;0.014454379
145;-0.053939202;86.9940428;0.02256909
147;0.026938734;87.047384;0.019872853
149;-0.027823159;87.074905;0.037797143
151;-0.024980392;86.9810525;0.040032919
153;-0.06148559;86.9416182;0.055522941
155;-0.175740442;87.1273908;0.067052876
157;-0.007962697;87.0509728;0.082400792
159;0.075243173;86.9931428;0.087457135
161;0.142278279;86.7954508;0.099501498
163;-0.027434774;86.9720699;0.10119412
165;0.099505006;86.8723658;0.102536154
167;0.334079328;86.9328342;0.117672635
169;0.331803499;86.8617658;0.133822437
171;0.228838885;86.8308384;0.159139695
173;0.225914921;86.9927729;0.195430217
175;0.5812081;87.1264019;0.227907326
177;0.854893048;86.8393355;0.268752311
179;1.115884872;86.7270489;0.292192863
181;1.285205762;86.7174702;0.315361446
183;-0.265280229;86.6620815;0.323539708
185;0.039530941;86.5625148;0.423377541
187;9.677632579;86.5635598;0.719980581
189;23.25341584;86.6248277;1.003882692
191;39.23259631;86.6432003;1.266217416
193;51.31311045;86.4451835;1.53468298
195;59.6141329;86.2131636;1.663411086
197;64.13829786;86.6078952;1.516966134
199;65.39402653;86.2200918;1.36860914
201;63.30442946;86.2692654;1.188292534
203;60.82347855;86.0757641;1.022063931
205;58.52087803;86.0080637;0.913403941
207;56.9344096;86.0141691;0.821955232
209;53.33501299;85.9085689;0.79380694
211;52.50452944;85.7336721;0.793980072
