Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL Melamine;Polyester film ;;;IN1-7;Partition;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 12:29:05
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
30;86;87.99;9.00;;;193.80;50.59;1.69;;328.80;;17.14;0.0088;Projection of particles. Raising of the surface. End flame at 164s.;2011-08-29;c_LSFIRE_IN-1-7_30a;13.4;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;2.301068243;193.8;0.019588141
3;1.656351662;194.1110598;0.025183689
5;1.456594149;193.7346691;0.038216274
7;2.394808503;193.8571163;0.04891454
9;2.715698541;193.6788209;0.063907324
11;2.926812592;193.4775185;0.058302889
13;2.705566323;193.7653063;0.048605191
15;1.798725478;193.7271847;0.038732434
17;1.444460812;193.7659228;0.03771502
19;1.627521619;193.6899193;0.037249067
21;1.774741512;193.7762394;0.04599328
23;1.805516709;193.7989975;0.059471216
25;1.500191005;193.8404691;0.070730456
27;1.200427693;193.8333042;0.093215098
29;0.65176655;193.8840096;0.125339327
31;0.843376472;193.8339951;0.178343165
33;0.629909759;193.8120432;0.241226729
35;0.752627566;193.7743592;0.33342946
37;0.409172668;193.7543741;0.400788224
39;0.625898957;193.7438168;0.453941754
41;0.921377558;193.7631742;0.525702652
43;1.347372681;193.6918195;0.566507804
45;1.617102958;193.6613243;0.606010462
47;1.489129678;193.3292764;0.672395974
49;1.160626681;193.7983182;0.715961046
51;1.325101338;193.5288881;0.827099103
53;0.986706955;193.6941106;0.897685155
55;0.732486386;193.70387;0.986726415
57;0.820778777;193.6453719;0.958633642
59;0.94641732;193.5919368;0.974609368
61;0.818938245;193.4147791;0.908218949
63;1.209332056;193.5928339;0.879366
65;1.28810364;193.6076568;0.801037055
67;1.084722424;193.5926719;0.856764931
69;0.962843334;193.3030399;0.839379343
71;1.069153555;193.3938858;0.788757096
73;0.914449099;193.3758042;0.780396396
75;0.558949963;193.4831324;0.737845148
77;0.281911148;193.4362657;0.737624748
79;0.328092518;193.448711;0.707197185
81;0.096867726;193.2601582;0.707020995
83;-1.76651618;193.3668505;0.675333902
