Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL Melamine;Polyester film ;;;IN1-7;Partition;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 12:33:27
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
30;28;85.41;7.69;;;193.16;52.96;1.48;;348.62;;32.10;0.0088;Projection of particles. Raising of the surface. End flame at 103s.
;2011-08-29;c_LSFIRE_IN-1-7_30b;13.4;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.292145178;193.16;0.000196827
3;4.680615005;193.1276531;0.017074639
5;4.158990767;193.1067752;0.025644433
7;4.198722698;192.7311328;0.028976313
9;4.153666366;192.8586143;0.032113762
11;3.293196232;193.0032088;0.032113762
13;3.141065414;193.1013878;0.025157765
15;2.435677813;193.4134458;0.034733957
17;1.806818329;193.0606713;0.049892466
19;1.052517937;193.0343751;0.068154189
21;0.765598607;193.0584833;0.078653662
23;0.576748652;193.114137;0.098745557
25;0.560823813;193.038522;0.123290841
27;-0.073019971;192.9513262;0.205977321
29;0.668773871;192.9589886;0.575084678
31;8.692757805;192.9588223;1.109575791
33;21.51262226;193.0316177;1.83141974
35;34.73525532;192.8621404;2.434007854
37;48.39428543;192.6555567;3.173830692
39;58.08244893;192.6305951;3.567562642
41;64.04522263;192.439833;3.661302099
43;67.98290136;192.4372896;3.725470998
45;72.14744295;192.290317;3.678102856
47;79.95673189;192.2662087;3.333230917
49;85.4058547;192.1471597;2.939130724
51;84.40076616;191.6131268;2.552761586
53;79.03045893;191.9202277;1.921238927
55;68.55413225;191.868666;1.511105914
57;60.37547891;191.8048837;1.128314695
59;53.99309621;191.667809;0.79211181
61;47.59717538;191.6710438;0.673677073
63;40.78936964;191.5711582;0.528456151
65;34.01117057;191.5463036;0.371062216
67;28.40777255;191.5829597;0.274993441
69;23.4483374;191.5915303;0.23901213
71;20.77158701;191.4884342;0.12052699
73;18.58857782;191.4131824;0.121334985
75;17.53549485;191.4424922;0.134827762
77;15.25642206;191.3609881;0.147868195
79;14.04036518;191.3846068;0.17316196
81;12.85733546;191.407799;0.268188297
83;12.27110817;191.3317099;0.329622842
85;11.44707045;191.2637174;0.415034487
87;11.61116291;191.4328315;0.489506251
89;10.97765738;191.1816294;0.539294263
91;9.94758855;191.2291272;0.487435232
93;10.2251193;191.1548984;0.478651515
95;10.37692898;191.1399175;0.423932442
97;9.816890799;191.0625721;0.382636991
99;9.003380319;190.8891928;0.389933554
101;8.146219912;190.9169784;0.455675759
103;7.109612077;190.9298933;0.477955438
105;5.489674013;190.878055;0.518770912
107;4.448358555;190.8203553;0.538931857
109;3.969804338;190.7240638;0.546160092
111;4.277420945;190.7709023;0.499253465
113;4.233471033;190.7783352;0.491028601
115;3.471848726;190.8058168;0.477761961
117;3.287577564;190.58052;0.463352897
119;3.164294311;190.6175908;0.448707063
121;2.833472054;190.5359764;0.481174596
123;2.870040493;190.3793591;0.470146577
125;2.889822958;190.4234203;0.500448708
127;2.23666973;190.4386619;0.545434503
129;2.04098846;190.4182348;0.567154015
131;2.095438414;190.4175157;0.578053537
133;2.254089793;190.3433739;0.585470351
135;2.247498255;189.9700581;0.573944371
137;2.267372037;190.0510959;0.591634313
139;2.038326787;190.0914332;0.607348492
141;1.849392924;190.0975708;0.64907363
143;1.740240055;190.003369;0.714386378
145;2.10824289;190.161815;0.755682239
147;1.99986;189.8214508;0.797703433
149;1.974509043;189.7227462;0.84774892
151;1.557801766;189.7445955;0.878837254
153;1.263543519;189.7092584;0.861563477
155;1.365944148;189.6264829;0.843366643
157;1.503294864;189.5642171;0.839947747
159;1.541318041;189.4567211;0.824871748
161;1.684242607;189.3459388;0.787344683
163;1.437202105;189.3259814;0.826636377
165;1.42541686;189.3842024;0.861597773
167;1.142360126;189.2162776;0.867644558
169;1.299531035;189.1750281;0.897288473
171;1.495417602;189.0954553;0.921507141
173;1.632936443;188.9938202;0.957173888
175;1.524501472;188.8981647;0.95483935
177;1.353372791;188.97989;0.937015831
179;1.272605519;188.9513071;0.884861383
181;1.299482828;188.7934733;0.86617625
183;1.454529764;188.7188536;0.849332616
185;1.864996765;188.6915105;0.812322108
187;2.040182445;188.5453951;0.838548328
189;1.772343666;188.4467775;0.859008687
191;1.160502893;188.4709135;0.854383333
193;1.463756434;188.36931;0.826129513
195;1.539145026;188.3025739;0.852980478
197;1.347617198;188.1734105;0.872266497
199;1.520638272;188.1841891;0.8570467
201;1.006102895;188.1271803;0.817023391
203;1.217344984;188.20868;0.775308457
205;0.975088037;188.0201263;0.752251047
207;1.414514236;188.0250201;0.693417677
209;1.535393337;187.8610998;0.729783063
211;1.319357946;187.7633905;0.755273661
213;1.053225941;187.7325364;0.802363716
215;1.158609868;187.637651;0.822098737
217;0.943401878;187.5808639;0.805660275
219;1.072888289;187.5214308;0.758169294
221;1.414836028;187.3266881;0.785267489
223;1.35672496;187.2836926;0.757789734
225;1.203358364;187.193563;0.768715232
227;1.201228878;187.2615195;0.800553307
229;1.021910446;186.843435;0.819587845
231;1.031888956;186.3771928;0.823248346
233;1.169913162;186.6910838;0.846537228
235;1.448298254;186.9105708;0.848447152
237;1.368170764;186.8061516;0.852106985
239;1.493433431;186.7569671;0.862709498
241;1.276111826;186.7065621;0.85189935
243;1.153742957;186.6645892;0.806633961
245;1.115963209;186.5620779;0.805058494
247;1.54539338;186.4754083;0.788674057
249;1.400825801;186.3296526;0.766040054
251;1.384754295;186.363548;0.784295644
253;1.245762449;186.3134829;0.811324071
255;1.344224667;186.2409646;0.780360554
257;1.371018417;186.1525854;0.776054212
259;1.252879823;186.0308865;0.777302562
261;1.494041621;185.9804815;0.781368137
263;0.99182147;185.8771875;0.746712313
265;1.124985181;185.8542316;0.732577693
267;1.140772122;185.8438129;0.713820656
269;1.318295335;185.5870172;0.706204663
271;1.520946721;185.4522696;0.662808904
273;1.375517767;185.6869155;0.637798994
275;1.333824579;185.4651574;0.632315429
277;1.173044699;185.3596282;0.627881061
279;1.282120513;185.358522;0.605241653
281;1.391287231;185.2647428;0.565582135
283;1.415451873;185.2934454;0.557858595
285;1.151710528;185.1676184;0.524309676
287;1.228810825;185.1425426;0.501273812
289;1.277349212;185.0433766;0.49216653
291;1.615297659;184.918826;0.498554076
293;1.695405977;184.7198492;0.494642365
295;1.856832056;184.8627852;0.456692526
297;1.479248973;184.8900174;0.432957614
299;1.378323014;184.62002;0.395563704
301;1.72844623;184.6160344;0.36178197
303;1.775286792;184.4423314;0.357477647
305;1.946354033;184.4232088;0.388231296
307;1.886551055;184.3785583;0.383362633
309;1.605426207;184.2621319;0.386498751
311;1.436905979;184.1943917;0.374576544
313;1.387654775;184.1133257;0.367561161
315;1.819752222;184.0443141;0.357034514
317;1.966437184;184.0133215;0.344973151
319;1.970277832;183.925901;0.329752042
321;1.855426137;183.8677316;0.325123502
323;1.972436062;183.8493783;0.308546955
325;1.971110758;184.1955805;0.296541209
327;2.250123233;185.0075456;0.293149375
329;2.192203454;183.5581242;0.299417712
331;2.04999863;183.4872645;0.300594152
333;1.7151138;183.4413152;0.27849686
335;1.688289606;183.3688563;0.270085302
337;1.963697979;183.2018674;0.273184537
339;2.287546681;183.1740547;0.266137494
341;2.118577575;183.1057476;0.256652689
343;2.150487983;183.0560612;0.263084405
345;1.812253516;182.9832386;0.254571836
347;2.038441987;182.9142357;0.243166861
349;2.410214659;182.7579972;0.248294267
351;2.420124539;182.7698299;0.241471856
353;2.343763002;182.6930032;0.226847021
355;2.302961021;182.6333085;0.223062288
357;2.218832943;182.5255675;0.215444883
359;2.148805239;182.4387597;0.205026677
361;2.726474986;182.3642509;0.204862476
363;2.230836571;182.3160388;0.200058095
365;2.072424919;182.2225362;0.204576788
367;2.020752096;182.1845445;0.190580148
369;2.000351959;182.1350283;0.190798564
371;2.678322746;182.0125466;0.18037721
373;2.704369977;181.9157309;0.189513014
375;2.237840675;181.777168;0.186664329
377;2.241431546;181.8666159;0.198308602
379;1.767153957;181.7729519;0.172573691
381;2.436372096;181.6611145;0.186525815
383;2.783423225;181.5586821;0.203089488
385;2.491969968;181.425114;0.198457401
387;2.163185897;181.3718331;0.197189197
389;2.224237332;181.3369473;0.197244122
391;2.508465946;181.2894494;0.185628242
393;2.397452266;181.2158805;0.16459489
395;2.28017141;181.0634111;0.154273241
397;2.320671377;181.0283313;0.152721115
399;2.331047493;180.9706593;0.152299499
401;2.163637705;180.9731152;0.152159424
403;2.685412554;180.7614714;0.143730835
405;2.497808279;180.7619644;0.154520952
407;2.61883662;180.6845801;0.148969678
409;2.359667342;180.643828;0.158091734
411;2.37889482;180.5721762;0.145885629
413;2.587982239;180.5177439;0.155622003
415;2.632440538;180.4468841;0.167206287
417;2.532277833;180.2513362;0.178812654
419;2.377140149;180.1721771;0.164459022
421;2.569686327;180.1415117;0.165577376
423;2.74237885;180.0487604;0.168496384
425;2.420183414;179.911746;0.143142034
427;2.37848673;179.9012952;0.140363808
429;2.288912513;179.8895224;0.151619154
431;2.288597861;179.8683951;0.148114487
433;3.014150367;179.7033094;0.139483309
435;2.752411632;179.6087332;0.150695437
437;2.554311253;179.494578;0.147455759
439;2.450474312;179.5462783;0.128898199
441;2.863510256;179.4188298;0.133895272
443;2.742681762;179.3464725;0.136495042
445;2.699712334;179.2569006;0.126931798
447;2.66648782;179.0742963;0.138271262
449;2.600711185;179.0977408;0.147405632
451;2.497042227;178.9826832;0.149775976
453;3.015771505;178.9232467;0.14682958
455;3.371608552;178.8652936;0.155985966
457;2.979477047;178.7861851;0.143217044
459;2.938056676;178.7844984;0.137584364
461;2.764588253;178.6600538;0.130602767
463;2.63638057;178.6098239;0.131769353
465;2.86677022;178.0974166;0.125403263
467;3.060083978;178.3726769;0.124619998
469;2.934949579;178.3702113;0.122303611
471;2.842782506;178.2469375;0.124887822
473;3.173354215;178.1821326;0.118617855
475;3.009397195;178.0869259;0.123888965
477;3.167240913;177.9991637;0.120341309
479;3.329197124;177.9448422;0.130718424
481;2.895980433;177.8941095;0.131809434
483;2.950002604;177.8056112;0.124114816
485;3.078193629;177.6882216;0.115112863
487;3.012321617;177.6577541;0.123210774
489;3.059511458;177.5182746;0.119393783
491;2.759565313;177.4701131;0.113894766
493;2.848698192;177.3915399;0.125226877
495;3.314076369;177.3459777;0.129317403
497;3.459030898;177.1918625;0.118002838
499;3.4923922;177.1019813;0.12619142
501;3.174129623;177.0625795;0.129635025
503;3.044656206;176.9589806;0.122424737
505;3.424161585;176.8916143;0.119723073
507;3.315406055;176.8564524;0.121829619
509;3.470026481;176.7024077;0.121964122
511;3.112798421;176.613301;0.124855377
513;3.083255179;176.5753691;0.128702293
515;2.98322419;176.516762;0.122868412
517;3.328209892;176.404012;0.11882021
519;3.587111432;176.3450131;0.121648907
521;3.362556202;176.2473962;0.126114395
523;3.27874215;176.1758781;0.115996125
525;3.212754585;176.0888778;0.114059294
527;3.505615531;176.0068763;0.120046098
529;3.563361073;175.9083919;0.115439045
531;3.571552007;175.7946189;0.120431511
533;3.381627996;175.6650869;0.132585048
535;3.334112825;175.6125572;0.135331739
537;3.60707638;175.564258;0.125484325
539;3.515213447;175.4947305;0.128456692
541;3.552197173;175.4119049;0.123269156
543;3.493257256;175.2438658;0.114752803
545;3.466684282;175.2135641;0.109963282
547;3.607322534;175.1110713;0.109245593
549;3.72668004;175.0646791;0.101342448
551;3.891626334;174.9577905;0.100487687
553;3.861044309;174.8850505;0.107843139
555;3.245759611;174.7909451;0.101825124
557;3.659529675;174.7116805;0.120195037
559;3.588108127;174.6420601;0.12469701
561;3.904201111;174.4873571;0.126389263
563;3.559053258;174.4319299;0.121913827
565;3.509661858;174.3702991;0.129589922
567;3.785945035;174.3162543;0.115882909
569;3.931343114;174.1949108;0.117048274
571;3.901529945;174.0998047;0.117720765
573;3.868279147;173.9941705;0.11809617
575;3.517252473;173.9069713;0.12153417
577;3.542909672;173.7576162;0.125859773
579;3.803092087;173.7626481;0.124448228
581;4.01443453;173.6502073;0.127177441
583;3.984557712;173.5166821;0.135197106
585;3.987769415;173.4187009;0.137477087
587;3.819135498;173.3356764;0.137030313
589;4.13165907;173.2368658;0.140660169
591;4.337558051;173.1766558;0.139307542
593;4.378571241;173.1285496;0.138035478
595;3.843287559;173.0070734;0.143076326
597;3.96884241;172.9178511;0.137402176
599;4.027600969;172.8658469;0.135957589
601;4.183298938;172.7364803;0.139015172
603;4.39723227;172.5616623;0.141221269
605;4.078810788;172.6295304;0.144931055
607;4.152671623;172.436222;0.141726576
609;4.362869101;172.3379968;0.141841744
611;4.402636118;172.2224043;0.133835103
613;4.619547085;172.1738615;0.129609352
615;4.484638237;172.0047717;0.126565215
617;4.308360987;171.9858884;0.131565063
619;4.210219778;171.8557312;0.12492157
621;4.586307084;171.8106333;0.130027481
623;4.215187975;171.7111094;0.143003164
625;4.540448192;171.6140458;0.151271857
627;4.656599706;171.4996086;0.15367855
629;4.298134612;171.4353016;0.159291494
631;4.636063869;171.4090701;0.160835602
633;4.618590406;171.2288385;0.170145149
635;4.639841815;171.1254715;0.170975307
637;4.795215815;171.034562;0.175699966
639;4.721410799;170.9552206;0.188413289
641;4.713663446;170.8954749;0.182492743
643;4.585938374;170.8349002;0.155776799
645;4.365739719;170.7149336;0.151904558
647;4.380061867;170.5727172;0.161444109
649;4.450939242;170.4562617;0.153105702
651;4.859956581;170.3870113;0.15769974
653;4.532684499;170.2681009;0.1617103
655;4.393149891;170.2610234;0.159952797
657;4.132991864;170.1066476;0.145831936
659;4.576613508;169.9583816;0.145348271
661;4.725737686;169.9234355;0.151691139
663;4.822968082;169.835385;0.153630107
665;4.560091166;169.6860795;0.151162971
667;4.576434028;169.6688274;0.153586907
669;4.31292336;169.5320795;0.15713362
671;4.527467835;169.4448307;0.154036608
673;4.930387627;169.2654836;0.162954209
675;4.992126312;169.1984674;0.155731016
677;4.925769976;169.0996899;0.156688871
679;4.709897976;169.0222837;0.143367137
681;4.74660121;168.9633893;0.139044812
683;4.666421647;168.8354386;0.133983689
685;5.134507452;168.7210349;0.150100273
687;5.048053576;168.4565132;0.152388421
689;4.841704201;168.560593;0.157051426
691;4.964014265;168.4237731;0.145315587
693;4.916060926;168.3005557;0.147463286
695;4.683909425;168.1980066;0.140752728
697;4.622616456;168.0013092;0.143163896
699;4.813166564;167.9392413;0.151923458
701;4.885934819;167.8666617;0.167972989
703;5.108016939;167.7800985;0.159943304
705;4.80250731;167.6697037;0.152681635
707;4.878904342;167.6320207;0.140211555
709;4.81523661;167.5580151;0.131344954
711;4.813050143;167.3695392;0.123663874
713;5.321942318;167.329042;0.123853833
715;5.075875414;167.1912093;0.122645042
717;5.006800192;166.9848235;0.120073154
719;4.876125011;166.9154569;0.11298129
721;4.719952599;166.8035689;0.104397272
723;5.291796796;166.7059194;0.102673985
725;5.188379408;166.6521459;0.115679486
727;5.139475072;166.6142694;0.127737677
729;4.796250044;166.4838302;0.128401625
731;4.808439149;166.3923795;0.139703405
733;4.930438097;166.2649932;0.144640404
735;5.135408163;166.0794201;0.126314298
737;5.37422691;165.9625834;0.111788789
739;4.839092746;165.9357659;0.110929942
741;4.86115131;165.8376953;0.100060261
743;4.74749739;165.7361536;0.095240319
745;4.812772813;165.5435697;0.106819733
747;5.039060286;165.4942689;0.120246359
749;5.136020902;165.4625635;0.124294239
751;4.339573232;165.2800097;0.125202675
753;5.054227896;165.2032833;0.120867631
755;5.263070307;165.0487971;0.118145995
757;5.383018879;164.9316565;0.105311749
759;5.139482957;164.85837;0.10418379
761;4.921977741;164.731608;0.097300037
763;5.035596159;164.6796652;0.097548795
765;5.176577395;164.518808;0.089940771
767;5.495386834;164.4126093;0.110329451
769;5.204964887;164.3298338;0.116403483
771;5.109068228;164.2213683;0.121499648
773;5.172703062;164.1062241;0.123520909
775;5.418784842;163.9921861;0.122248796
777;5.661714446;163.8517662;0.111964722
