Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
HPL Melamine;Polyester film ;;;IN1-7;Partition;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 12:39:01
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
30;39;103.16;9.51;;;191.71;52.20;1.72;;416.33;;33.90;0.0088;Projection of particles. Raising of the surface. End flame at 102s.
;2011-08-29;c_LSFIRE_IN-1-7_30c;13.4;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;8.182054883;191.71;0.094892839
3;6.686262289;191.7104734;0.082671742
5;5.610010827;191.6076267;0.07757261
7;4.820406351;191.6839049;0.073363608
9;4.809288225;191.7733388;0.061512731
11;4.481558597;191.6662065;0.058769366
13;3.851140908;191.7013733;0.077083216
15;3.325252057;191.4903991;0.074299052
17;2.41431617;191.5957659;0.070920007
19;1.728072066;191.7273064;0.078940734
21;1.419849595;191.6936045;0.092272574
23;1.452475788;191.5809707;0.111842396
25;1.403491896;191.5974482;0.149703343
27;1.656333861;191.616561;0.227817083
29;1.663840247;191.5098751;0.300407006
31;2.120649843;191.5828592;0.399138701
33;1.947101341;191.3919509;0.505125759
35;0.140166203;191.4461954;0.649349616
37;-4.235455476;191.5124103;1.59020997
39;5.793206971;191.3014928;2.815679851
41;38.10410478;191.1458714;3.9319306
43;72.17575726;190.8313298;5.193119741
45;94.88907147;190.9717487;6.085667885
47;101.6761324;190.9813107;6.287206709
49;103.161556;190.9013275;5.961095958
51;100.600787;190.7639772;5.821014439
53;94.99724929;190.5700926;5.170324903
55;88.46170942;190.601638;4.716105947
57;78.82471421;190.4672415;4.111515185
59;73.16276649;190.4016436;3.611667974
61;66.55182986;190.1833425;2.770247267
63;59.63716256;190.1808545;2.296073741
65;54.25306128;190.1363469;1.823192219
67;47.24234458;190.0179348;1.296210496
69;40.22623747;190.1550596;0.889777377
71;34.81212732;190.0099681;0.730549028
73;29.81396504;189.8948137;0.50038137
75;27.1653619;189.9559413;0.389749259
77;24.16516824;189.8829023;0.350258388
79;20.74353049;189.7923307;0.332850438
81;17.63495553;189.8215535;0.279731796
83;14.66913056;189.794842;0.291333005
85;12.83971178;189.7700195;0.310905631
87;11.49432671;189.6796458;0.31063819
89;9.918793832;189.6730847;0.300621765
91;8.677981448;189.5889269;0.321825939
93;7.801896462;188.8739472;0.324072819
95;6.96210464;189.5384713;0.340001371
97;6.543532585;189.6197304;0.333048331
99;5.648595323;189.5626117;0.337963983
101;5.352024541;189.3974204;0.349439909
103;4.78417328;189.4215053;0.37161157
105;4.138592328;189.3746988;0.37772231
107;4.181233761;189.2838831;0.434073975
109;4.436369526;189.1266308;0.480901146
111;4.244281999;189.3513184;0.51261137
113;4.255493729;189.1449842;0.531486454
115;3.697785616;189.2068309;0.572434476
117;3.322136949;189.1534906;0.590985547
119;2.99071736;189.0649373;0.607747406
121;2.86401464;188.9722876;0.643111097
123;2.951143953;189.0063721;0.688025383
125;2.764970522;188.9185647;0.710813496
127;2.412063243;188.8977554;0.716676544
129;2.356960888;188.9489393;0.762536863
131;2.349979235;188.8328305;0.802868353
133;2.269262612;188.5250683;0.843619258
135;2.515105683;188.6674505;0.890872174
137;2.353851423;188.5320587;0.928921946
139;2.099718667;188.5189492;0.936788043
141;2.115853572;188.3794702;0.952931622
143;2.220673059;188.3796039;0.982271476
145;2.397722407;188.3063947;1.037782976
147;2.325200431;188.178937;1.10194338
149;1.998411138;188.0288924;1.138959795
151;2.120902395;188.121952;1.136485781
153;1.947653053;188.1699473;1.111473457
155;2.014881196;187.9555213;1.059302212
157;2.304946176;188.0587371;1.029949374
159;2.231783608;187.8044119;1.034209834
161;2.20386425;187.7313131;1.0453902
163;1.777312089;187.7385568;1.085971256
165;1.880783512;187.591963;1.086820817
167;2.056746223;187.4461524;1.129177653
169;2.253078342;187.4056775;1.11262698
171;1.935963208;187.2746903;1.114430914
173;1.958228569;187.3161333;1.080401715
175;1.660887028;187.3488165;1.027596541
177;1.925562709;187.2910667;1.001277404
179;1.875668151;187.1719263;0.985113027
181;2.130121184;187.0414093;0.976694761
183;2.032913215;187.0247888;0.935479643
185;1.999002873;186.9453589;0.955532213
187;1.81998015;186.8842863;0.919060465
189;1.793196733;186.8621458;0.886781929
191;1.986871172;186.727809;0.850121447
193;2.147359212;186.6693907;0.837953037
195;2.259815931;186.5544945;0.812096039
197;1.895121904;186.4728756;0.782698002
199;1.979367904;186.482529;0.779919657
201;1.908907112;186.4303041;0.779645704
203;1.987912319;186.30034;0.810748357
205;2.161741359;186.2253614;0.81762704
207;2.150842469;186.1271591;0.82084304
209;2.247384283;185.8373078;0.81313226
211;2.048896281;186.0075811;0.809287185
213;1.899347302;186.1056448;0.775622382
215;2.201840338;185.9286437;0.766777054
217;2.439960325;185.9555123;0.746538099
219;2.263968861;185.7577253;0.730510061
221;2.21981724;185.5938108;0.741656904
223;2.174501103;185.5534783;0.714528017
225;1.952905862;185.5455666;0.71413998
227;2.025314303;185.5362219;0.687839974
229;2.223962047;185.3607646;0.699591068
231;2.344595081;185.3331127;0.655823623
233;2.376884051;185.3461896;0.664594303
235;2.284297319;185.2480704;0.641108262
237;2.085528491;185.2187139;0.645449767
239;2.073459947;185.0889666;0.627860431
241;2.126468924;185.0892199;0.648026714
243;2.482691695;184.991073;0.669834831
245;2.487798308;184.8262921;0.678721164
247;2.385390457;184.812252;0.705579436
249;2.284509955;184.7224316;0.69577745
251;2.235550598;184.573889;0.676458514
253;2.371970535;184.5618905;0.65398986
