Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Carpet;Glue;Aluminium plate;;IN1-8-1;Wall;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 12:46:47
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;289;220.16;7.05;;;56.93;3.85;15.57;;498.26;;17.48;0.0088;Flashing from 280s. End flame at 373s.
;2011-09-19;c_LSFIRE_IN1-8-1_20a;5.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.350438531;56.93;0.05792287
3;6.288521144;56.92686385;0.066576894
5;6.932603045;56.92864768;0.074817122
7;6.211464326;57.06071018;0.084329653
9;6.154768693;57.02422631;0.08109003
11;5.866396968;57.11004381;0.081316822
13;5.411469846;57.08372238;0.087822271
15;4.59614975;57.16423682;0.082857587
17;3.230588577;57.06486438;0.082713042
19;2.577652073;57.13032777;0.080816629
21;2.127313603;57.13875986;0.085412104
23;1.616283529;57.15525051;0.082458974
25;1.130690985;57.1200543;0.079644866
27;1.060054051;56.92777544;0.075024817
29;1.104980803;57.10631915;0.076776312
31;1.022120264;57.1467629;0.079671915
33;0.434446773;57.15396285;0.075010449
35;0.334160129;57.15122148;0.084095804
37;0.102772545;57.20617617;0.082985225
39;0.468688486;57.25031681;0.08938765
41;0.451406623;57.15415668;0.094331757
43;0.136681316;57.14031099;0.089804819
45;-0.135482832;57.19696827;0.081262474
47;-0.053100893;57.18902076;0.078935379
49;0.150793851;57.21322369;0.077015354
51;0.340278451;57.27975364;0.077438338
53;0.230279334;57.02803376;0.081714437
55;0.312889388;57.19107009;0.089545365
57;0.104014857;57.25660313;0.097867141
59;0.330634179;57.16376588;0.095300453
61;0.288866231;57.22153111;0.090208597
63;0.369919409;57.20418235;0.087725574
65;0.803467421;57.22407866;0.084183765
67;1.316470257;57.20317132;0.083756264
69;1.174780322;57.19156879;0.083088472
71;1.025823017;57.14054622;0.087305454
73;0.970429539;57.12376483;0.089440236
75;0.945073066;57.18915955;0.087656356
77;0.746404239;57.2451248;0.089191197
79;0.613145487;57.14763513;0.088104293
81;0.270748696;57.17853933;0.076776978
83;0.329111476;57.29884687;0.077974957
85;0.520387483;57.26309693;0.084787537
87;0.89076079;57.17344423;0.076808
89;0.829463574;57.15237082;0.075995075
91;0.718065947;57.14921353;0.07444486
93;0.691599096;57.21513423;0.074496619
95;0.758538204;57.1060698;0.081754431
97;0.674464226;57.16479055;0.091222278
99;0.412299651;57.02907255;0.095360139
101;-0.017223314;57.20468056;0.095108587
103;0.237293913;57.22877246;0.091122135
105;0.600283526;57.28178886;0.088467501
107;1.099412394;57.18932562;0.097579867
109;0.646354466;57.13349869;0.098753483
111;0.410598812;57.14429863;0.110544865
113;0.45397796;57.21815272;0.126824767
115;0.98721127;57.23212358;0.130730619
117;1.039007509;57.15825536;0.133321512
119;0.738088583;57.06244101;0.132230686
121;0.695431358;57.16351653;0.132254589
123;0.812428492;57.23806315;0.12777219
125;0.807367561;57.1929256;0.138892213
127;0.441227435;57.1291234;0.134212282
129;0.271661584;57.12604939;0.138765788
131;0.286159705;57.14601534;0.146722073
133;0.406145121;57.16762884;0.158470311
135;0.552598434;57.18600227;0.15024112
137;-0.138061081;57.12537098;0.154765051
139;0.207233477;57.19886518;0.158762779
141;-0.031443472;57.20390524;0.168685963
143;0.243691641;57.25701855;0.181964626
145;0.397171602;57.1156376;0.194438239
147;0.593425064;57.08078717;0.210871251
149;0.427486819;57.12656172;0.225374604
151;0.742525556;57.20415459;0.236715079
153;1.232470143;57.13010618;0.263119632
155;0.987186102;57.0902298;0.296048655
157;0.939312845;57.04489843;0.313924192
159;1.232810245;57.1183371;0.330858969
161;1.21113424;57.1427475;0.332847891
163;1.46617366;57.14828627;0.349321213
165;0.91957842;57.0967236;0.356744874
167;0.739289278;57.10777288;0.371748801
169;0.6675134;57.09160074;0.396991657
171;0.972883455;57.14449246;0.45817939
173;0.708091996;57.13233571;0.453793514
175;0.028252658;57.05694413;0.480695035
177;0.13783456;57.04701643;0.498360181
179;0.1378767;57.01219424;0.506536637
181;0.711426996;57.15052895;0.494807168
183;0.683075104;57.03963677;0.524490137
185;0.640835886;57.02375537;0.517760681
187;0.526454976;57.1184759;0.525567136
189;0.861344402;57.0686577;0.555757739
191;0.939093041;57.04362441;0.55034344
