Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Wall paper;Particle board;;;(M24);;;ISO 5660;SBI Project;C990320_m24;;1;2003-08-12 10:38:58
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;28;203;127.08;140.53;115.82;16.6;46.99;NA;NA;221.62;0.0088;12;700
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 1.7; 3; 0.0001
5; 3.0; 2; 0.0001
10; 0.0; 10; 0.0002
15; 0.0; 35; 0.0007
20; 0.0; 70; 0.0014
25; 0.0; 176; 0.0035
30; 0.0; 283; 0.0057
35; 0.0; 205; 0.0041
40; 124.1; 53; 0.0011
45; 125.8; 94; 0.0019
50; 127.8; 173; 0.0035
55; 130.5; 236; 0.0047
60; 161.4; 453; 0.0091
65; 177.1; 616; 0.0123
70; 186.4; 803; 0.0161
75; 189.8; 867; 0.0173
80; 189.0; 856; 0.0171
85; 190.3; 872; 0.0174
90; 180.8; 893; 0.0179
95; 178.1; 891; 0.0178
100; 171.0; 890; 0.0178
105; 144.5; 904; 0.0181
110; 162.8; 865; 0.0173
115; 158.3; 844; 0.0169
120; 155.6; 798; 0.0160
125; 150.8; 751; 0.0150
130; 147.1; 722; 0.0144
135; 143.4; 619; 0.0124
140; 143.5; 637; 0.0127
145; 136.3; 594; 0.0119
150; 132.6; 569; 0.0114
155; 128.5; 487; 0.0097
160; 143.7; 442; 0.0088
165; 126.7; 381; 0.0076
170; 123.3; 343; 0.0069
175; 118.5; 332; 0.0066
180; 115.2; 297; 0.0059
185; 113.0; 242; 0.0048
190; 111.5; 212; 0.0042
195; 111.2; 160; 0.0032
200; 105.5; 136; 0.0027
205; 103.4; 125; 0.0025
210; 102.3; 78; 0.0016
215; 98.2; 75; 0.0015
220; 103.5; 51; 0.0010
225; 63.7; 43; 0.0009
230; 91.6; 37; 0.0007
235; 88.2; 39; 0.0008
240; 87.0; 14; 0.0003
