Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Needle punched carpet;Glue;Recor sealing;;IN1-8-2;Ceiling;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 13:43:12
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;116;296.25;29.87;;;20.95;12.07;22.92;;397.61;;34.59;0.0088;Flashing from 112s. End flame at 289s.
;2011-09-20;c_LSFIRE_IN1-8-2_20b;10.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;1.407254036;20.95;0
3;1.492360087;20.88274545;0
5;1.750910569;20.93324334;0
7;2.580315897;20.91425991;0
9;2.997276621;20.95009238;0
11;2.854013989;20.99125187;0
13;2.320796598;20.94518934;0
15;1.842326957;20.99426547;0
17;1.254792503;20.89784512;0
19;1.126940243;20.8374425;0
21;0.782993406;20.94350264;0
23;0.956710657;20.83196815;0
25;0.911704575;20.83691689;0
27;1.10578219;20.80955438;0
29;1.144824799;20.81828203;0
31;0.933738126;20.78977641;0
33;1.061568201;20.83664072;0
35;1.141846576;20.74171356;0.005006322
37;1.189226859;20.70771511;0.018033559
39;0.91860797;20.68706146;0.039791444
41;0.627950558;20.71092222;0.065151031
43;0.685844689;20.70848917;0.092456322
45;0.835085371;20.72977783;0.128592525
47;0.936753859;20.71360324;0.173268838
49;1.117453097;20.63806701;0.227004039
51;0.870834714;20.68800084;0.294925892
53;0.725289993;20.65837108;0.355382017
55;0.966527309;20.66771622;0.422374034
57;1.129286343;20.50140953;0.517539354
59;1.256956598;20.61646523;0.581648183
61;1.168509305;20.56429188;0.65875972
63;1.460575032;20.56607096;0.760288537
65;1.567944385;20.54358329;0.821142603
67;1.775549819;20.48963134;0.867766325
