Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Needle punched carpet;Glue;Recor sealing;;IN1-8-2;Ceiling;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 13:45:25
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;103;234.07;30.89;;;19.05;12.22;25.50;;431.61;;38.18;0.0088;Flashing from 95s. End flame at 296s.
;2011-09-20;c_LSFIRE_IN1-8-2_20c;10.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;3.577740384;19.05;0
3;3.624442152;19.06925042;0
5;3.531497375;19.10845628;0
7;3.441118648;19.28709302;0
9;3.360922113;19.1275161;0
11;3.353601349;19.06678285;0
13;3.062259902;18.92677045;0
15;2.389598515;19.00692382;0
17;1.730745517;19.08694883;0
19;1.213998773;19.19932983;0
21;1.231568282;19.09253355;0
23;1.245237432;18.96719284;0
25;0.897812337;19.02730081;0
27;1.053043019;18.95563588;0
29;0.875751747;19.00121074;0
31;0.868345564;18.96495331;0
33;1.009275215;18.94514665;0.009044605
35;0.680045543;18.86056966;0.012151391
37;0.451813801;18.97444384;0.022207044
39;0.483898168;18.91663082;0.034566865
41;0.59137886;19.05886476;0.060300779
43;0.780804917;18.92040146;0.088445622
45;0.584886762;18.83947403;0.14119768
47;0.713560481;18.83449757;0.184721736
49;0.653670755;18.88746151;0.246990943
51;0.966696817;18.85731441;0.305410052
53;1.314005419;18.79248913;0.352732168
55;1.808010462;18.80393572;0.396171393
57;1.65060579;18.71826327;0.458677346
59;1.442218976;18.77136579;0.510673132
61;1.313766197;18.7177931;0.540506174
63;1.217383599;18.70847566;0.637989843
65;1.661806268;18.68549934;0.779006804
67;1.42525326;18.5644996;0.892114688
69;1.148274285;18.5579191;1.007532711
71;0.982897972;18.52890587;1.121228809
73;1.006242702;18.53092416;1.204889418
75;1.262771907;18.50804119;1.289534481
77;1.134010443;18.25685459;1.413346071
79;0.902118024;18.36256514;1.519666234
81;1.105460694;18.3926466;1.743749823
83;1.329593061;18.34926605;1.860898355
85;1.703970768;18.29525819;2.01594912
87;1.491976703;18.21794581;2.055497611
89;1.431315814;18.14939511;2.15981784
91;1.27290084;18.17456526;2.216354001
93;1.434508165;18.09984881;2.256641011
95;1.15563118;18.05328887;2.2768365
97;2.247102325;17.99818555;2.258751736
99;1.153915572;17.950924;2.466429897
101;-5.139319787;18.04512231;2.761950298
103;-4.680829843;17.90863939;4.28507208
105;24.30428851;17.79180656;6.464400399
107;72.29319357;17.52323905;8.682949523
109;114.0627024;17.25285454;11.97250702
111;152.169961;16.93063898;15.40501224
113;196.0140866;16.63763746;17.6582399
115;225.527573;16.21154634;18.17318263
117;234.0682668;15.78312282;17.55316017
119;222.8315825;15.41512138;15.27329097
121;199.5446071;15.26255721;12.40543305
123;175.9277409;15.05448423;9.131630166
125;151.2311325;14.93070185;6.552569042
127;132.8715515;14.71888692;4.970699233
129;119.2016521;14.55475558;3.580818155
131;108.7706248;14.60536184;2.383680046
133;98.53701912;14.5180659;1.580839362
135;89.19630046;14.39752807;1.085517193
137;80.67182184;14.27345154;0.810903044
139;75.69020193;14.15330901;0.619378354
141;68.55751819;14.17621191;0.518507598
143;62.57311362;14.07663163;0.465072385
145;56.94428874;14.08453902;0.399016859
147;53.76002657;14.01944486;0.331189714
149;49.33902631;13.94177997;0.284379801
151;46.51274125;13.9499543;0.240794214
153;43.6979794;13.85544188;0.188473757
155;40.48053014;13.86450259;0.136366335
157;39.02069727;13.86054865;0.110452387
159;37.6223687;13.42552713;0.080705193
161;36.10674724;13.65958177;0.063294155
163;33.40116868;13.64989481;0.050855653
165;33.08248422;13.64071546;0.054311561
167;33.10914725;13.6480146;0.035355285
169;32.80552489;13.54663773;0.030719815
171;32.58409558;13.48460238;0.026904249
173;31.20655738;13.45186664;0.027531685
175;30.98499333;13.49629791;0.022144621
177;29.86493112;13.43819851;0.01833042
179;31.08046955;13.36423035;0.013409154
181;31.16859033;13.36767668;0.011880127
183;30.93398404;13.1922096;0.012995948
185;31.64469979;13.2688792;0.016531238
187;31.21189084;13.19267978;0.021722391
189;31.87295875;13.20335182;0.027016646
191;32.02327597;13.16439539;0.036623308
193;32.2303996;13.1148768;0.031486395
195;32.29635811;13.0646493;0.038637614
197;31.91345123;13.06509176;0.041484093
199;32.6236698;13.01449473;0.04021289
201;33.27368286;13.08996532;0.045010791
203;33.11017133;12.85122886;0.054352177
205;33.3914544;12.90079316;0.056968174
207;32.98798549;12.93668057;0.060873035
209;32.1242242;12.80989433;0.060985041
211;32.11763265;12.84886097;0.049480863
213;33.05706513;12.75993522;0.048112731
215;32.72371383;12.74739221;0.053262507
217;33.29411245;12.61193277;0.054977818
219;33.62593638;12.73102458;0.060851538
221;33.85572236;12.70564341;0.072189504
223;33.84840701;12.6482821;0.073667773
225;33.24436515;12.56764105;0.068279195
227;31.7541092;12.51175395;0.062678283
229;32.93412136;12.49551469;0.057758277
231;32.87571609;12.53993623;0.052997679
233;32.03035002;12.52135631;0.056849971
235;31.70202565;12.38433854;0.05884319
237;30.72381064;12.4413775;0.077000667
239;29.82369293;12.37060672;0.080215402
241;28.86479903;12.36211051;0.07975056
243;29.77664879;12.34666476;0.078623115
245;28.75562351;12.31105352;0.078958948
247;29.35770663;12.25923997;0.071529142
249;29.19869435;12.22666031;0.067753401
251;28.74707677;12.19419151;0.061315155
253;29.90869374;12.22090833;0.062550903
255;29.9512338;12.13427705;0.057962745
257;29.52848574;12.13866373;0.048632677
259;29.0720881;12.09622305;0.052183562
261;28.96338213;12.09288758;0.054651001
263;28.4553998;12.03452124;0.049554576
265;28.63754719;11.98963001;0.047143504
267;28.83373251;11.93498666;0.047525758
269;28.45740717;11.88200278;0.046666183
271;28.40573899;11.98059701;0.043066388
273;28.31890035;11.91944707;0.03488168
275;28.69824435;11.91609166;0.039446117
