Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Wool fabric Mixed fabric;;;;IN8-1;Curtains and sunblind in passenger and staff areas;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 13:54:36
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
15;86;57.93;2.65;;;4.01;1.47;14.91;;62.65;;13.57;0.0088;Distortion. End flame at 262s.
;2011-10-03;c_LSFIRE_IN-8-1_15c;0.5;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;9.720651422;4.01;0
3;8.910279463;3.90170115;0
5;7.295388871;3.97159829;0
7;6.567942945;3.8963382;0
9;5.525006507;4.01242726;0
11;4.620124883;4.07865916;0
13;3.60897917;3.91332365;0
15;2.611511544;3.84682292;0
17;2.214581001;3.82857319;0
19;1.974838923;3.72472464;0
21;2.011841618;3.85895239;0
23;1.932223535;3.81165301;0
25;1.514997745;3.7739073;0
27;1.109224352;3.87679644;0
29;0.608304708;3.75907346;0
31;0.788764085;3.79349581;0
33;0.788967807;3.74391576;0
35;0.963037133;3.66552663;0
37;1.24184336;3.73684437;0
39;1.314328181;3.76269145;0.007321026
41;1.284548799;4.07275222;0.008509929
43;1.433111571;3.73675282;0.008509929
45;1.264967501;3.87317795;0.013608899
47;1.019021658;3.61301185;0.028659258
49;1.169121834;3.63823069;0.070340422
51;1.238148901;3.67463761;0.147249484
53;1.290111975;3.6416646;0.256954333
55;1.069435374;3.62840819;0.368536199
57;0.886959856;3.70546827;0.501945444
59;0.626211557;3.65263937;0.618309001
61;0.509453773;3.64369494;0.704760658
63;0.545719058;3.60770344;0.796913144
65;0.571175207;3.57888463;0.861937548
67;0.211430142;3.5683058;0.95144385
69;0.899742556;3.49515884;0.979140769
71;1.103534181;3.45986864;1.068715217
73;1.21849218;3.48327872;1.027406746
75;0.901513629;3.45396121;1.123919728
77;0.547069684;3.48936148;1.261497836
79;0.779340119;3.46245369;1.372829693
81;0.565730365;3.52513236;1.424022616
83;-1.234456539;3.35445094;1.439352878
85;4.773036922;3.30646828;1.634495013
87;28.92496052;3.27470451;1.550041689
89;46.47101435;3.27522123;1.467671129
91;55.359697;3.20561922;1.424323021
93;57.93010262;3.22787461;1.436108005
95;56.95314363;3.0344206;1.247169145
97;57.6028181;2.88013339;1.175299991
99;57.73162325;2.87489073;1.189331432
101;55.17117186;2.8439578;1.095251044
103;50.29073132;2.8544256;1.057804295
105;45.1253075;2.72265287;0.865784719
107;39.43362896;2.78969758;0.724912948
109;34.78019836;2.71307094;0.519060796
111;30.83598776;2.70577846;0.37189568
113;27.96001476;2.62414876;0.22167832
115;25.06906756;2.65591253;0.149605023
117;22.31910297;2.60136692;0.071255259
119;20.97032991;2.48181619;0.041052005
121;18.96223584;2.57528023;0.020328625
123;16.92953265;2.61907217;0.020328625
125;15.70656308;2.60466252;-2.35922E-16
127;14.3070114;2.5819172;-2.35922E-16
129;13.51895468;2.56889261;-2.35922E-16
131;12.72386738;2.38693983;-2.35922E-16
133;11.83468783;2.47580698;-2.35922E-16
135;11.33940341;2.48502851;-2.35922E-16
137;10.71079375;2.52404824;-2.35922E-16
139;9.962821643;2.51867555;-2.35922E-16
141;9.120309907;2.39474952;-2.35922E-16
143;8.889935207;2.44368282;-2.35922E-16
145;8.572945775;2.2733988;-2.35922E-16
147;8.357384566;2.44664628;-2.35922E-16
149;7.780239283;2.41940586;-2.35922E-16
151;7.09737155;2.44528898;-2.35922E-16
153;6.693453078;2.4869298;-2.35922E-16
155;6.797104193;2.48859148;-2.35922E-16
157;6.463252458;2.43389782;-2.35922E-16
159;6.45249676;2.38532442;-2.35922E-16
161;6.517869733;2.31755016;-2.35922E-16
163;6.096798331;2.35583109;-2.35922E-16
165;5.900626652;2.42245114;-2.35922E-16
167;5.661979346;2.36996412;-2.35922E-16
169;5.639622412;2.33496028;-2.35922E-16
171;-0.250375514;2.25473366;-2.35922E-16
173;8.415257901;1.85504017;-2.35922E-16
175;7.904834503;2.26415876;-2.35922E-16
177;8.312925659;2.39447339;-2.35922E-16
179;7.843232192;2.32236035;-2.35922E-16
181;6.148387249;2.34538278;-2.35922E-16
183;5.322006243;2.31752386;-2.35922E-16
185;5.215766587;2.20505279;-2.35922E-16
187;4.742564243;2.28178073;-2.35922E-16
189;4.639157276;2.25281386;-2.35922E-16
191;4.30078542;2.36205362;-2.35922E-16
193;4.128056343;2.36865406;-2.35922E-16
195;4.590389661;2.23993683;-2.35922E-16
197;4.533494758;2.2070096;-2.35922E-16
199;4.142831418;2.30005822;-2.35922E-16
201;4.183731331;2.28213138;-2.35922E-16
203;3.851638612;2.29268245;-2.35922E-16
205;3.525322166;2.3167573;-2.35922E-16
207;3.369198246;2.20873605;-2.35922E-16
209;3.300110531;2.24675838;-2.35922E-16
211;3.367637271;2.19488938;-2.35922E-16
213;3.341585636;2.20267132;-2.35922E-16
215;3.025191794;2.29357806;-2.35922E-16
217;2.955684757;2.09224034;-2.35922E-16
219;2.411649266;2.36537649;-2.35922E-16
221;2.061763654;2.27530009;-2.35922E-16
223;2.141993864;2.23867158;-2.35922E-16
225;2.196369129;2.26176754;-2.35922E-16
227;2.432560846;2.26089093;-2.35922E-16
229;2.796778532;2.20828362;-2.35922E-16
231;2.777435086;2.14373093;-2.35922E-16
233;2.286198496;2.25295218;-2.35922E-16
235;2.116444937;2.85399216;-2.35922E-16
237;1.829662015;2.20640912;-2.35922E-16
239;1.977306685;2.24660984;-2.35922E-16
241;1.77901133;2.187818;-2.35922E-16
243;1.958905118;2.22211129;-2.35922E-16
245;2.177531692;2.17320526;-2.35922E-16
