Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Wool fabric Mixed fabric;;;;IN8-1;Curtains and sunblind in passenger and staff areas;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 13:56:22
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;39;132.79;5.73;;;4.00;2.88;18.93;;79.65;;46.13;0.0088;Distortion. End flame at 156s.
;2011-09-20;c_LSFIRE_IN-8-1_20a;0.5;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;2.608241129;4;0
3;1.992650534;3.76438324;0
5;2.379545407;3.84387291;0
7;2.885660659;3.86951178;0
9;1.264996585;3.70229343;0
11;1.980559906;3.64116196;0
13;1.724832312;3.73653158;0.008400841
15;1.387697752;3.71381393;0.025796995
17;0.870032086;3.71686447;0.053744214
19;0.62376152;3.62627828;0.079684185
21;0.976183164;3.6388213;0.102429312
23;1.134563107;3.71938017;0.11483849
25;1.0400337;3.61125506;0.12644847
27;0.669911439;3.61340269;0.136366257
29;0.631005711;3.53883453;0.183012604
31;0.92271294;3.60020571;0.345223008
33;1.095215401;3.48317839;0.509249062
35;0.22844859;3.52303822;0.538643569
37;0.787831132;3.46445989;0.685510328
39;24.08190269;3.54148881;0.912834912
41;54.00306847;3.35490674;1.148107469
43;80.72956426;3.18894138;1.363123284
45;103.1801772;3.05667982;1.869562753
47;120.8068485;2.89091721;2.224530876
49;128.3897292;3.24716963;2.425841159
51;132.7865388;2.78589855;2.541638822
53;132.182593;2.4392587;2.736731036
55;131.550867;2.19038407;2.610176658
57;126.1269891;2.14385136;2.560624591
59;114.4001998;2.06116382;2.480198636
61;103.4497428;1.96672531;2.275826389
63;92.65813163;1.8934748;2.007607272
65;81.24544281;1.82952375;1.858109084
67;71.53162428;1.81155208;1.620544741
69;62.71303449;1.66238757;1.402600291
71;53.82465025;1.62185481;1.196763084
73;46.0641226;1.6884052;0.963534474
75;40.13057614;1.65953054;0.749615338
77;35.91952642;1.62410358;0.534587466
79;32.17010075;1.49910419;0.363516535
81;29.11874439;1.77755363;0.256979054
83;26.13308672;1.46902273;0.176635431
85;23.688094;1.51257832;0.111774083
87;21.90337742;1.54135136;0.080271441
89;21.13188544;1.49682771;0.057682818
91;18.11392701;1.46997184;0.047023952
93;17.0136136;1.49212742;0.037144504
95;16.00728953;1.54782101;0.035337881
97;14.72651596;1.44277463;0.029284918
99;13.77925603;1.47028496;0.030222229
101;12.67321729;1.40009473;0.023508712
103;11.38169954;1.45703206;0.025273342
105;11.09965227;1.48694821;0.017072907
107;10.63761011;1.4794186;0.017072907
109;9.817673654;1.4116055;0.013213171
111;9.214193315;1.41486804;0.01251594
113;8.585139357;1.34535948;0.007478005
115;8.348495259;1.43771503;0.00748371
117;7.992019628;1.47328056;0.00748371
119;7.446845545;1.43666431;0.001214908
121;6.816123849;1.41943024;5.705E-06
123;6.307322001;1.41589104;5.705E-06
125;6.149045972;1.42641576;2.59532E-16
127;6.319495459;1.41354114;2.59532E-16
129;6.09147985;1.4226743;2.59532E-16
131;5.837196217;1.43047084;2.59532E-16
133;6.123126464;1.47132644;2.59532E-16
135;6.409463015;1.34594927;2.59532E-16
137;6.367169292;1.37660252;2.59532E-16
139;6.057798018;1.37094389;2.59532E-16
141;6.057946056;1.36997583;2.59532E-16
143;5.886616299;1.35444645;2.59532E-16
145;5.772163448;1.43754923;2.59532E-16
147;5.71804274;1.41769735;2.59532E-16
149;5.173854219;1.30462397;2.59532E-16
151;4.624950063;1.30031071;0.001255043
153;4.073023553;1.40380848;0.001255043
155;3.766955851;1.37098036;0.001255043
157;3.5096137;1.40080412;0.001255043
159;3.14371963;1.26352866;0.001255043
161;2.918643331;1.29576699;2.59515E-16
163;2.651526387;1.38472191;2.59515E-16
165;2.454830497;1.42587217;2.59515E-16
167;2.27147182;1.36189339;2.59515E-16
169;2.161547199;1.37038134;2.59515E-16
171;2.616666241;1.33219848;2.59515E-16
173;1.771772324;1.26077325;2.59515E-16
175;1.363620146;1.35938644;2.59515E-16
177;1.849134273;1.28654145;2.59515E-16
179;1.908040881;1.08208011;2.59515E-16
181;1.631353579;1.65931854;2.59515E-16
183;1.388223461;1.33928611;2.59515E-16
185;1.460493986;1.33560883;2.59515E-16
187;1.336845821;1.36569953;2.59515E-16
189;1.481167379;1.24170467;2.59515E-16
191;1.338581698;1.33690801;2.59515E-16
193;1.386594276;1.30359173;2.59515E-16
195;1.220173243;1.3123009;2.59515E-16
197;1.308341623;1.38117348;2.59515E-16
199;1.388954832;1.31865093;2.59515E-16
201;1.508683213;1.32941536;2.59515E-16
203;1.286941851;1.28255104;2.59515E-16
205;1.104015939;1.11555344;2.59515E-16
207;1.286983946;1.21433243;2.59515E-16
209;1.268067414;1.37404014;2.59515E-16
211;1.457021556;1.23487571;2.59515E-16
213;1.322278813;1.3542437;2.59515E-16
215;1.152151083;0.95138466;2.59515E-16
217;1.074864681;1.14861153;2.59515E-16
219;1.223545729;1.35552489;2.59515E-16
221;1.536276097;1.34199533;2.59515E-16
223;1.472349724;1.26692928;2.59515E-16
225;0.871005868;1.33208811;2.59515E-16
227;1.132195435;1.36722966;2.59515E-16
