Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Intumescent paint;Particle board;;;(M15);;;ISO 5660;SBI Project;C990321_m15;;1;2003-08-12 10:43:35
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;20;142;75.36;1.23;0.84;24.9;23.26;NA;NA;130.33;0.0088;12;700
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.0; 2; 0.0000
5; 0.0; 1; 0.0000
10; 0.0; 70; 0.0014
15; 0.0; 778; 0.0156
20; 7.9; 1097; 0.0219
25; 21.9; 230; 0.0046
30; 11.4; 146; 0.0029
35; 6.5; 37; 0.0007
40; 5.8; 97; 0.0019
45; 4.5; 13; 0.0003
50; 2.8; 11; 0.0002
55; 1.2; 13; 0.0003
60; 0.2; 17; 0.0003
65; 0.1; 15; 0.0003
70; 0.1; 21; 0.0004
75; 0.0; 16; 0.0003
80; 0.0; 19; 0.0004
85; 0.0; 26; 0.0005
90; 0.0; 29; 0.0006
95; 0.0; 33; 0.0007
100; 0.0; 21; 0.0004
105; 0.0; 27; 0.0005
110; 0.0; 24; 0.0005
115; 0.0; 20; 0.0004
120; 0.0; 32; 0.0006
125; 0.0; 26; 0.0005
130; 0.0; 29; 0.0006
135; 0.0; 31; 0.0006
140; 0.0; 21; 0.0004
145; 0.2; 21; 0.0004
150; 0.0; 29; 0.0006
155; 0.0; 21; 0.0004
160; 0.0; 26; 0.0005
165; 0.0; 27; 0.0005
170; 0.0; 31; 0.0006
175; 0.0; 24; 0.0005
180; 0.0; 13; 0.0003
185; 0.0; 11; 0.0002
190; 0.6; 8; 0.0002
195; 0.0; 3; 0.0001
200; 0.0; 15; 0.0003
205; 0.0; 8; 0.0002
210; 0.1; 4; 0.0001
215; 0.6; 3; 0.0001
220; 1.1; 0; 0.0000
225; 0.2; 15; 0.0003
230; 0.0; 17; 0.0003
235; 0.0; 18; 0.0004
240; 0.0; 16; 0.0003
245; 0.2; 27; 0.0005
250; 0.2; 14; 0.0003
255; 0.1; 14; 0.0003
260; 0.7; 11; 0.0002
265; 0.0; 13; 0.0003
270; 0.1; 13; 0.0003
275; 0.8; 17; 0.0003
280; 0.7; 5; 0.0001
285; 0.3; 12; 0.0002
290; 1.0; 3; 0.0001
295; 0.0; 3; 0.0001
300; 0.2; 9; 0.0002
305; 0.0; 8; 0.0002
310; 0.0; 5; 0.0001
315; 0.0; 5; 0.0001
320; 0.0; 8; 0.0002
325; 0.1; 15; 0.0003
330; 0.6; 7; 0.0001
335; 2.0; 17; 0.0003
340; 1.7; 25; 0.0005
345; 0.3; 4; 0.0001
350; 0.0; 2; 0.0000
355; 0.1; 0; 0.0000
360; 0.0; 3; 0.0001
365; 0.0; 10; 0.0002
370; 0.0; 5; 0.0001
375; 0.2; 14; 0.0003
380; 0.1; 16; 0.0003
385; 0.1; 13; 0.0003
390; 0.0; 12; 0.0002
395; 0.0; 25; 0.0005
400; 0.0; 22; 0.0004
405; 0.0; 23; 0.0005
410; 0.0; 22; 0.0004
415; 0.0; 28; 0.0006
420; 0.0; 41; 0.0008
425; 0.2; 23; 0.0005
430; 0.0; 40; 0.0008
435; 0.1; 48; 0.0010
440; 0.2; 50; 0.0010
445; 0.3; 50; 0.0010
450; 0.8; 47; 0.0009
455; 1.0; 60; 0.0012
460; 0.8; 53; 0.0011
465; 0.2; 63; 0.0013
470; 0.2; 60; 0.0012
475; 0.3; 67; 0.0013
480; 0.8; 74; 0.0015
485; 1.2; 89; 0.0018
490; 2.3; 104; 0.0021
495; 5.6; 30; 0.0006
500; 8.1; 15; 0.0003
505; 10.4; 10; 0.0002
510; 12.2; 26; 0.0005
515; 14.6; 21; 0.0004
520; 16.9; 19; 0.0004
525; 18.5; 38; 0.0008
530; 21.2; 47; 0.0009
535; 23.3; 60; 0.0012
540; 26.4; 56; 0.0011
545; 28.6; 53; 0.0011
550; 31.1; 67; 0.0013
555; 34.9; 70; 0.0014
560; 38.2; 66; 0.0013
565; 39.7; 77; 0.0015
570; 44.3; 63; 0.0013
575; 50.2; 63; 0.0013
580; 57.7; 69; 0.0014
585; 62.3; 85; 0.0017
590; 66.7; 104; 0.0021
595; 72.8; 82; 0.0016
600; 78.8; 106; 0.0021
605; 81.4; 127; 0.0025
610; 85.2; 126; 0.0025
615; 90.8; 160; 0.0032
620; 94.7; 164; 0.0033
625; 97.0; 159; 0.0032
630; 100.4; 203; 0.0041
635; 103.8; 206; 0.0041
640; 107.0; 210; 0.0042
645; 106.4; 210; 0.0042
650; 106.8; 220; 0.0044
655; 108.7; 223; 0.0045
660; 108.5; 199; 0.0040
665; 108.0; 194; 0.0039
670; 106.9; 181; 0.0036
675; 105.7; 173; 0.0035
680; 104.0; 162; 0.0032
685; 101.0; 150; 0.0030
690; 99.0; 157; 0.0031
695; 97.1; 103; 0.0021
700; 95.0; 85; 0.0017
705; 93.1; 105; 0.0021
710; 91.4; 91; 0.0018
715; 88.6; 97; 0.0019
720; 87.4; 65; 0.0013
725; 85.0; 65; 0.0013
730; 83.8; 49; 0.0010
735; 82.6; 44; 0.0009
740; 81.5; 53; 0.0011
745; 80.8; 42; 0.0008
750; 80.2; 59; 0.0012
755; 79.4; 46; 0.0009
760; 79.6; 22; 0.0004
765; 78.6; 26; 0.0005
770; 78.4; 15; 0.0003
775; 79.0; 15; 0.0003
780; 78.5; 17; 0.0003
785; 78.9; 14; 0.0003
790; 79.6; 13; 0.0003
795; 80.0; 0; 0.0000
800; 81.6; 2; 0.0000
805; 81.9; 20; 0.0004
810; 82.7; 24; 0.0005
815; 84.5; 33; 0.0007
820; 85.0; 28; 0.0006
825; 86.3; 28; 0.0006
830; 87.8; 37; 0.0007
835; 90.5; 61; 0.0012
840; 92.2; 60; 0.0012
845; 93.4; 76; 0.0015
850; 96.0; 79; 0.0016
855; 98.9; 91; 0.0018
860; 100.5; 115; 0.0023
865; 102.4; 129; 0.0026
870; 105.7; 151; 0.0030
875; 107.6; 169; 0.0034
880; 109.6; 174; 0.0035
885; 112.0; 168; 0.0034
890; 113.5; 190; 0.0038
895; 116.0; 186; 0.0037
900; 117.3; 204; 0.0041
905; 119.9; 211; 0.0042
910; 120.9; 244; 0.0049
915; 122.5; 277; 0.0055
920; 124.2; 276; 0.0055
925; 124.8; 287; 0.0057
930; 125.9; 292; 0.0059
935; 127.5; 293; 0.0059
940; 128.1; 310; 0.0062
945; 130.8; 295; 0.0059
950; 133.9; 360; 0.0072
955; 135.2; 365; 0.0073
960; 135.5; 406; 0.0081
965; 136.1; 424; 0.0085
970; 138.2; 444; 0.0089
975; 138.3; 461; 0.0092
980; 139.4; 450; 0.0090
985; 140.6; 499; 0.0100
990; 140.4; 523; 0.0105
995; 140.7; 534; 0.0107
1000; 142.1; 542; 0.0108
1005; 141.3; 547; 0.0109
1010; 140.9; 510; 0.0102
1015; 141.6; 583; 0.0117
1020; 140.7; 572; 0.0114
1025; 139.4; 590; 0.0118
1030; 139.2; 569; 0.0114
1035; 138.1; 555; 0.0111
1040; 137.3; 525; 0.0105
1045; 135.4; 583; 0.0117
1050; 131.9; 563; 0.0113
1055; 128.5; 563; 0.0113
1060; 126.5; 535; 0.0107
1065; 125.6; 505; 0.0101
1070; 123.5; 489; 0.0098
1075; 121.6; 506; 0.0101
1080; 120.9; 448; 0.0090
1085; 119.1; 503; 0.0101
1090; 117.5; 416; 0.0083
1095; 115.4; 472; 0.0094
1100; 113.2; 440; 0.0088
1105; 110.1; 378; 0.0076
1110; 107.2; 364; 0.0073
1115; 103.7; 359; 0.0072
1120; 99.1; 361; 0.0072
1125; 92.8; 325; 0.0065
1130; 85.6; 276; 0.0055
1135; 78.2; 182; 0.0036
1140; 70.3; 158; 0.0032
1145; 62.7; 127; 0.0025
1150; 56.3; 171; 0.0034
1155; 50.5; 180; 0.0036
1160; 46.6; 128; 0.0026
1165; 43.7; 138; 0.0028
1170; 38.3; 79; 0.0016
1175; 34.9; 61; 0.0012
1180; 32.7; 58; 0.0012
1185; 28.8; 68; 0.0014
1190; 26.0; 59; 0.0012
1195; 25.1; 64; 0.0013
1200; 24.0; 74; 0.0015
1205; 22.5; 58; 0.0012
1210; 21.8; 71; 0.0014
1215; 21.1; 57; 0.0011
1220; 19.9; 69; 0.0014
1225; 19.4; 84; 0.0017
1230; 19.2; 61; 0.0012
1235; 18.4; 71; 0.0014
1240; 18.4; 80; 0.0016
1245; 18.8; 74; 0.0015
1250; 18.4; 58; 0.0012
1255; 18.6; 68; 0.0014
1260; 18.4; 71; 0.0014
1265; 17.8; 68; 0.0014
1270; 17.8; 70; 0.0014
1275; 18.3; 56; 0.0011
1280; 18.5; 69; 0.0014
1285; 16.8; 63; 0.0013
1290; 16.1; 52; 0.0010
1295; 15.7; 68; 0.0014
1300; 15.7; 70; 0.0014
1305; 15.7; 70; 0.0014
1310; 15.7; 67; 0.0013
1315; 15.5; 62; 0.0012
1320; 15.8; 66; 0.0013
1325; 16.4; 68; 0.0014
1330; 16.4; 65; 0.0013
1335; 16.4; 52; 0.0010
1340; 16.3; 40; 0.0008
1345; 16.6; 50; 0.0010
1350; 16.7; 39; 0.0008
1355; 16.6; 29; 0.0006
1360; 16.4; 41; 0.0008
1365; 17.2; 43; 0.0009
1370; 17.2; 32; 0.0006
1375; 17.1; 51; 0.0010
1380; 17.2; 42; 0.0008
1385; 17.4; 43; 0.0009
1390; 17.1; 43; 0.0009
1395; 17.5; 36; 0.0007
1400; 17.5; 25; 0.0005
1405; 17.4; 1; 0.0000
1410; 18.2; 17; 0.0003
1415; 18.3; 20; 0.0004
1420; 18.7; 12; 0.0002
1425; 19.0; 6; 0.0001
1430; 18.9; 6; 0.0001
1435; 18.6; 0; 0.0000
1440; 18.8; 8; 0.0002
1445; 18.8; 0; 0.0000
1450; 19.3; 0; 0.0000
1455; 19.2; 0; 0.0000
1460; 19.3; 5; 0.0001
1465; 19.4; 8; 0.0002
1470; 19.4; 0; 0.0000
1475; 19.3; 2; 0.0000
1480; 19.8; 5; 0.0001
1485; 19.4; 4; 0.0001
1490; 19.5; 6; 0.0001
1495; 19.8; 4; 0.0001
1500; 19.6; 14; 0.0003
1505; 20.0; 20; 0.0004
1510; 19.6; 9; 0.0002
1515; 19.6; 17; 0.0003
1520; 20.4; 17; 0.0003
1525; 19.7; 17; 0.0003
1530; 20.0; 22; 0.0004
1535; 20.1; 25; 0.0005
1540; 19.9; 25; 0.0005
1545; 19.9; 24; 0.0005
1550; 20.2; 31; 0.0006
1555; 20.1; 24; 0.0005
1560; 20.6; 31; 0.0006
1565; 20.2; 25; 0.0005
1570; 19.6; 35; 0.0007
1575; 19.5; 32; 0.0006
1580; 19.7; 38; 0.0008
1585; 19.6; 28; 0.0006
1590; 19.8; 35; 0.0007
1595; 19.4; 41; 0.0008
1600; 20.2; 37; 0.0007
1605; 19.7; 40; 0.0008
1610; 19.6; 43; 0.0009
1615; 19.7; 35; 0.0007
1620; 19.5; 34; 0.0007
1625; 19.8; 29; 0.0006
1630; 19.6; 21; 0.0004
1635; 19.5; 28; 0.0006
1640; 19.8; 24; 0.0005
1645; 19.7; 26; 0.0005
1650; 20.5; 28; 0.0006
1655; 19.1; 19; 0.0004
1660; 19.3; 23; 0.0005
1665; 19.1; 22; 0.0004
1670; 20.1; 23; 0.0005
1675; 19.6; 21; 0.0004
1680; 19.7; 10; 0.0002
1685; 20.0; 10; 0.0002
1690; 19.4; 10; 0.0002
1695; 19.5; 12; 0.0002
1700; 19.3; 16; 0.0003
1705; 19.4; 11; 0.0002
1710; 19.3; 11; 0.0002
1715; 19.3; 8; 0.0002
1720; 19.9; 5; 0.0001
1725; 19.7; 5; 0.0001
1730; 19.4; 7; 0.0001
1735; 19.5; 16; 0.0003
1740; 19.2; 18; 0.0004
1745; 19.5; 13; 0.0003
1750; 19.6; 12; 0.0002
1755; 19.4; 10; 0.0002
1760; 19.4; 11; 0.0002
1765; 19.2; 10; 0.0003
