Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Wool fabric Mixed fabric;;;;IN8-1;Curtains and sunblind in passenger and staff areas;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 13:58:18
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;43;122.64;6.91;;;4.02;2.53;25.13;;81.17;;38.62;0.0088;Distortion. End flame at 151s.
;2011-09-20;c_LSFIRE_IN-8-1_20b;0.5;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.777591949;4.02;0
3;4.257116256;3.99607666;0
5;4.029340937;3.92995998;0
7;3.596291275;3.96011632;0
9;3.482186371;3.98874981;0
11;3.395786013;3.88727035;0
13;1.749441904;3.87410962;0
15;2.511317718;3.89246658;0.015045294
17;2.121760997;3.87118571;0.039120542
19;1.66537418;3.75118175;0.047265048
21;1.257923256;3.83740946;0.057843279
23;1.647493064;3.85081892;0.06634833
25;1.721482359;3.768039;0.08181583
27;0.920997903;3.76787319;0.100148861
29;1.687451174;3.69413404;0.160373426
31;1.680669108;3.752796;0.272748389
33;1.424827385;3.76271343;0.464966455
35;1.599286867;3.77427914;0.743929117
37;1.918950447;3.69021657;1.152913412
39;1.607668471;3.62001661;1.473314781
41;-6.227607425;3.56964081;1.637647982
43;6.386085094;3.60884668;1.823772393
45;49.82110369;3.54414879;2.096152132
47;84.73713453;3.33457192;2.092009219
49;111.6711027;3.15072776;2.19360695
51;122.6355368;3.13849641;2.368873317
53;122.0167486;2.82672194;2.449163123
55;121.1014293;2.73242297;2.312411625
57;114.1869436;2.54403363;2.275294036
59;109.4815162;2.41635226;2.075879048
61;101.0395034;2.35889807;2.006200276
63;91.74288818;2.23096775;1.793664054
65;82.48288487;2.19874644;1.629278434
67;71.02182466;2.17964091;1.428250662
69;63.56304495;2.14914471;1.354344484
71;56.7140985;2.05641088;1.102209961
73;50.93093814;1.97036842;1.00657264
75;46.15211359;1.96037077;0.846166405
77;42.65612543;1.99988878;0.733417248
79;38.55249224;1.97085756;0.583360765
81;35.72802569;1.88042745;0.525255557
83;33.30574444;1.81817086;0.419328896
85;30.14629599;1.91314422;0.340163868
87;28.27812981;2.00072654;0.272222246
89;26.29486786;1.84208948;0.219701158
91;24.6790603;1.7787744;0.146117294
93;23.23016694;1.7718623;0.093080162
95;21.51134599;1.77402695;0.051933348
97;20.48079648;1.75199097;0.023519828
99;18.99300247;1.69290601;0.009050395
101;17.97433271;1.7972989;1.85962E-16
103;16.7431785;1.6898647;1.85962E-16
105;15.28154082;1.75359453;1.85962E-16
107;14.55282038;1.76512426;1.85962E-16
109;13.65447928;1.72007598;1.85962E-16
111;12.89529447;1.66050187;1.85962E-16
113;11.59993355;1.6448524;1.85962E-16
115;10.31856972;1.622355;1.85962E-16
117;9.793056471;1.72233253;1.85962E-16
119;9.242787771;1.71980807;1.85962E-16
121;8.805750978;1.68606829;1.85962E-16
123;8.308720378;1.62607896;1.85962E-16
125;7.54677034;1.68593021;1.85962E-16
127;7.193952848;1.67969006;1.85962E-16
129;6.872192713;1.90513715;1.85962E-16
131;6.563376335;1.59314971;1.85962E-16
133;6.610384985;1.61515797;1.85962E-16
135;6.603178146;1.62693616;1.85962E-16
137;6.480593187;1.64446537;1.85962E-16
139;5.865458506;1.58486355;1.85962E-16
141;5.689336376;1.75448771;1.85962E-16
143;5.226293801;1.54611667;1.85962E-16
145;4.595940501;1.641532;1.85962E-16
147;4.588760401;1.61709069;1.85962E-16
149;4.822234434;1.6605821;1.85962E-16
151;4.97706478;1.6360771;1.85962E-16
153;4.831666923;1.58912137;1.85962E-16
155;4.672980297;1.42356103;1.85962E-16
157;4.289752682;1.59841936;1.85962E-16
159;4.126414074;1.70122572;1.85962E-16
161;3.596397468;1.48071911;1.85962E-16
163;3.235695994;1.53895563;1.85962E-16
165;2.968678162;1.51669015;1.85962E-16
167;2.639332862;1.57555438;1.85962E-16
169;2.11591539;1.5848441;1.85962E-16
171;2.367507915;1.53345356;1.85962E-16
173;2.101589765;1.74787755;1.85962E-16
175;2.01272765;1.13252044;1.85962E-16
177;1.977560109;1.57448421;1.85962E-16
179;1.840794441;1.57494612;1.85962E-16
181;2.014669635;1.44527367;1.85962E-16
183;2.044290663;1.50346594;1.85962E-16
185;1.783153116;1.54099337;1.85962E-16
187;1.713494822;1.5441645;1.85962E-16
189;1.596697218;1.57566475;1.85962E-16
191;1.970632304;1.60217152;1.85962E-16
193;1.954760883;1.58628185;1.85962E-16
195;2.005228418;1.56000701;1.85962E-16
197;1.56608376;1.53313265;1.85962E-16
199;1.36986485;1.59610787;1.85962E-16
201;1.523929007;1.53257982;1.85962E-16
203;1.559040239;1.52035917;1.85962E-16
205;1.66269222;1.46815859;1.85962E-16
207;1.444313242;1.5487904;1.85962E-16
209;1.268654128;2.10367098;1.85962E-16
211;1.695916972;1.56327829;1.85962E-16
213;1.774573137;1.76201683;1.85962E-16
215;1.821272012;1.47320701;1.85962E-16
217;1.522892143;1.47730779;1.85962E-16
219;1.683976215;1.54665054;1.85962E-16
221;1.476176228;1.53264109;1.85962E-16
223;1.52565404;1.53028243;1.85962E-16
225;1.606148377;1.46200937;1.85962E-16
227;1.533705387;1.47789077;1.85962E-16
229;1.30311713;1.54176744;1.85962E-16
231;1.324484731;1.58063295;1.85962E-16
233;1.613168638;1.6197367;1.85962E-16
235;1.83469082;1.49914977;1.85962E-16
237;1.441803752;1.48609136;1.85962E-16
239;1.426110869;1.55033852;1.85962E-16
241;1.556913043;1.54229304;1.85962E-16
243;1.520002858;1.47873679;1.85962E-16
245;1.659906282;1.49717863;1.85962E-16
247;1.938445424;1.68718028;1.85962E-16
249;1.681425922;1.35011556;1.85962E-16
251;1.470203679;1.8976056;1.85962E-16
253;1.507314634;1.51437623;1.85962E-16
255;1.514981596;1.56419871;1.85962E-16
257;1.869833269;1.47111432;1.85962E-16
259;1.583423634;1.41628718;1.85962E-16
261;1.563178065;1.56219743;1.85962E-16
263;1.450363693;1.48878161;1.85962E-16
265;1.567118811;1.52270664;1.85962E-16
267;1.620727572;1.47593325;1.85962E-16
269;1.642973638;1.46609896;1.85962E-16
271;1.859552812;1.49572143;1.85962E-16
273;1.585464616;1.45229372;1.85962E-16
275;1.636870063;1.52785765;1.85962E-16
277;1.653298573;1.46656038;1.85962E-16
279;1.981142453;1.45290198;1.85962E-16
281;1.834517914;1.42803523;1.85962E-16
283;1.89622617;1.43190603;1.85962E-16
285;1.664854123;1.48217096;1.85962E-16
287;1.571720117;1.51946063;1.85962E-16
289;1.804892777;1.42142701;1.85962E-16
291;1.860594017;1.4473615;1.85962E-16
293;1.577768786;1.44588777;1.85962E-16
295;1.314445162;1.49326942;1.85962E-16
297;1.497300503;1.52865117;1.85962E-16
299;1.576466885;1.37932085;1.85962E-16
301;1.906625464;1.4843857;1.85962E-16
303;1.821681309;1.40050788;1.85962E-16
305;1.774817265;1.46813671;1.85962E-16
307;1.808177098;1.44709603;1.85962E-16
309;2.06709281;1.47436567;1.85962E-16
311;2.117289185;1.46976798;1.85962E-16
313;2.069025412;1.46083709;1.85962E-16
315;1.777925496;1.48566591;1.85962E-16
317;1.881880477;1.44084713;1.85962E-16
319;1.868326816;1.49014497;1.85962E-16
321;1.80141587;1.44758516;1.85962E-16
323;1.914832437;1.42680169;1.85962E-16
325;1.798712874;1.39188137;1.85962E-16
327;1.677321762;1.47094852;1.85962E-16
329;1.533026997;1.47350895;1.85962E-16
331;1.784514818;1.50038331;1.85962E-16
333;1.913241519;1.44989665;1.85962E-16
335;2.057964582;1.43908604;1.85962E-16
337;1.98933925;1.42517869;1.85962E-16
339;1.851184382;1.43211024;1.85962E-16
341;1.778048781;1.42282879;1.85962E-16
343;1.789649644;1.44826538;1.85962E-16
345;2.296382376;1.41574213;1.85962E-16
347;2.140651186;1.37430549;1.85962E-16
349;1.842890539;1.43546418;1.85962E-16
351;1.789198022;1.40699455;1.85962E-16
353;1.967486743;1.51671252;1.85962E-16
355;2.06350224;1.41712202;1.85962E-16
357;2.073495833;1.40777687;1.85962E-16
359;2.048287031;1.39858683;1.85962E-16
361;1.931975148;1.49389178;1.85962E-16
363;1.66439482;1.4411656;1.85962E-16
365;1.756320073;1.45914796;1.85962E-16
367;2.16797556;1.44983296;1.85962E-16
369;2.090575246;1.39240697;1.85962E-16
371;2.129243702;1.40115213;1.85962E-16
373;2.129067157;1.37790789;1.85962E-16
375;2.115087191;1.43862461;1.85962E-16
377;1.934100129;1.42825646;1.85962E-16
379;2.095802906;1.38909727;1.85962E-16
381;2.250274458;1.34978104;1.85962E-16
383;2.204976059;1.34626956;1.85962E-16
385;2.27539192;1.39809137;1.85962E-16
387;1.999117113;1.43059566;1.85962E-16
389;1.86550225;1.47365288;1.85962E-16
391;1.93139704;1.46081521;1.85962E-16
393;1.882507818;1.42043999;1.85962E-16
395;2.013610451;1.36693974;1.85962E-16
397;1.780976918;1.38021112;1.85962E-16
399;1.738248369;1.40246832;1.85962E-16
401;1.630640181;1.42237563;1.85962E-16
403;1.799370215;1.42836683;1.85962E-16
405;1.990333645;1.38428661;1.85962E-16
407;2.065035843;1.357633;1.85962E-16
409;2.111843688;1.34918104;1.85962E-16
411;2.060739919;1.3968836;1.85962E-16
413;2.034430646;1.41063293;1.85962E-16
415;2.12039407;1.44000451;1.85962E-16
417;2.171854007;1.34992496;1.85962E-16
419;2.175149089;1.35907659;1.85962E-16
421;1.93338125;1.38957328;1.85962E-16
423;1.773006742;1.43638217;1.85962E-16
425;2.048482512;1.3547468;1.85962E-16
427;2.13005946;1.37199935;1.85962E-16
429;1.969559407;1.35789897;1.85962E-16
431;1.727923667;1.3165197;1.85962E-16
433;1.556056209;1.3275321;1.85962E-16
435;1.816735136;1.39986948;1.85962E-16
437;1.963843333;1.41136275;1.85962E-16
439;2.081320851;1.35816687;1.85962E-16
441;2.083761253;1.36818398;1.85962E-16
443;2.090095257;1.42560218;1.85962E-16
445;2.121361401;1.40428484;1.85962E-16
447;2.121238635;1.41156501;1.85962E-16
449;2.244016623;1.36182471;1.85962E-16
451;1.943780984;1.37850546;1.85962E-16
453;1.97992408;1.33249786;1.85962E-16
455;1.906528173;1.46129365;1.85962E-16
457;1.945288586;1.4003202;1.85962E-16
459;2.170934167;1.3423409;1.85962E-16
461;1.845321117;1.31678274;1.85962E-16
463;1.821916056;1.39193145;1.85962E-16
465;1.679112055;1.36168419;1.85962E-16
467;1.762808783;1.42983813;1.85962E-16
469;2.196946811;1.28288543;1.85962E-16
471;2.051365478;1.31580642;1.85962E-16
473;2.190057706;1.30435156;1.85962E-16
475;1.8060561;1.2972542;1.85962E-16
477;2.005146757;1.37175915;1.85962E-16
479;2.063918555;1.36311319;1.85962E-16
481;2.227323924;1.19075987;1.85962E-16
483;2.174043875;1.25738465;1.85962E-16
485;2.299051576;1.2266395;1.85962E-16
487;1.773995405;1.33755747;1.85962E-16
489;2.066928945;1.38010901;1.85962E-16
491;2.100970964;1.34506957;1.85962E-16
493;2.157198295;1.30730145;1.85962E-16
495;2.074340876;1.34343003;1.85962E-16
497;1.948360989;1.33846184;1.85962E-16
499;1.839827518;1.38013672;1.85962E-16
501;1.942952113;1.34845123;1.85962E-16
503;2.207597305;1.27077758;1.85962E-16
505;2.280630382;1.32259162;1.85962E-16
507;2.262538595;1.35518926;1.85962E-16
509;2.322302942;1.33978873;1.85962E-16
511;2.192457438;1.42937914;1.85962E-16
513;2.43574219;1.35859815;1.85962E-16
515;2.521506208;1.2842872;1.85962E-16
517;2.490748462;1.33895681;1.85962E-16
519;2.216248281;1.23856453;1.85962E-16
521;1.9341624;1.32831199;1.85962E-16
523;2.075905817;1.30104234;1.85962E-16
525;2.180534875;1.38504706;1.85962E-16
527;2.16958073;1.28175157;1.85962E-16
529;2.071840191;1.31506833;1.85962E-16
531;1.955564453;1.25631497;1.85962E-16
533;2.054263668;1.25059167;1.85962E-16
535;2.122011114;1.36640344;1.85962E-16
