Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Aluminium Honey comb coated with HPL;;;;IN10A-1;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 14:39:25
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
30;227;61.78;30.63;;;102.90;19.75;19.23;;243.45;;25.50;0.0088;Projection of particles. Raising of the surface. Glowing. End flame > 1200s.
;2011-08-29;c_LSFIRE_IN-10A-1_30a;22.7;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.535898343;102.9;0.00570984
3;3.57452212;102.7766776;0.00570984
5;2.826196683;102.9191041;0.00570984
7;3.0605727;102.9231732;0.00570984
9;3.687487836;102.8945198;0
11;4.419110713;102.8751673;0
13;4.742459173;102.9562557;0.001801816
15;4.347547265;102.8657341;0.001801816
17;3.747465065;103.3734932;0.001801816
19;2.663091163;102.7613335;0.001801816
21;2.206340933;103.014447;0.001801816
23;2.183216472;102.9600102;0.011376912
25;1.751170024;102.9444284;0.011376912
27;1.946269103;102.9406407;0.01476375
29;1.625209651;102.8663424;0.01476375
31;1.390719631;102.9456337;0.01476375
33;1.230804684;102.950334;0.003386838
35;1.119769901;102.9436762;0.008324084
37;1.248882899;102.9087695;0.011611538
39;1.368436285;102.9269055;0.019320543
41;1.375156443;102.9506821;0.019320543
43;0.997358493;102.8188285;0.019320543
45;0.825535076;102.8673819;0.073814396
47;1.196291983;102.9604415;0.129665171
49;1.003383823;102.7561139;0.162560779
51;1.028677387;102.8063039;0.191019489
53;1.128099405;102.7475268;0.220607354
55;1.19198015;102.7290971;0.184038035
57;1.445022066;102.7983693;0.148820469
59;1.68052806;102.7133552;0.141755647
61;1.695438273;102.6810911;0.146357107
63;1.473317975;102.7583369;0.133194451
65;1.207410047;102.7217595;0.119085367
67;1.203789025;102.7443031;0.121390097
69;1.502076709;102.6474447;0.153947331
71;1.757334706;102.7072614;0.205538732
73;1.784056719;102.5028949;0.258620217
75;2.082018469;102.5778462;0.296560355
77;2.222153904;102.5908842;0.315492271
79;2.510490306;102.5041557;0.308816495
81;2.28824897;102.3714225;0.314887081
83;2.175743307;102.3560506;0.325471732
85;1.6572411;102.397726;0.355132378
87;1.157495089;102.4794226;0.371349268
89;1.265170714;102.3393854;0.386799483
91;1.581271165;102.1286217;0.366847682
93;1.252424487;102.4771836;0.3448897
95;1.223880986;102.1208689;0.34962271
97;1.439185396;102.1703739;0.356336727
99;1.571310493;101.8666162;0.399373275
101;1.820173941;102.0335375;0.440420566
103;1.52682268;102.1538298;0.498696015
105;1.471609348;102.0049896;0.566725612
107;1.226164859;102.2634836;0.603854103
109;1.106127197;101.8183117;0.603904693
111;1.407785442;101.7584396;0.617530888
113;1.756803716;101.9035753;0.675031751
115;1.683472321;101.7148456;0.682497635
117;1.527763245;101.7275077;0.680020718
119;1.448272059;101.8583281;0.69818969
121;1.60762096;101.5820078;0.681373684
123;1.715009984;101.675858;0.693944533
125;1.679081595;101.4580942;0.710544421
127;1.215502069;101.3582445;0.717034119
129;1.412793124;101.3735721;0.746522373
131;1.753232322;101.2846595;0.788496238
133;2.052087486;101.1863356;0.7959428
135;2.237420154;101.1537841;0.806701147
137;2.177617696;101.1136681;0.851084319
139;1.915512271;101.0466684;0.855546733
141;1.926151492;101.1734576;0.89583581
143;2.390736063;101.0032461;0.880488432
145;2.500287768;100.6768626;0.819293414
147;2.468415046;100.7923992;0.814695858
149;2.501744432;100.8252715;0.790803076
151;2.187253201;100.6268213;0.7154189
153;2.529074041;100.8608254;0.634640969
155;2.787787;100.5808444;0.626390096
157;2.804674722;100.4348962;0.614169718
159;2.561653105;100.3278748;0.560939941
161;2.516449621;100.4360461;0.554818453
163;2.433870318;100.4690843;0.560871735
165;2.845730074;100.2460231;0.557163783
167;3.103913354;100.1325879;0.533979423
169;3.071778227;100.1848128;0.57609754
171;2.871016584;100.2547989;0.571584189
173;2.521599556;100.0510843;0.568564765
175;2.670872339;99.9452357;0.550504269
177;2.725791168;99.9493273;0.519486568
179;3.137740907;99.8012776;0.473514366
181;3.05309021;99.7321051;0.441255616
183;3.176017663;99.752133;0.404925009
185;3.04246838;99.6522167;0.387932092
187;3.313444196;99.7622517;0.376938323
189;3.497466139;99.5723006;0.357291668
191;3.537925729;99.4841231;0.339930675
193;3.151937964;99.4034101;0.333689958
195;3.21495439;99.4023322;0.314629217
197;3.021428552;99.3569795;0.320118856
199;3.167517904;99.2628138;0.342479613
201;3.200553825;99.162776;0.376282928
203;2.775952154;99.1327071;0.38742148
205;2.773688596;99.1574951;0.400001849
207;2.736058299;98.778826;0.367430585
209;2.701318267;99.0630206;0.335110234
211;3.098836607;98.8585;0.304653546
213;2.993440121;98.9157407;0.29034077
215;2.589385529;98.9898897;0.279559782
217;2.568015464;98.8611815;0.289922468
219;2.513742051;98.7827197;0.30425795
221;2.93075501;98.7627472;0.321807985
223;3.050302327;98.8078004;0.353546636
225;3.254940048;98.6745693;0.341546959
227;3.449027324;98.6311751;0.336560179
229;4.712131168;98.4174362;0.317736583
231;5.773663687;98.4404937;0.2773399
233;7.280520683;98.4778451;0.233265868
235;8.619704196;98.441876;0.213656163
237;9.581725216;98.3959108;0.184365725
239;10.38187022;98.435667;0.161127837
241;12.00438546;98.2624589;0.150853824
243;13.19995248;98.2567915;0.145075414
245;14.40136004;98.1347737;0.158685116
247;14.51225289;98.0687965;0.147040341
249;17.04378363;98.1565597;0.128785629
251;20.84214702;98.1041248;0.133809647
253;26.61406366;97.9272277;0.193030038
255;33.29809302;97.833892;0.247160159
257;38.94034689;97.7393946;0.321536609
259;42.84165338;97.6602409;0.385029892
261;45.12910979;97.5761506;0.42407866
263;48.47671473;97.527022;0.377836872
265;48.97525589;97.4033573;0.329994291
267;50.22342282;97.2990728;0.282796747
269;52.16615506;97.2527643;0.231302672
271;52.92272464;97.1334007;0.192156593
273;53.41315367;97.0368573;0.188894274
275;55.14525179;96.9761051;0.185272481
277;54.5531518;96.7892352;0.18861349
279;53.19327553;96.7011516;0.212391148
281;53.19308976;96.6464659;0.221367167
283;57.39893998;96.5790189;0.20996215
285;59.84641266;96.561657;0.205785633
287;60.83739136;96.3680452;0.212885117
289;61.78341805;96.3372626;0.192029574
291;60.30122834;96.3024434;0.185029478
293;59.65779683;96.1791492;0.174841288
295;58.8456766;96.094455;0.15814775
297;58.59627954;96.0495288;0.146136608
299;59.57051794;96.0367718;0.145384405
301;58.83035293;95.9745663;0.131856402
303;57.34114406;95.8357782;0.117590905
305;57.22668357;95.7929767;0.096383933
307;54.77668008;95.7391755;0.069110552
309;53.16792898;95.6761405;0.052686402
311;53.15348418;95.6085277;0.061368173
313;50.93963619;95.5670176;0.082047902
315;48.71238639;95.5422185;0.091279007
317;49.2921346;95.4695344;0.087846111
319;48.92469474;95.350641;0.081680864
321;48.21991547;95.2983723;0.073570876
323;47.0244152;95.4335819;0.056973459
325;47.1416415;95.1354094;0.063188654
327;46.47040812;95.3942403;0.072426645
329;44.31843983;95.1032557;0.07686812
331;44.01955001;95.0185615;0.06043946
333;41.55556196;94.9698315;0.049941752
335;41.08237529;94.9650053;0.038431938
337;40.32630856;94.9620744;0.034719505
339;39.08206564;95.0294343;0.029481743
341;38.46941144;94.6596718;0.04034389
343;37.92227251;94.7681154;0.035925408
345;37.45723537;94.7327268;0.035628507
347;37.41722634;94.6330756;0.035464582
349;37.96963304;94.6255557;0.047620656
351;37.06053227;94.5224761;0.044203427
353;37.47878962;94.3031524;0.054216627
355;36.96089147;94.3324739;0.06537212
357;36.08986623;94.3311038;0.052790209
359;36.37131075;94.2982431;0.040236692
361;34.84040218;94.1712881;0.031255505
363;33.24713622;94.2611688;0.029217002
365;32.89626795;94.1436412;0.027850203
367;31.00036935;94.0639191;0.044629352
369;29.92438215;94.0094269;0.05016623
371;29.18799928;93.9413445;0.061819791
373;29.00470713;93.9731107;0.073567465
375;27.77931398;93.884696;0.085281798
377;28.30776023;93.8796325;0.099707827
379;27.39691412;93.6997102;0.109136051
381;27.04323986;93.7679545;0.117020801
383;27.65778285;93.6174879;0.112568568
385;27.43477094;93.6860561;0.103532695
387;27.97230041;93.5940711;0.094495453
389;27.34092393;93.6503997;0.090020965
391;26.88342598;93.5176665;0.086143221
393;26.57981757;93.569252;0.084798695
395;26.02676471;93.4547263;0.08790727
397;26.43904702;93.4327511;0.091500076
399;26.02196472;93.3574404;0.102954751
401;25.02762488;93.2935759;0.113863015
403;24.73148678;93.2748594;0.113382305
405;25.0675784;93.2403402;0.117052363
407;24.34391102;93.1642438;0.112871688
409;23.50909987;93.1017339;0.119780851
411;23.36001591;93.1172162;0.115500892
413;22.71360666;93.0673173;0.111695761
415;23.09348276;93.0334497;0.091044576
417;23.42162746;92.9476732;0.085005496
419;24.28987945;93.0348991;0.059969892
421;24.65444754;92.9808494;0.050389831
423;25.83720164;92.8413665;0.048665788
425;26.63644613;92.8888367;0.063032244
427;27.13141331;92.8153509;0.070100104
