Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Aluminium Honey comb coated with HPL;;;;IN10A-1;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 14:46:07
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
30;295;37.76;20.12;;;102.76;18.43;12.96;;303.54;;16.73;0.0088;Projection of particles. Raising of the surface. Glowing. End flame > 1200s.
;2011-08-29;c_LSFIRE_IN-10A-1_30c;22.7;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.249482928;102.76;0.023986381
3;6.278212926;102.29804;0.017833756
5;5.888235268;102.4586379;0.014407618
7;6.077744217;102.4791127;0.014131736
9;5.887796096;102.6380906;0.015033551
11;5.222195258;102.4969613;0.018528064
13;3.627331102;102.4398324;0.022997151
15;2.53201744;102.6695855;0.030986062
17;1.860263327;102.5818908;0.030110103
19;1.483760395;102.5096619;0.036732456
21;0.891118842;102.4179311;0.035015824
23;0.530166773;102.5531776;0.036228897
25;0.587756479;102.3912576;0.025600912
27;0.801511821;102.5107734;0.027577855
29;0.780064287;102.5269742;0.028050349
31;0.006185702;102.6139386;0.026286795
33;-0.002957891;102.5144891;0.020604636
35;0.097673636;102.6085532;0.031096296
37;-0.089331024;102.1348208;0.036013686
39;-0.488413122;102.5138254;0.035049996
41;-0.438778203;102.5010918;0.038839058
43;-0.568168226;102.5311985;0.038839058
45;-0.61836988;102.5761072;0.038574324
47;-0.808100044;102.4686069;0.039192696
49;-0.817127314;102.4931737;0.031244073
51;-0.590919257;102.4681922;0.035161125
53;-0.591658026;102.2867212;0.041543137
55;-0.595207949;102.4109806;0.031228796
57;-0.546153629;101.9419592;0.025174286
59;-0.598025354;102.2363824;0.026989642
61;-0.762271022;102.3066597;0.039251306
