Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Wood with HPL covers;;;;IN10A-3;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 14:49:46
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;90;163.42;178.96;;;175.14;125.06;12.64;;1.58;;111.82;0.008836;Areas of facing blown off  at approximately 25 s;2011-10-05;ISO 5660-1_BREG_IN10A-3_50a;22.81;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;0;175.14;0
2;3.98990039;175.14;0.000969386
4;4.622314062;175.14;0.000616833
6;2.283628449;175.14;0.000670229
8;3.012669845;175.14;0.001105531
10;0.802553907;175.14;0.000922103
12;0.367763641;174.957853;0.000599238
14;0.58911881;175.072798;0.000783949
16;1.988252316;174.868144;0.000209006
18;0.49184214;174.928307;0.000205324
20;3.374291079;174.849321;0.000264296
22;2.474895009;174.951984;0.000133671
24;3.213326657;174.847381;0.000289953
26;4.886803625;174.919501;0.000258766
28;3.156724142;174.860126;0.000135626
30;4.417122761;174.842913;0.028223166
32;5.482351136;174.688886;0.032175159
34;3.360583488;174.563531;0.015777736
36;2.102566321;174.451395;0.00727172
38;2.369915391;174.394939;0.005823577
40;3.287376714;174.167949;0.005674922
42;3.879073139;174.166551;0.007677908
44;3.771140631;174.054743;0.008003817
46;2.970531728;173.906784;0.008579424
48;3.629573374;173.844107;0.009387871
50;5.108288391;173.745309;0.009512571
52;4.45953154;173.598822;0.009423174
54;4.973326667;173.498065;0.009668399
56;4.664269216;173.391491;0.009196268
58;6.066414464;173.309958;0.009405268
60;4.917510638;173.298248;0.009049934
62;3.473817195;173.085983;0.00787696
64;3.588877703;173.102571;0.007977422
66;3.662896183;172.874546;0.007945717
68;3.593793148;173.000054;0.007870264
70;3.882827781;172.831409;0.007720843
72;3.20486214;172.762766;0.007517907
74;4.920718346;172.363875;0.007101876
76;5.623659903;172.453937;0.007247553
78;4.638890738;172.087973;0.006789452
80;4.617049698;172.106996;0.006225668
82;5.611297952;171.837055;0.005513308
84;5.734104931;171.821162;0.006260456
86;6.178320895;171.641309;0.005251053
88;8.0093432;171.542929;0.005529391
90;13.01384438;171.364549;0.004940085
92;24.63037643;171.31386;0.000206286
94;39.23104398;171.257203;0
96;49.52605768;171.08394;0
98;58.28420009;170.989711;0
100;68.46496554;170.750931;0
102;79.65010704;170.579866;0
104;96.35552742;170.309956;0.00E+00
106;108.2832829;170.252783;0.00E+00
108;117.0760329;169.995375;0.000386854
110;122.2916272;169.839409;0.001297365
112;123.5160291;169.549516;0.002107148
114;126.0529201;169.45819;0.002258943
116;128.7754149;168.761405;0.003021256
118;129.6936763;168.600062;0.003147605
120;130.7442423;168.371579;0.004880746
122;130.665302;168.428999;0.005782225
124;128.0134806;168.170324;0.005567743
126;126.3771539;167.983448;0.005600433
128;124.0527013;167.770392;0.00525123
130;123.8982547;167.622717;0.00464238
132;123.6870644;167.543208;0.005390699
