Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Wood with HPL covers;;;;IN10A-3;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 14:53:41
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;80;199.81;130.89;;;175.94;101.76;11.37;;106.53;;109.20;0.008836;Areas of facing blown off  at approximately 25 s;2011-10-05;ISO 5660-1_BREG_IN10A-3_50b;22.83;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;0;175.95;0
2;0.49375549;175.945815;0.468359648
4;1.141166584;175.866841;0.065018672
6;0.262276448;175.735333;0.009333574
8;0.225858203;175.886359;0.038312441
10;0.410296922;175.745783;0.041679369
12;-0.083108015;175.84091;0.021781601
14;1.288487371;175.895963;0
16;-0.43697308;175.920724;0
18;-0.210435012;175.914094;0
20;-0.302338692;175.842424;0.008866109
22;-1.251376576;175.892482;0.005692688
24;-0.242099352;175.944079;0
26;0.368909654;175.955052;0
28;0.243161472;176.100438;0
30;1.68665658;175.889033;5.011839163
32;2.055233074;175.741194;5.891753835
34;1.768849983;175.387307;4.286207229
36;2.350427194;175.316359;2.484875453
38;2.666308407;175.185822;1.506952387
40;3.770762921;175.065118;1.540467638
42;2.720111821;174.949765;1.377206035
44;2.615660841;174.797134;1.503385652
46;8.708039059;174.657579;1.397762337
48;1.888181812;174.663384;1.345010935
50;3.55303603;174.769584;1.227234494
52;1.981248823;174.592396;1.189315036
54;1.201953568;174.509827;1.105131873
56;2.535065137;174.221486;1.254149592
58;1.76860045;174.427161;1.125958967
60;2.956593271;174.263662;1.15900572
62;2.39215996;174.277109;1.130332029
64;3.763539484;174.076705;1.084587761
66;3.911790486;174.084959;1.090377029
68;2.075467039;173.898662;1.153931505
70;2.504809909;173.812331;1.054280587
72;3.077547775;173.620126;0.970173234
74;1.740999165;173.413141;0.8956969
76;1.805950399;173.318134;0.842843974
78;1.567328955;173.234519;0.871970967
80;3.542289247;173.141462;0.720789926
82;8.116652916;173.057711;0.25275986
84;16.910605;173.068699;0.004351991
86;29.29698099;172.925354;0
88;41.16465629;172.781813;0
90;54.51803927;172.580995;0
92;64.52560457;172.500484;0
94;69.53749962;172.443148;0
96;71.44157548;172.128443;0
98;70.93248829;172.046816;0
100;73.03383683;171.826257;0
102;69.2603538;171.743282;0
104;69.07855914;171.557428;0
106;70.38360309;171.345558;0
108;71.8341024;171.084869;0
110;76.81173117;171.008116;0
112;82.57070287;170.903761;0.001082548
114;92.08811867;170.595049;0.121730966
116;103.6898787;170.560461;0.200879766
118;114.3775309;170.426861;0.192192678
120;123.4496307;170.277917;0.370790176
122;127.3254632;170.125184;0.471405552
124;127.6920919;169.836529;0.565454669
126;125.3541246;169.702195;0.549686446
128;121.7943882;169.259596;0.590770544
130;119.120754;169.206456;0.677277702
132;120.1003709;168.872451;0.710897155
134;123.8930042;168.863052;0.834245456
136;125.4197526;168.456354;0.821088449
138;125.6961596;168.52136;0.794608357
140;126.0535604;168.30798;1.031225063
142;126.1014689;168.239651;1.143348727
144;127.4323874;168.177593;1.121517214
146;127.9663108;167.96268;1.146885309
148;128.4929178;167.882606;0.964655454
150;128.7538145;167.525059;0.897852037
152;128.9070402;167.331056;0.820010019
154;127.5258179;166.787574;0.919012358
156;128.990067;166.872624;0.767383104
158;127.0194833;166.632665;0.821594709
160;125.4382476;166.522863;0.65493399
162;126.1930511;166.448089;0.631363269
164;127.3224285;165.966739;0.717508231
166;127.4592378;165.860085;0.65065274
168;125.5105148;165.725808;0.555334304
170;126.3903483;165.605187;0.536887436
172;129.9114126;165.403523;0.54432401
174;133.7804437;165.021553;0.537039808
176;136.1512389;165.132685;0.555992438
178;139.9340304;164.612343;0.598377859
180;143.8428719;164.813978;0.538993689
182;143.2965299;164.213882;0.599332967
184;142.5126525;164.224073;0.691088256
186;142.9498365;163.71579;0.69008739
188;144.6487386;163.651341;0.567409541
190;143.900776;163.421896;0.60399647
192;143.2313696;163.327284;0.548982932
194;142.0256409;163.053995;0.495444795
196;140.998036;162.647654;0.686517555
198;139.4905466;162.735548;0.782834961
200;138.0397827;162.548648;0.857435505
202;135.8584008;162.564471;0.790539302
204;132.7027314;162.153675;0.866674002
206;126.456066;162.077528;0.880047132
208;121.5117975;161.888664;0.637600485
210;117.0376893;161.611529;0.57163774
212;113.2359481;161.318593;0.6070999
214;111.0439726;160.898657;0.466749776
216;109.5965871;160.998124;0.449804329
218;109.7058368;160.744715;0.39450111
220;108.2134026;160.770103;0.365528824
222;106.7838058;160.569082;0.283080771
224;106.2887172;160.570899;0.168605772
226;105.5862914;160.3183;0.126476839
228;105.4715087;160.106737;0.105483158
230;105.5354207;159.880302;0
232;104.3701954;159.592754;0
234;104.2641544;159.504574;0
236;102.4303178;159.210384;0.018343392
238;102.1619545;159.214772;0
240;104.8168254;158.786615;0
242;103.7895763;158.978216;0
244;105.4941859;158.572576;0
246;107.3184692;158.752828;0
248;107.4809483;158.450615;0.00085912
250;105.5925844;158.251332;0
252;106.9760066;158.085039;0.011668263
254;107.2170426;157.808282;0
256;108.8921124;157.642927;0
258;109.0991754;157.26776;0
260;108.9336324;157.253716;0
262;110.1508477;157.055206;0
264;114.8823351;157.045511;0
266;117.7193796;156.931022;0
268;118.3047217;156.774036;0
270;118.0595116;156.466786;0
272;123.4654446;155.831702;0
274;125.1544924;155.828587;0
276;124.8131193;155.493452;0
278;124.3544172;155.512218;0
280;126.3855841;155.236716;0
282;126.7895172;155.233491;0
284;128.7941518;155.026765;0
286;130.9812548;154.952663;0
288;131.1272053;154.735287;0
290;131.7364007;154.411704;0
292;130.7914227;154.346963;0
294;130.8708532;153.733561;0
296;131.317459;153.815355;0
298;131.6502852;153.240709;0
300;132.44736;153.583293;0
302;135.6789479;153.176825;0
304;137.8612451;153.358193;0.014174301
306;137.2095416;153.164253;0.042877144
