Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Wood with HPL covers;;;;IN10A-3;Table;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 14:57:14
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;93;175.74;121.43;;;175.12;98.199;10.93;;526.37;;101.49;0.008836;Areas of facing blown off  at approximately 25 s;2011-10-06;ISO 5660-1_BREG_IN10A-3_50c;22.89;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;0;175.12;0
2;0.416361705;175.12;0.08357538
4;0.871172583;174.78705;0.098896636
6;1.871283818;175.146921;0.232225621
8;2.675527815;175.036592;0.13949529
10;1.728055162;174.984685;0.128222887
12;2.963390485;175.143273;0.12344015
14;3.529375915;174.98292;0.099061743
16;3.082892808;175.118224;0.083894104
18;2.325925868;175.014303;0.148354018
20;2.926165528;175.128035;0.250342203
22;1.254705955;174.959845;0.14052551
24;1.748389585;175.179597;0.106206529
26;3.35887228;175.035063;0.074570756
28;3.567912765;174.904688;0.409951422
30;4.984316672;174.830398;5.258110195
32;4.567648388;174.308587;4.96756244
34;3.749212231;174.641085;3.037207344
36;5.042189548;174.192968;2.430532339
38;3.976948857;174.122121;2.06892001
40;6.658197147;174.203867;1.882529292
42;5.408151796;174.074865;1.721710279
44;4.973745244;174.131968;1.771890311
46;5.087139777;173.968752;1.729588389
48;4.745235725;173.963131;1.799040659
50;2.416560611;173.834428;1.784523816
52;4.082039471;173.618491;1.879730966
54;3.569383541;173.599962;1.871478508
56;4.703762303;173.328436;1.746620675
58;4.454274633;173.313504;1.829767892
60;3.758444752;172.965956;1.579103947
62;5.469856544;172.983463;1.56848376
64;4.672032527;172.922455;1.680342277
66;5.704117018;172.816558;1.632033951
68;4.55747622;172.816137;1.567583579
70;6.119312532;172.610349;1.62113454
72;4.485666031;172.6545;1.473872121
74;6.184740593;172.57226;1.271185289
76;6.520876004;172.400164;1.261250296
78;5.422281699;172.368709;1.336552607
80;5.495393888;172.107536;1.235082858
82;5.703329098;172.124109;1.015934109
84;4.275158964;171.930187;1.07026614
86;2.81379123;171.892667;0.9296018
88;3.288801492;171.610694;0.936028407
90;3.058272989;171.688755;0.886358466
92;3.875049225;171.451208;0.943073927
94;11.14836191;171.476469;0.869234719
96;26.72903766;171.207667;0.188856413
98;45.24278535;171.111403;0.137439794
100;60.96841322;171.107439;0.181346327
102;74.81576045;170.836543;0.327246593
104;84.33952142;170.823933;0.283117664
106;90.04572578;170.412566;0.275728719
108;93.81298277;170.376902;0.27202759
110;97.9549284;170.248344;0.300593428
112;99.71853467;170.04212;0.295393236
114;99.1393152;169.858886;0.257936338
116;98.22388486;169.676775;0.308114655
118;99.30941595;169.428786;0.379340625
120;98.57969742;169.221826;0.427250473
122;98.99385135;169.123573;0.57373768
124;98.17403417;168.774778;0.527314236
126;98.72676395;168.807669;0.803481455
128;99.0550737;168.571584;0.842861327
130;97.89086601;168.566543;0.822197552
132;97.56219395;168.452269;0.825257868
134;97.14937301;168.428215;0.743308311
136;98.87342535;168.132563;0.762614265
138;96.76832269;167.944397;0.619317312
140;95.46410525;167.83032;0.627328171
142;94.36948712;167.708676;0.639653151
144;94.4943422;167.600052;0.554309431
146;94.37837783;167.231856;0.557054635
148;93.1357348;167.27572;0.446692494
150;92.95818832;167.055137;0.5066008
152;92.60524464;166.996584;0.599118202
154;91.74857064;166.850156;0.619199424
156;92.73616615;166.715886;0.626660217
158;93.41285923;166.626274;0.64963383
160;94.1519882;166.351895;0.666302109
162;94.0200981;166.288847;0.664996938
164;93.66036207;166.182911;0.607985371
166;92.82955475;166.147411;0.651754956
168;93.59418926;165.943151;0.565511566
170;94.32841131;165.684214;0.64221734
172;96.39695335;165.630081;0.667169327
174;98.08365953;165.234821;0.656037745
176;100.1381391;165.254363;0.70329781
178;99.75630261;164.995055;0.633389117
180;101.8011731;164.912326;0.739407403
182;105.8250877;164.782005;0.641189011
184;108.7153787;164.363449;0.625195495
186;109.7421452;164.398589;0.727724499
188;115.0464335;164.16279;0.623926291
190;113.5513975;163.971343;0.671012536
192;112.5736189;163.848227;0.5494644
194;116.1072334;163.42852;0.586282313
196;120.3909333;163.402934;0.645812892
198;126.0276242;163.043057;0.781243776
200;127.5982526;162.90583;0.873728616
202;128.1736248;162.864477;0.727614956
204;128.80915;162.626364;0.680521216
206;130.3618986;162.614244;0.883514956
208;131.4917545;162.260613;0.925028828
210;130.0116684;162.200832;0.967023084
212;127.9686166;162.080423;1.077172031
214;125.5863566;161.534366;1.006995208
216;122.7613539;161.615987;0.899109785
218;122.4561236;161.100787;1.066658896
220;123.5025626;160.776666;0.950753911
222;122.6277952;160.823557;0.877928406
224;120.3117117;160.459504;0.811734075
226;118.1177303;160.483327;0.928461702
228;115.4511497;160.38281;0.988199122
230;114.1373982;160.049266;1.073429214
232;114.0584973;160.215105;1.062502648
234;113.1882232;159.876833;0.949889312
236;113.4947455;159.598397;0.978757739
238;112.49055;159.529857;0.818999975
240;111.7956488;158.947647;0.891279694
242;110.496588;158.777251;0.824284156
244;109.7993837;158.752;0.925296431
246;110.3835354;158.357269;0.868957739
248;111.1305724;158.588207;0.79909146
250;111.085698;158.38236;0.887469769
252;112.5766834;158.257384;1.003097107
254;113.6343447;158.257409;0.920087441
256;113.2238319;157.733293;0.83214773
258;114.615471;157.316276;0.943823106
260;113.7188104;157.31911;0.849720985
262;113.5454524;156.90262;0.865062728
264;115.3824966;157.000258;0.963746255
266;116.4418139;156.977111;1.054757127
268;116.3334434;156.755425;0.895337589
270;116.8726262;156.539133;0.844964601
272;116.5130436;156.2341;0.681431432
274;113.9323577;155.841587;0.901716168
276;113.4940483;155.790555;0.872888985
278;113.1298514;155.749325;0.830298867
280;112.8520579;155.582118;0.876861292
282;111.8143534;155.624687;0.989959373
284;110.7086702;154.906906;0.802152553
286;110.0899068;154.753411;0.866952166
288;108.3943284;154.736435;0.793026223
290;109.0398318;154.398114;0.865283812
292;109.0662132;154.282909;0.626307495
294;108.6768048;154.327097;0.629600558
296;107.9434069;154.0176;0.599946326
298;109.6271535;154.208384;0.843548686
300;110.2812949;153.859439;0.763206263
302;113.8865204;153.334278;0.713865707
304;111.9289132;153.227917;0.576205335
306;112.1902533;153.07909;0.75778953
308;111.9583823;152.773759;0.632143131
310;112.6564579;152.997469;0.58586677
312;112.6318012;152.720934;0.662037216
314;114.0567002;152.644989;0.771032796
316;115.6020098;152.507238;0.71697829
318;116.4573295;151.817992;0.736119141
320;115.8431965;151.703874;0.673076973
322;116.6766705;151.651335;0.668007731
324;116.7758458;151.269632;0.838973676
326;116.8892274;151.322411;0.700949259
328;117.4228503;151.254877;0.814575516
330;117.6375423;150.971631;0.797278875
332;119.1730687;151.026823;0.806351242
334;120.6983801;150.743798;0.686439702
336;122.2027584;150.453457;0.652091764
338;123.8183716;150.238926;0.784675423
340;124.7893439;149.901846;0.661602341
342;122.1674858;149.831078;0.688461216
344;121.5175123;149.735598;0.632557849
346;122.4817427;149.356221;0.667831663
348;125.1065648;149.325465;0.699702285
350;124.7944514;149.212226;0.552895649
