Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Synthetic carpet "Varia" to plywood;;;;IN16-5;Floor composite;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-08 15:22:58
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;197;149.52;74.88;;;128.34;43.69;15.14;;590.91;;75.48;0.008836;Transient flashes at 173s and 182s. Start of intermittent spalling: 247s;2011-10-05;ISO 5660-1_BREG_IN16-5_25a;26;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
0;0;128.34;0
2;0.248394145;128.385968;0.458045992
4;0.881555746;128.434309;0.091626349
6;0.230339944;128.615217;0.075603234
8;-0.370485699;128.619403;0.090590079
10;0.805365659;128.595906;0
12;2.062169311;128.40499;0.015504901
14;1.122467844;128.40663;0.019654642
16;1.02508377;128.318922;0.021768055
18;3.019622124;128.410561;0
20;1.89088032;128.406163;0
22;2.116926436;128.554247;0
24;2.27768425;128.553036;0.024361934
26;0.983316398;128.473975;0.066384144
28;0.337032743;128.457243;4.62E-05
30;1.209816557;128.326486;0
32;-0.327273251;128.395919;0.019260571
34;-0.151562612;128.329642;0.008887513
36;1.008319486;128.394701;0
38;1.018674607;128.402105;0
40;0.322350988;128.443435;0
42;2.257052157;128.470423;0
44;1.19376445;128.476342;0.01353247
46;1.493528037;128.474642;0.070589302
48;1.876318567;128.46267;0.028217338
50;2.607271495;128.404765;0.000717385
52;1.433453359;128.322842;0
54;1.820671769;128.297736;0.030104796
56;0.653929079;128.38611;0.016642461
58;1.94443887;128.402555;0.031939611
60;-0.03609543;128.399735;0.024560754
62;1.230519853;128.400759;0.0478385
64;1.068838046;128.425331;0.058850229
66;1.024091794;128.392763;0.049652512
68;0.9078685;128.377053;0.130904972
70;2.258532228;128.405166;0.152117619
72;1.60647185;128.33316;0.066915545
74;1.954693816;128.208983;0.072257845
76;2.020713983;128.290215;0.113548261
78;1.693407281;128.240465;0.105337733
80;0.90414835;128.257849;0.141576663
82;2.490184784;128.262934;0.147462755
84;1.561394265;128.281617;0.091255999
86;0.300382588;128.215267;0.129630051
88;0.873205405;128.173856;0.142962991
90;0.962308064;128.178766;0.134707432
92;1.71870936;128.299576;0.112621396
94;0.005034046;128.334295;0.14043203
96;1.756930405;128.398386;0.127566563
98;3.696867147;128.352341;0.216901474
100;4.134499046;128.319047;0.237226342
102;3.364459437;128.320471;0.180960526
104;4.268299972;128.188321;0.172026019
106;4.59365062;128.158167;0.151061553
108;3.76067811;128.093982;0.17109101
110;4.086858573;128.109082;0.208107387
112;2.881213186;128.107219;0.191189508
114;2.914926198;128.099296;0.155008537
116;1.894513274;128.180778;0.149342923
118;2.982275132;128.17966;0.16934454
120;1.937838882;128.177293;0.143842753
122;1.164066518;128.229511;0.166032075
124;2.137320944;128.326304;0.210483081
126;3.076495392;128.299865;0.219741026
128;3.180428426;128.177751;0.225651588
130;2.309976587;128.090038;0.127160815
132;2.334783371;128.109743;0.094734413
134;2.256502729;127.965269;0.179044651
136;3.445357024;127.961315;0.16282653
138;5.303800225;127.952955;0.133602225
140;1.931002273;128.01672;0.187635129
142;2.144772004;128.10113;0.132773077
144;4.023268984;128.081717;0.096603575
146;0.39385117;128.110222;0.157697492
