Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Synthetic rubber;Glue;Plywood;;IN16-6;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 08:51:36
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;184;217.33;36.21;;;149.65;30.81;10.57;;1136.40;;60.22;0.0088;Projection of particles. Intumescence after ignition. End flame at 463s.
;2011-09-14;c_LSFIRE_IN-16-6_20a;15.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.138475478;149.65;0
3;4.208693491;149.5696246;0
5;4.821514661;149.5961317;0
7;5.184360304;149.5864156;0
9;5.028949131;149.5923501;0
11;4.710465665;149.7064684;0
13;4.136114114;149.6529258;0
15;3.058954072;149.4632377;0
17;2.530540856;149.5546315;0
19;2.065374647;149.5951526;0
21;1.657358549;149.6170974;0
23;1.23248741;149.9054662;0
25;0.86360457;149.7527866;0
27;0.60739046;149.7387642;0
29;0.532671805;149.6825643;0
31;0.570116843;149.7092014;0
33;0.493516489;149.6376466;0
35;0.515705684;149.6308086;0
37;0.230177014;149.640131;0
39;0.00373954;149.7218359;0
41;-0.109386897;149.7084485;0
43;0.038701272;149.7078616;0
45;0.110498191;149.671757;0
47;-0.102830823;149.6510267;0
49;-0.102349526;149.6828954;0
51;-0.161087785;149.6765468;0
53;-0.195374923;149.7346384;0
55;-0.202266743;149.8167375;0
57;0.102912619;149.7135495;0
59;0.247269495;149.704413;0
61;0.03611903;149.6230042;0
63;0.04804524;149.9467534;0
65;-0.199122522;149.832173;0
67;-0.202678491;149.9486927;0
69;-0.200558758;149.6724138;0
71;0.021564886;149.6425121;0
73;-0.001099021;149.7322773;0
75;-0.130272148;149.7952752;0
77;-0.021879054;149.708097;0
79;-0.200501947;149.7157432;0
81;-0.199616791;149.76106;0
83;-0.197748214;149.6433607;0
85;-0.127937192;149.6205678;0
87;-0.166602473;149.6621103;0
89;-0.200241347;149.6980698;0
91;-0.201224507;149.6797138;0
93;-0.200650812;149.8036238;0
95;-0.203409248;149.6863182;0.003440227
97;-0.163463007;149.5666039;0.003440227
99;0.197638719;149.6681278;0.006220565
101;0.157316559;149.6242042;0.008986473
103;-0.201936418;149.6222168;0.008986473
105;-0.175999222;149.6288412;0.005546246
107;-0.201339768;149.4842291;0.005546246
109;-0.200492219;150.0296583;0.008485492
111;-0.038060723;149.1673455;0.013312614
113;-0.006163649;149.5389382;0.017698262
115;-0.199071358;149.5332245;0.025465081
117;-0.200555768;149.6170547;0.029397562
119;-0.201448224;149.7141699;0.030991995
121;-0.20217;149.6187037;0.032419094
123;-0.198875211;149.5292221;0.036076923
125;-0.156713964;149.5486193;0.043271145
127;-0.201542629;149.571151;0.046858083
129;-0.198183049;149.5157312;0.056176897
131;0.025989046;149.5569354;0.0487348
133;0.470690975;149.367538;0.051780464
135;0.712422938;149.4939874;0.037578032
137;0.444746276;149.4916966;0.038125906
