Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
fabric, vandalize protected;foam;;;F1A-1-1;upholstery for passenger seats vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 09:58:19
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
15;85;145.31;5.31;;;32.18;3.91;11.58;;261.09;;31.64;0.0088;Shrinkage. End flame at 238s.
;2011-09-29;c_LSFIRE_F1A-1-1_15a;42.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;10.29360698;32.18;0.052122174
3;8.365070539;32.01280158;0.039299055
5;6.903909731;32.11609562;0.040520571
7;6.404952626;32.07841114;0.051783503
9;5.737405004;31.9615326;0.05961328
11;4.735248039;32.05529721;0.073919051
13;3.870605986;32.03659767;0.085341937
15;2.877821843;32.13308074;0.081539662
17;2.74938365;32.10196704;0.075985441
19;2.223953858;31.98902396;0.079709842
21;1.971159377;31.97728272;0.079933815
23;1.795455645;32.01801775;0.087883623
25;1.785733146;32.01669085;0.097992203
27;1.68741824;31.96258332;0.089965337
29;1.545023326;31.86533494;0.087844976
31;1.29051811;31.87997017;0.08962735
33;0.675100392;31.95143187;0.089044123
35;0.779672547;31.96603013;0.082241025
37;0.769457606;31.94588361;0.093929823
39;0.705993589;31.86398957;0.104224731
41;0.672775599;31.88218198;0.114886676
43;0.264140438;31.84330869;0.122667992
45;0.463116147;31.86271762;0.127144692
47;0.627619014;31.82169719;0.141938939
49;0.734462164;31.81029679;0.142928786
51;0.942680006;31.85625722;0.147329345
53;1.300143086;31.84635;0.146235726
55;1.420131808;31.86954658;0.149756611
57;1.714557339;31.84115182;0.150782684
59;1.408873112;31.82427756;0.152640779
61;0.890864187;31.82754933;0.153117605
63;0.791057921;31.81022288;0.167789234
65;1.185402273;31.75733187;0.186895556
67;1.177002627;31.76496261;0.193968472
69;1.200689669;31.6721753;0.217113796
71;1.183494932;31.7167996;0.264516328
73;1.345548234;31.76387542;0.310960866
75;1.430099386;31.65383508;0.392769945
77;1.09336493;31.65775207;0.525410106
79;0.973649087;31.67560364;0.62443531
81;0.655961281;31.62794727;0.717565121
83;0.629312035;31.62900674;0.750418358
85;4.374132419;31.62320079;0.807293736
87;31.37658621;31.5935895;0.856695586
89;70.23164797;31.34691162;0.91343867
91;105.4409647;31.29699774;0.963919657
93;130.4446773;31.26284273;1.052758923
95;144.5152021;30.93407729;1.069852417
97;145.3088361;30.77456504;1.132104042
99;140.289466;30.75021612;1.094008901
101;134.4642077;30.98468307;1.027466472
103;128.8792369;30.5265238;0.989790952
105;120.3845899;30.31652587;0.956590739
107;112.2085067;30.42050158;0.81389207
109;97.76684925;30.19224658;0.787983756
111;88.95561641;30.17492061;0.783003049
113;81.4114007;30.0481723;0.803807565
115;74.76086932;30.06148014;0.803073509
117;70.6169924;30.02584118;0.793003238
119;62.36890303;29.92067666;0.738550186
121;54.89089057;30.00898491;0.666433141
123;49.08913664;29.81492187;0.596441281
125;41.29537464;29.77101669;0.525040657
127;35.9154899;29.80816681;0.43937466
129;32.31816003;29.74547895;0.394290872
131;28.77701708;29.82847914;0.369225446
133;26.08403467;29.71937915;0.317904841
135;24.26924258;29.71134242;0.27217144
137;21.84837475;29.71549863;0.282877911
139;19.82816419;29.74557085;0.273292954
141;18.33115225;29.71113043;0.25712602
143;17.00771678;29.66999865;0.227230061
145;15.72057856;29.59504443;0.220781151
147;14.91397208;29.61555951;0.193798429
149;13.78981786;29.76391107;0.193267584
151;13.21311291;29.61160606;0.195552117
153;12.51369157;29.51104944;0.199365239
155;11.91978458;29.58163546;0.204789429
157;10.80679112;29.61110865;0.206118351
159;10.20803362;29.57619806;0.208562894
161;9.733831724;29.53667955;0.198240634
163;8.942423769;29.53168413;0.186260571
165;8.529408094;29.45018588;0.174906405
167;8.056202619;29.51799801;0.159018757
169;7.884519023;29.47847999;0.14118238
171;7.931331487;29.520045;0.133622798
173;7.371231277;29.50442372;0.135293979
175;6.969502062;29.48432338;0.137037709
177;6.944330662;29.48916127;0.139746114
179;7.143364509;29.47780658;0.137974105
181;7.09534285;29.44163375;0.138666602
183;6.794974542;29.41575518;0.127009309
185;6.374052012;29.45199267;0.119115052
187;5.964505441;29.39548905;0.103061744
189;5.93764224;29.43501679;0.113128102
191;5.762316386;29.45106205;0.112996001
193;5.338808276;29.36244894;0.121401234
195;5.279879727;29.38616237;0.114096199
197;5.449235434;29.40720257;0.12487694
199;5.441544935;29.33435904;0.116488016
201;5.707779217;29.36225639;0.117057655
203;4.920133776;29.34977804;0.10799682
205;4.967995638;29.39125018;0.106076413
207;4.965828352;29.38846706;0.121884735
209;4.880318306;29.29711702;0.122476324
211;4.680092409;29.29309841;0.116528022
213;4.28339222;29.27052856;0.124866303
215;4.241483341;29.35156539;0.134997296
217;4.135357856;29.27793807;0.131877361
219;4.112476794;29.248778;0.135713177
221;3.529683696;29.29247167;0.143501357
223;3.538043891;29.24157076;0.143186321
225;3.746135405;29.47653463;0.144535591
227;3.503215486;29.30859035;0.149480666
229;3.16379618;29.18887326;0.153296988
231;3.312100311;29.24417009;0.150712693
233;3.21586739;29.29567878;0.150171056
235;3.237955914;29.46498739;0.182477408
237;2.94413624;29.21688099;0.221039326
239;2.150422401;29.33316974;0.233002336
241;2.205816024;29.23191297;0.265932717
243;2.311247154;29.4049081;0.296699876
245;2.543613134;29.2271485;0.292203587
247;2.048373273;29.0784561;0.273828591
249;1.949477891;29.19383222;0.28133926
251;1.785531844;29.19381326;0.26423396
253;1.944105861;29.16599953;0.244871142
255;1.553571592;29.15911514;0.236510157
257;1.451918217;29.08060374;0.219308825
259;1.262172931;29.1081233;0.215588929
261;1.136469742;29.10279627;0.210050519
263;1.140196134;29.16287605;0.223011225
265;1.078583638;29.11391953;0.223763231
267;0.826980457;29.10742217;0.235896524
269;0.867200423;29.107146;0.242682388
271;0.922591605;29.15249817;0.246613928
273;0.819471535;29.12315431;0.2498175
275;0.723406805;29.03581364;0.249780639
277;0.451164879;29.04230175;0.240571352
279;0.52572349;29.12382772;0.227002071
281;0.687906963;29.09477802;0.235443575
283;0.716104845;29.04517726;0.229283511
285;0.391198897;29.02335376;0.226171759
287;0.4387718;28.97331929;0.226887031
289;0.411656295;29.03397086;0.219622412
291;0.560090185;29.05925041;0.20865089
293;0.447023936;28.94541318;0.191980394
295;0.327847912;28.93004085;0.186012044
297;0.197053734;29.01619271;0.182139092
299;0.3689416;28.99210246;0.173743936
301;0.366663962;29.00133675;0.17597652
303;0.091454996;28.95486919;0.189864761
305;0.077633465;28.93850156;0.195123788
307;-0.003600651;28.94889695;0.172860016
309;0.373168003;28.97986333;0.172463061
311;0.272360375;28.89544387;0.168633385
313;0.028005114;28.81650848;0.15003655
315;-0.073936446;28.83617511;0.140979837
317;0.0480021;28.96867443;0.147381535
319;0.107266741;28.96385502;0.150824102
321;-0.022833131;28.89951742;0.154274793
323;-0.257855752;28.87978564;0.156909373
325;-0.098335048;28.92519372;0.144669587
327;0.06337125;28.9600766;0.150710307
329;-0.183409597;28.9559204;0.158128042
331;-0.192579523;28.91649427;0.148251224
