Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
fabric, vandalize protected;foam;;;F1A-1-1;upholstery for passenger seats vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 10:07:49
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;54;186.98;10.29;;;32.71;6.68;13.68;;368.53;;46.83;0.0088;Shrinkage. End flame at 259s.
;2011-09-15;c_LSFIRE_F1A-1-1_20b;42.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.830209049;32.71;0
3;5.315022946;32.47000672;0
5;5.436447247;32.63780876;0
7;5.990621934;32.75013521;0
9;5.872864045;32.60640371;0
11;5.694490074;32.6441656;0
13;4.61440388;32.58513706;0.00398646
15;3.397415746;32.418136;0.010364629
17;2.31061194;32.37220366;0.010364629
19;1.991123575;32.51620313;0.02038374
21;1.949005363;32.49202239;0.022538155
23;1.83768501;32.53019836;0.022500187
25;1.644243289;32.3486972;0.016927485
27;0.964849472;32.47032614;0.025819768
29;0.839776703;32.57928509;0.022250229
31;1.056012421;32.426121;0.04400965
33;1.033344681;32.3549987;0.065716606
35;0.933500658;32.32052178;0.08750424
37;0.628483194;32.23469453;0.1132699
39;0.782646275;32.30636538;0.158301756
41;0.923312053;32.35040061;0.171024368
43;1.072307951;32.31440572;0.17271927
45;0.665851876;32.27747199;0.207907206
47;0.803850531;32.32320335;0.259404022
49;1.025843207;32.29766241;0.353460074
51;1.033860435;32.23462366;0.491328875
53;-7.998468223;32.25438786;0.544104407
55;-1.832381628;32.15420664;0.596845061
57;46.35876421;32.06621433;0.69237954
59;112.9920264;31.9325858;0.729176705
61;157.8831046;31.72415922;0.739115625
63;174.8423312;31.39622946;0.856765959
