Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Plywood (birch);;;;(M23);;;ISO 5660;SBI Project;C990325_m23;;1;2003-08-12 10:50:27
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;22;407;130.02;130.96;142.70;12.1;57.68;NA;NA;376.35;0.0088;12;650
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 1.7; 3; 0.0001
5; 0.1; 2; 0.0001
10; 0.0; 14; 0.0003
15; 0.0; 35; 0.0007
20; 6.1; 140; 0.0028
25; 92.3; 247; 0.0049
30; 174.7; 510; 0.0102
35; 195.8; 628; 0.0126
40; 199.1; 679; 0.0136
45; 198.9; 855; 0.0171
50; 211.6; 935; 0.0187
55; 217.7; 761; 0.0152
60; 199.5; 722; 0.0144
65; 171.8; 522; 0.0104
70; 152.6; 402; 0.0080
75; 146.3; 377; 0.0075
80; 140.7; 413; 0.0083
85; 133.0; 417; 0.0083
90; 134.5; 339; 0.0068
95; 136.6; 259; 0.0052
100; 135.1; 233; 0.0047
105; 130.9; 271; 0.0054
110; 126.0; 220; 0.0044
115; 119.6; 223; 0.0045
120; 113.6; 209; 0.0042
125; 108.5; 171; 0.0034
130; 104.7; 159; 0.0032
135; 102.3; 121; 0.0024
140; 100.9; 80; 0.0016
145; 98.6; 49; 0.0010
150; 95.8; 52; 0.0010
155; 94.5; 44; 0.0009
160; 93.7; 50; 0.0010
165; 92.0; 55; 0.0011
170; 92.3; 57; 0.0011
175; 93.3; 97; 0.0019
180; 93.9; 129; 0.0026
185; 95.1; 120; 0.0024
190; 97.7; 149; 0.0030
195; 103.1; 155; 0.0031
200; 107.2; 164; 0.0033
205; 113.4; 171; 0.0034
210; 118.7; 191; 0.0038
215; 124.5; 209; 0.0042
220; 127.9; 238; 0.0048
225; 134.9; 246; 0.0049
230; 139.6; 241; 0.0048
235; 144.5; 286; 0.0057
240; 145.7; 328; 0.0066
245; 145.7; 324; 0.0065
250; 146.1; 380; 0.0076
255; 144.6; 421; 0.0084
260; 142.7; 424; 0.0085
265; 138.8; 434; 0.0087
270; 137.6; 406; 0.0081
275; 136.4; 398; 0.0080
280; 139.6; 424; 0.0085
285; 143.6; 428; 0.0086
290; 148.7; 451; 0.0090
295; 160.5; 578; 0.0116
300; 174.5; 646; 0.0129
305; 194.1; 762; 0.0152
310; 217.9; 863; 0.0173
315; 247.6; 872; 0.0175
320; 280.7; 935; 0.0187
325; 311.5; 1176; 0.0235
330; 332.1; 1303; 0.0261
335; 340.2; 1301; 0.0260
340; 358.6; 1335; 0.0267
345; 380.8; 1330; 0.0266
350; 396.8; 1483; 0.0297
355; 402.3; 1676; 0.0335
360; 407.2; 1772; 0.0354
365; 405.3; 1797; 0.0359
370; 394.4; 1957; 0.0391
375; 334.0; 2039; 0.0408
380; 248.5; 1377; 0.0275
385; 190.8; 704; 0.0141
390; 154.3; 345; 0.0069
395; 127.6; 101; 0.0020
400; 108.9; 15; 0.0003
405; 96.9; 42; 0.0008
410; 88.2; 39; 0.0008
415; 81.0; 36; 0.0007
420; 76.5; 47; 0.0009
425; 72.1; 41; 0.0008
430; 69.2; 61; 0.0012
435; 66.9; 72; 0.0014
440; 64.4; 95; 0.0019
445; 63.2; 163; 0.0033
450; 61.6; 212; 0.0042
455; 60.8; 204; 0.0041
460; 59.3; 215; 0.0043
465; 58.0; 177; 0.0035
470; 57.9; 135; 0.0027
475; 56.5; 99; 0.0020
480; 56.7; 75; 0.0015
485; 55.6; 53; 0.0011
490; 54.7; 51; 0.0010
495; 53.9; 62; 0.0012
500; 53.7; 84; 0.0017
505; 53.2; 82; 0.0016
510; 52.1; 116; 0.0023
515; 51.4; 95; 0.0019
520; 51.5; 99; 0.0020
525; 51.4; 87; 0.0017
530; 51.4; 100; 0.0020
535; 51.1; 96; 0.0019
540; 49.9; 91; 0.0018
545; 50.4; 86; 0.0017
550; 49.3; 93; 0.0019
555; 49.6; 88; 0.0018
560; 48.6; 95; 0.0019
565; 48.5; 103; 0.0021
570; 49.2; 109; 0.0022
575; 49.3; 91; 0.0018
580; 49.1; 100; 0.0020
585; 48.6; 99; 0.0020
590; 48.2; 79; 0.0016
595; 47.6; 102; 0.0020
600; 47.8; 94; 0.0019
605; 48.3; 107; 0.0021
610; 47.2; 98; 0.0020
615; 47.1; 112; 0.0022
620; 47.6; 96; 0.0019
625; 45.9; 83; 0.0017
630; 46.3; 123; 0.0025
635; 46.5; 114; 0.0023
640; 46.3; 114; 0.0023
645; 46.1; 104; 0.0021
650; 45.9; 81; 0.0016
655; 45.5; 84; 0.0017
660; 45.3; 80; 0.0016
665; 45.1; 85; 0.0017
670; 44.7; 100; 0.0020
675; 44.8; 97; 0.0019
680; 45.1; 107; 0.0021
685; 44.5; 109; 0.0022
690; 44.9; 126; 0.0025
695; 44.3; 81; 0.0016
700; 44.2; 79; 0.0016
705; 43.9; 92; 0.0018
710; 44.7; 89; 0.0018
715; 44.4; 110; 0.0022
720; 43.8; 91; 0.0018
725; 44.0; 110; 0.0022
730; 44.0; 86; 0.0017
735; 44.4; 80; 0.0016
740; 43.8; 82; 0.0016
745; 43.6; 84; 0.0017
750; 43.6; 87; 0.0017
755; 43.5; 82; 0.0016
760; 43.3; 67; 0.0013
765; 43.9; 77; 0.0015
770; 42.9; 81; 0.0016
775; 43.1; 79; 0.0016
780; 42.5; 87; 0.0017
785; 42.7; 88; 0.0018
