Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
fabric, vandalize protected;foam;;;F1A-1-1;upholstery for passenger seats vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 10:10:38
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;56;166.83;7.64;;;33.21;5.61;11.74;;151.66;;41.58;0.0088;Shrinkage. End flame at 263s.
;2011-09-15;c_LSFIRE_F1A-1-1_20c;42.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.006943791;33.21;0
3;5.071586095;33.23076533;0
5;4.130438548;33.20378895;0
7;3.300392319;33.10214558;0
9;3.240021179;33.25644122;0
11;3.14083058;33.21026083;0
13;2.880925284;33.02779413;0
15;2.594876662;32.88502186;0
17;1.820460983;33.0065872;0
19;1.361056502;33.17381642;0
21;1.289259731;33.21937739;0
23;1.099692713;33.01299404;0
25;1.545167243;33.00521729;0
27;1.719655697;32.96958114;0.00602674
29;1.558393524;32.91820362;0.006897168
31;1.113629185;32.91706429;0.01040414
33;1.295328847;32.99777695;0.023851315
35;1.204350021;32.94849702;0.039860985
37;1.074552444;32.88687866;0.061658248
39;1.188969319;32.87914949;0.083402024
41;1.190861459;32.91699391;0.111038596
43;1.284020819;32.94512176;0.118952882
45;1.498270591;32.89936273;0.14389326
47;1.973188151;32.87851453;0.176641275
49;2.434871289;32.82740061;0.30558688
51;2.549937769;32.78056536;0.434272012
53;2.275739212;32.6507388;0.645390648
55;-1.498330303;32.8406706;0.655127699
57;11.18683411;32.74703942;0.713066612
59;60.95349927;32.64685917;0.794033662
61;118.43735;32.65566456;0.828597375
63;151.9356086;32.36202676;0.763929725
65;164.0822862;32.13452676;0.839123979
67;166.8294585;32.3024657;0.835448677
