Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Protection layer;Foam;;F1A-1-2;Upholstery for seat, vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 10:33:50
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
15;140;100.52;3.36;;;35.26;5.35;4.83;;163.77;;13.22;0.0088;End flame at 288s.
;2011-09-29;c_LSFIRE_F1A-1-2_15a;32.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;6.392881258;35.26;0.014736369
3;7.186247282;35.13879168;0.022085984
5;7.278746493;35.04643857;0.04715938
7;7.656015466;35.23043491;0.070000521
9;7.547662989;35.23021368;0.089591011
11;6.482771635;35.21466582;0.107619809
13;5.099656163;35.13560256;0.111417619
15;3.706746197;35.16070707;0.098288427
17;3.105136848;35.23763145;0.096742804
19;0.615244699;35.13884614;0.090094517
21;4.001652486;35.08871053;0.084060332
23;3.774187534;35.08670196;0.085786995
25;4.861516266;35.08301641;0.08642102
27;5.178324902;35.10102503;0.075644725
29;3.8246876;35.00718797;0.068544804
31;2.893713034;35.00834955;0.06579342
33;2.788477516;35.07194761;0.067815392
35;2.679329542;34.99157545;0.069782325
37;2.567915564;34.92772698;0.090099225
39;2.685929505;34.9341412;0.100913011
41;2.46376591;34.95433391;0.117373556
43;2.634896547;34.98058104;0.130471207
45;2.929925379;34.88930588;0.1465027
47;2.847195789;34.86617445;0.14611277
49;2.757442554;34.83236125;0.167666694
51;2.480970097;34.86927118;0.175773318
53;2.563223869;34.84028664;0.190871572
55;2.550554147;34.82741202;0.227402126
57;2.52943797;34.7396566;0.25395039
59;2.148811288;34.66348683;0.263466519
61;2.553269457;34.81230565;0.270049522
63;3.010198188;34.93960582;0.281821324
65;2.858244023;34.72533499;0.291411755
67;2.636875425;34.69830505;0.298089293
69;2.460499708;34.70157731;0.321852082
71;2.172777593;34.78045629;0.362880689
73;2.21345563;34.81272136;0.391427852
75;2.28264624;34.64953426;0.431339515
77;2.105174271;34.63105596;0.463668447
79;2.013448425;34.63260408;0.503520842
81;1.732358504;34.66624224;0.558876929
83;2.050826931;34.6416079;0.591023609
85;1.96409851;34.62226413;0.596194581
87;1.784280565;34.57549365;0.609602137
89;2.334821242;34.24441041;0.65813867
91;2.858631978;34.67848186;0.639556984
93;3.158809133;34.57314327;0.653886682
95;3.223596037;34.51602311;0.688063773
97;2.946937914;34.39052001;0.712017979
99;2.69625521;34.4367746;0.689464962
101;2.49566021;34.4342589;0.727549681
103;2.554866905;34.42590904;0.753047716
105;2.620722583;34.39052925;0.718825291
107;2.955416139;34.33714132;0.738207037
109;2.931604115;34.34758289;0.730482164
111;2.870240745;34.31342788;0.729122163
113;2.880607588;34.32688402;0.718279648
115;2.941206883;34.35374816;0.801510998
117;3.003154823;34.25783786;0.811040007
119;3.329374032;34.22074414;0.871128176
121;3.572183294;34.16057247;0.949535237
123;3.920363807;34.11099067;1.025817292
125;4.339693723;34.18016568;0.996902022
127;4.189650094;34.17377869;1.063089554
129;3.969853326;33.98145097;1.117488451
131;3.257742153;33.97885212;1.096799056
133;2.587030077;34.06877219;1.144237778
135;3.528420741;34.27889605;1.14260764
137;4.53436872;33.8213888;1.097211152
139;5.506829254;33.91063643;0.85868846
141;7.957148904;33.93365748;0.716749935
143;20.06250045;33.89778855;0.632746733
145;44.48877322;33.81277152;0.57217979
147;76.06935447;33.66192469;0.444699949
149;100.5228509;33.50896765;0.508894884
151;99.35722104;33.33621417;0.513340027
153;84.29534453;33.24219333;0.391200385
155;66.07646568;33.19552399;0.35308794
157;51.23985133;33.10851637;0.32549019
159;41.48092488;32.94741224;0.30429008
161;34.11818437;32.9394499;0.269081273
163;29.24171425;32.8744773;0.246575083
165;28.61123383;32.85656155;0.185021249
167;27.8648386;32.77426346;0.17081114
169;27.89317177;32.82258255;0.124289012
171;28.20969793;32.8110533;0.098536712
173;27.56697871;32.68760545;0.087727178
175;27.52915403;32.70800043;0.094093964
177;27.86670379;32.53196642;0.100516301
179;27.64613499;32.6640583;0.106429967
181;27.36133918;32.64070564;0.09346097
183;25.95705858;32.53134017;0.073624691
185;24.56599065;32.42172576;0.075751452
187;23.05031899;32.49642082;0.064161453
189;21.46539378;32.46465364;0.063277055
191;19.35084531;32.41667491;0.059604389
193;17.99894391;32.30940165;0.056108443
195;17.10238886;32.35717714;0.047663807
197;15.55435237;32.38158976;0.0508699
199;14.6408939;32.39395774;0.050334298
201;13.88862817;32.3094386;0.062569827
203;12.30639192;32.22524134;0.078932033
205;11.03759984;32.29511699;0.077891195
207;10.03179611;32.29455444;0.077769942
209;9.127138916;32.22983077;0.082490768
211;8.411768294;32.29170664;0.082219878
213;7.47892732;32.16422268;0.078954653
215;6.815051787;32.2015104;0.077030037
217;6.941348478;32.24421657;0.078244618
219;6.597044626;32.10565505;0.081147237
221;6.032896714;32.10130484;0.088704149
223;5.439457301;32.0497237;0.094749641
225;5.041211516;32.07016488;0.112207289
227;4.346060598;32.10615294;0.125604905
229;3.9132529;32.01771681;0.136588948
231;3.557899622;31.99984677;0.146173137
233;3.134870872;32.07606273;0.133311439
235;2.750402594;32.02165179;0.129212074
237;2.979016912;32.04290349;0.13688726
239;2.653770148;32.02552259;0.12815341
241;2.543394952;31.92704067;0.124215621
243;2.808675075;31.96179422;0.120584787
245;3.164695858;31.95306657;0.124240238
247;3.23257032;31.93691094;0.120361027
249;2.79596227;31.86473158;0.129232526
251;2.723085752;31.91229508;0.125257463
253;2.552316087;31.87827913;0.151847407
255;2.561202541;31.9420532;0.169461791
257;2.394268344;31.84088978;0.172701894
259;2.267564476;31.74795612;0.168916233
261;2.082185193;31.84715619;0.168507366
263;2.009526154;31.80690106;0.151280025
265;1.644283556;31.75054622;0.129076518
267;1.242900614;31.72418823;0.114924376
269;1.402146754;31.75513565;0.09647811
271;1.687753292;31.78888418;0.095046883
273;2.036033702;31.75968812;0.103595814
275;1.771746087;31.70267834;0.101764238
277;1.694033577;31.74306232;0.098412608
279;1.612980334;31.77188058;0.110734042
281;1.572487988;31.66774052;0.116026096
283;1.410850595;31.65012914;0.112275579
285;1.099207058;31.59660313;0.125104022
287;0.990160131;31.67689215;0.129033514
289;1.367320839;31.83304705;0.139387478
291;1.277582666;31.6274392;0.146896283
