Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
FR polycarbonate;;;;3 layered panel (M07);;;ISO 5660;SBI Project;C000401_m7;;1;2003-08-12 11:02:47
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;81;472;62.36;243.25;163.50;25.1;19.91;NA;NA;748.04;0.0088;16;175
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 0.2; 0; 0.0000
5; 0.0; 0; 0.0000
10; 0.0; 0; 0.0000
15; 0.0; 0; 0.0000
20; 0.0; 0; 0.0000
25; 0.0; 0; 0.0000
30; 0.0; 77; 0.0005
35; 0.0; 131; 0.0006
40; 0.0; 398; 0.0014
45; 0.0; 294; 0.0015
50; 0.0; 688; 0.0022
55; 0.0; 931; 0.0031
60; 0.0; 608; 0.0044
65; 0.0; 716; 0.0055
70; 0.0; 1566; 0.0081
75; 0.0; 1898; 0.0093
80; 6.8; 382; 0.0102
85; 77.9; 876; 0.0607
90; 187.3; 917; 0.1117
95; 262.4; 912; 0.1406
100; 310.4; 944; 0.1589
105; 355.2; 955; 0.1785
110; 385.5; 966; 0.1868
115; 400.5; 896; 0.1743
120; 405.7; 896; 0.1772
125; 414.5; 922; 0.1868
130; 427.0; 850; 0.1800
135; 446.1; 938; 0.2076
140; 459.2; 872; 0.1942
145; 471.7; 885; 0.1963
150; 449.2; 951; 0.1960
155; 415.4; 960; 0.1760
160; 384.2; 972; 0.1747
165; 367.4; 1055; 0.1759
170; 341.7; 1062; 0.1598
175; 316.6; 1007; 0.1453
180; 284.5; 1048; 0.1309
185; 246.3; 1050; 0.1016
190; 204.1; 906; 0.0669
195; 160.2; 881; 0.0484
200; 131.9; 1514; 0.0422
205; 110.9; 971; 0.0336
210; 94.7; 577; 0.0253
215; 84.9; 842; 0.0230
220; 78.6; 733; 0.0194
225; 71.9; 617; 0.0160
230; 66.7; 583; 0.0137
235; 64.7; 565; 0.0119
240; 62.9; 506; 0.0111
245; 61.4; 400; 0.0080
250; 59.6; 406; 0.0075
255; 56.7; 333; 0.0060
260; 53.0; 246; 0.0042
265; 50.2; 154; 0.0027
270; 49.2; 181; 0.0032
275; 48.2; 141; 0.0030
280; 48.0; 202; 0.0029
285; 47.7; 135; 0.0022
290; 47.0; 71; 0.0013
295; 45.7; 103; 0.0014
300; 44.9; 95; 0.0015
305; 44.7; 97; 0.0017
310; 44.5; 99; 0.0013
315; 43.3; 53; 0.0009
320; 43.3; 49; 0.0009
325; 43.6; 23; 0.0003
330; 42.7; 22; 0.0003
335; 42.7; 5; 0.0001
340; 42.3; 0; 0.0000
345; 41.9; 53; 0.0007
350; 42.1; 15; 0.0002
355; 42.4; 0; 0.0000
360; 41.5; 17; 0.0003
365; 40.9; 0; 0.0000
370; 41.2; 29; 0.0003
375; 40.2; 5; 0.0001
380; 40.2; 0; 0.0000
385; 40.2; 0; 0.0000
390; 39.8; 5; 0.0001
395; 39.6; 0; 0.0000
400; 39.4; 0; 0.0000
405; 39.0; 0; 0.0000
410; 38.8; 0; 0.0000
415; 38.7; 16; 0.0002
420; 38.7; 0; 0.0000
425; 37.8; 14; 0.0002
430; 37.7; 0; 0.0000
435; 38.5; 23; 0.0003
440; 38.2; 1; 0.0000
445; 37.8; 0; 0.0000
450; 37.9; 0; 0.0000
455; 37.7; 0; 0.0000
460; 37.1; 0; 0.0000
465; 36.7; 0; 0.0000
470; 35.7; 0; 0.0000
475; 35.4; 0; 0.0000
480; 35.2; 0; 0.0000
485; 35.6; 0; 0.0000
490; 35.7; 0; 0.0000
495; 35.0; 0; 0.0000
500; 34.0; 10; 0.0001
505; 33.9; 34; 0.0003
510; 34.0; 37; 0.0005
515; 33.4; 33; 0.0005
520; 32.9; 0; 0.0000
525; 33.0; 15; 0.0002
530; 32.8; 58; 0.0008
535; 32.5; 44; 0.0005
540; 31.4; 77; 0.0009
545; 31.6; 61; 0.0009
550; 30.8; 66; 0.0006
555; 30.0; 136; 0.0013
560; 29.9; 123; 0.0018
565; 29.6; 88; 0.0008
570; 29.7; 110; 0.0013
575; 29.5; 114; 0.0014
580; 29.0; 82; 0.0009
585; 28.3; 26; 0.0004
590; 27.8; 130; 0.0010
595; 27.2; 92; 0.0011
600; 27.0; 98; 0.0013
605; 26.4; 121; 0.0010
610; 26.8; 84; 0.0007
615; 26.5; 125; 0.0013
620; 25.5; 130; 0.0010
625; 25.3; 85; 0.0010
630; 24.5; 59; 0.0008
635; 24.9; 107; 0.0007
640; 25.0; 45; 0.0004
645; 23.8; 28; 0.0003
650; 23.2; 44; 0.0004
655; 22.8; 27; 0.0002
660; 22.3; 0; 0.0000
665; 22.1; 0; 0.0000
670; 21.2; 36; 0.0003
675; 21.4; 4; 0.0000
680; 20.9; 0; 0.0000
685; 20.3; 0; 0.0000
690; 20.6; 109; 0.0010
695; 20.1; 78; 0.0006
700; 19.3; 88; 0.0009
705; 19.3; 44; 0.0003
710; 19.3; 63; 0.0005
715; 18.9; 42; 0.0005
720; 17.7; 131; 0.0010
725; 16.9; 304; 0.0012
730; 16.3; 48; 0.0003
735; 16.8; 55; 0.0005
740; 17.0; 115; 0.0010
745; 15.7; 74; 0.0005
750; 15.3; 210; 0.0008
755; 15.5; 27; 0.0002
760; 14.4; 25; 0.0002
765; 13.9; 188; 0.0007
770; 13.9; 62; 0.0005
775; 13.2; 105; 0.0007
780; 13.0; 75; 0.0006
785; 12.4; 73; 0.0004
790; 12.5; 182; 0.0006
795; 12.0; 102; 0.0008
800; 11.3; 109; 0.0009
805; 11.4; 94; 0.0008
810; 11.1; 203; 0.0007
815; 10.6; 129; 0.0010
820; 10.5; 88; 0.0008
825; 10.8; 202; 0.0007
830; 10.6; 68; 0.0004
835; 10.3; 71; 0.0005
840; 10.2; 92; 0.0004
845; 10.2; 153; 0.0006
850; 9.7; 47; 0.0003
855; 9.2; 69; 0.0005
860; 9.0; 191; 0.0005
865; 9.2; 133; 0.0005
870; 8.6; 46; 0.0004
875; 8.8; 35; 0.0002
880; 8.6; 20; 0.0001
885; 8.6; 35; 0.0002
890; 8.2; 5; 0.0000
895; 8.2; 85; 0.0004
900; 7.7; 134; 0.0006
905; 7.0; 117; 0.0006
910; 7.7; 117; 0.0008
915; 7.5; 347; 0.0010
920; 6.8; 139; 0.0007
925; 7.2; 146; 0.0012
930; 6.7; 260; 0.0007
935; 6.3; 269; 0.0006
940; 7.1; 134; 0.0005
945; 7.3; 37; 0.0002
950; 7.0; 232; 0.0009
955; 6.5; 181; 0.0009
960; 5.5; 126; 0.0008
965; 6.4; 155; 0.0007
970; 5.5; 108; 0.0005
975; 4.7; 460; 0.0006
980; 4.7; 172; 0.0003
985; 4.3; 63; 0.0004
990; 4.8; 61; 0.0004
995; 4.2; 19; 0.0001
1000; 3.8; 369; 0.0011
1005; 4.0; 294; 0.0012
1010; 3.3; 132; 0.0006
1015; 3.3; 209; 0.0004
1020; 3.1; 230; 0.0008
1025; 2.9; 148; 0.0007
1030; 2.7; 0; 0.0008
1035; 2.5; 153; 0.0006
1040; 2.4; 68; 0.0003
1045; 2.3; 0; 0.0004
1050; 2.3; 93; 0.0006
1055; 2.0; 127; 0.0009
1060; 2.5; 49; 0.0001
1065; 1.7; 0; 0.0002
1070; 1.3; 191; 0.0008
1075; 1.2; 54; 0.0002
1080; 1.1; 25; 0.0001
1085; 1.3; 48; 0.0003
1090; 1.1; 165; 0.0005
1095; 0.8; 3; 0.0000
1100; 0.7; 136; 0.0004
1105; 0.0; 25; 0.0000
1110; 0.0; 137; 0.0005
1115; 0.1; 161; 0.0005
1120; 0.0; 0; 0.0003
1125; 0.0; 200; 0.0004
1130; 0.0; 166; 0.0004
1135; 0.0; 93; 0.0006
1140; 0.0; 131; 0.0005
1145; 0.0; 0; 0.0005
1150; 0.0; 0; 0.0006
1155; 0.0; 135; 0.0002
1160; 0.0; 167; 0.0006
1165; 0.0; 47; 0.0002
1170; 0.0; 182; 0.0004
1175; 0.0; 350; 0.0011
1180; 0.0; 185; 0.0004
1185; 0.0; 0; 0.0001
1190; 0.0; 222; 0.0007
1195; 0.0; 442; 0.0007
1200; 0.0; 0; 0.0010
1205; 0.0; 239; 0.0006
1210; 0.0; 210; 0.0006
1215; 0.0; 525; 0.0009
1220; 0.0; 116; 0.0007
