Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Protection layer;Foam;;F1A-1-2;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 11:58:06
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;59;91.22;2.99;;;35.92;8.53;3.01;;478.82;;15.39;0.0088;End flame at 90s.
;2011-09-15;c_LSFIRE_F1A-1-2_20b;32.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.259206875;35.92;0
3;3.987232596;35.55417242;0.001749652
5;4.515524293;35.98001932;0.016247751
7;4.469478129;35.92145438;0.024632719
9;4.349812005;35.94411666;0.027401426
11;3.729997959;35.94821135;0.045420875
13;3.195702844;35.87221911;0.081847912
15;2.549174662;35.6291894;0.114617453
17;2.12052081;35.81639594;0.161175697
19;1.923056102;35.72545215;0.207505772
21;2.26255865;35.80210653;0.239199078
23;2.237916707;35.75737081;0.2639287
25;2.788639768;35.70716029;0.288990372
27;3.072332999;35.62182868;0.354887738
29;2.837146394;35.61746748;0.410049097
31;2.613806382;35.57046815;0.478416568
33;2.685218156;35.68114847;0.504376224
35;2.517999921;35.56612541;0.545414869
37;2.159641686;35.40486612;0.544433628
39;2.091054747;35.48702344;0.546344076
41;2.206487912;35.53608347;0.583438461
43;2.599200809;35.45768102;0.610992404
45;2.985818051;35.43398767;0.651997693
47;3.43128856;35.35409444;0.684908037
49;3.394889855;35.38018878;0.741074621
51;3.587962235;35.36808919;0.745914839
53;3.520077092;35.37068386;0.799372064
55;3.560213889;35.28958529;0.811831984
57;0.71369811;35.25767586;0.682442759
59;-0.299539985;35.18234625;0.579987752
