Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Protection layer;Foam;;F1A-1-2;Upholstery for seat, vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 12:08:50
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;58;85.86;3.99;;;35.39;8.92;4.68;;460.07;;12.89;0.0088;End flame at 82s.
;2011-09-15;c_LSFIRE_F1A-1-2_20c;32.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.676624736;35.39;0.001938235
3;3.929859124;35.43049684;0.023643567
5;3.470356934;35.20796534;0.043434736
7;3.176331708;35.52654554;0.055509923
9;3.097518295;35.316484;0.071094935
11;2.954268068;35.43814157;0.094175953
13;2.993485583;35.35751193;0.113829268
15;2.378455144;35.25962101;0.133450674
17;1.905454884;35.41776038;0.180213171
19;1.611035624;35.47171558;0.249639554
21;1.524378695;35.30453975;0.28770283
23;1.482503464;35.24799036;0.341750236
25;1.659677397;35.17139132;0.38905459
27;1.611570737;35.10675353;0.422089675
29;1.38299151;35.06697706;0.406618043
31;1.40256385;35.10890694;0.410414863
33;1.467322814;35.10972539;0.404854108
35;1.801916289;35.0162146;0.438623759
37;2.075946726;35.01315099;0.438878464
39;2.219515385;34.97790125;0.475206684
41;2.008216181;34.95984871;0.544859602
43;1.724945078;35.04942161;0.576589321
45;1.875766006;34.92978881;0.570744807
47;2.059866671;34.86836171;0.608185805
49;2.162773243;34.85876505;0.65424271
51;2.149135626;34.915646;0.672701984
53;2.279108405;34.8461038;0.715833445
55;2.348133643;34.76635766;0.751125826
57;-1.688255851;34.82426968;0.630574062
59;0.525960696;34.80480063;0.550400617
61;32.92628186;34.63404662;0.446829028
63;71.27309432;34.48007525;0.304409713
65;85.85638251;34.29238181;0.167874985
67;75.66331372;34.23689893;0.18885432
69;58.29492823;34.25553158;0.152113561
71;42.18046367;34.20636039;0.150378616
73;30.63254233;34.16556256;0.193010557
75;22.21992317;34.09006741;0.343702764
77;17.39051158;34.02148154;0.515155995
79;12.84698713;34.00280375;0.660526421
81;10.46797671;33.99134833;0.810648098
83;8.093514868;33.96603604;0.994758539
85;6.547111927;33.93117319;1.080180867
87;5.553445294;33.94057616;1.221414192
89;4.688021115;33.77040177;1.428293428
91;4.24321028;33.69888141;1.611528324
93;3.627797038;33.74119722;1.71228218
95;2.818339453;33.74100401;1.935548559
97;2.824268031;33.6431228;2.125793426
99;2.956416807;33.56621988;2.184719309
101;2.664288608;33.52332446;2.266316587
103;2.456534049;33.43553604;2.395177657
105;2.285459401;33.41218395;2.482667342
107;2.084801485;33.39124255;2.433934296
109;1.97374548;33.32266638;2.658502195
111;2.296431647;33.21386326;2.74642902
113;1.998008713;33.15617212;2.843631059
115;2.100632565;33.15059635;2.824063413
117;1.994998151;33.00783185;2.851590069
119;1.69169704;33.03235336;2.908150407
121;1.62557836;33.01504597;2.873139574
123;1.80551619;32.92251965;2.879438206
125;1.805655293;32.8721436;2.912939266
127;1.992674965;32.80020916;2.892446022
129;1.525211274;32.770508;2.735176841
131;1.386594343;32.7078207;2.792106217
133;1.195485322;32.71112364;2.786163621
135;1.383040363;32.68376861;2.635582171
137;1.376489802;32.64237271;2.594106047
139;1.479421312;32.51939959;2.533254953
141;1.449486391;32.52288699;2.373643606
143;1.189780669;32.5174491;2.160631302
145;1.1751971;32.47689981;2.139089505
147;1.157130485;32.43602867;2.137218569
149;1.273419244;32.40217797;1.987535655
151;1.362008432;32.33377656;1.937659234
153;1.254247468;32.28590295;1.93766564
155;0.956075834;32.30069868;1.923914707
157;0.994112965;32.26821886;1.773813999
159;0.749777357;32.2199404;1.666739104
161;0.665428368;32.17762459;1.626896365
163;0.846038579;32.14611128;1.518387603
