Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;F1A-1-3;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 12:13:36
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
15;149;65.44;6.57;;;42.19;5.37;9.92;;211.28;;9.86;0.0088;Flashing from 143s. End flame at 358s.
;2011-09-30;c_LSFIRE_F1A-1-3_15b;29.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;10.22076421;42.19;0
3;9.506182118;42.53378485;0
5;8.278347357;42.14703262;0.015391674
7;7.535151748;42.04715557;0.024644442
9;7.610045662;42.04639607;0.033760342
11;6.986991107;42.136222;0.041309912
13;5.841976496;42.09517851;0.070376293
15;4.770430251;42.08583763;0.098703704
17;4.47105559;42.09662825;0.091503683
19;4.185588684;42.12791769;0.100712173
21;3.735988225;42.041161;0.106612386
23;3.599348943;42.29904866;0.111758346
25;3.594387268;42.05680572;0.08477015
27;3.950638719;42.01109203;0.088269035
29;3.67088771;42.02141095;0.087826071
31;3.556164452;41.88596206;0.089991999
33;3.278455783;41.88324355;0.078558371
35;2.903765313;41.94279906;0.081062028
37;2.772863149;41.96044083;0.08293809
39;2.401551138;41.84847659;0.080334388
41;2.198032909;41.96228911;0.069604273
43;2.24412569;41.83698255;0.070406382
45;2.350684906;41.74843027;0.062040127
47;2.384511847;41.76515693;0.069078799
49;2.256991237;41.78024654;0.096236161
51;2.15148007;41.74088547;0.112274996
53;2.226177107;41.77236905;0.111750069
55;2.459777847;41.78079141;0.130792561
57;2.39621235;41.69809175;0.140336172
59;2.205877396;41.66241942;0.121402748
61;2.064847646;41.66572036;0.135070253
63;2.116680361;41.70606289;0.134064401
65;2.361833131;41.68381628;0.140821999
67;2.52059632;41.66136529;0.16060074
69;2.304063105;41.66135504;0.191590681
71;2.223809274;41.63075925;0.204448104
73;2.319462808;41.6453952;0.22067638
75;2.587102961;41.63035047;0.243330806
77;2.484762216;41.58549678;0.304713425
79;2.657271358;41.54824398;0.346102527
81;2.457923322;41.59172793;0.400148074
83;2.646424241;41.52753297;0.456913019
85;3.483260413;41.55466879;0.5437789
87;3.98962713;41.55491855;0.579892953
89;4.141246686;41.49503036;0.598431777
91;3.952209435;41.47934808;0.641063292
93;3.592916368;41.50274931;0.674752702
95;3.551615194;41.46752088;0.727040233
97;3.675573759;41.41495604;0.726058196
99;3.578102206;41.41956087;0.767171004
101;3.547907402;41.47620323;0.850187847
103;3.517241065;41.41018487;0.909617266
