Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;F1A-1-3;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 12:18:08
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;93;51.74;3.89;;;43.04;9.55;3.11;;199.95;;18.53;0.0088;Flashing from 82s. End flame at 277s.
;2011-09-15;c_LSFIRE_F1A-1-3_20a;29.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;7.787613158;43.04;0.035078009
3;7.597170704;42.9655539;0.046580065
5;7.57777204;42.99534778;0.067245109
7;6.680123059;42.99213562;0.090578872
9;5.45133345;42.9643767;0.149798576
11;4.26017101;43.04762821;0.206523109
13;3.380998669;43.38033859;0.25237531
15;2.645464645;42.77812745;0.299159287
17;2.325833398;42.92815123;0.355845363
19;2.46824741;42.88618446;0.39643281
21;2.58598085;42.89176993;0.463508768
23;2.279794557;42.76244871;0.496535362
25;2.162240403;42.80266645;0.536836608
27;1.986412516;42.78698819;0.560446898
29;1.981192938;42.7183761;0.574046979
31;2.386414992;42.65609561;0.568632658
33;2.493722315;42.57205332;0.578191036
35;2.39552444;42.58181503;0.604972823
37;2.2788887;42.79866642;0.604473859
39;2.162363746;42.49398923;0.600700025
41;2.448251935;42.48906541;0.608603925
43;2.409099556;42.56991593;0.59757826
45;2.792849491;42.4465365;0.60434643
47;2.690655101;42.46842596;0.656587354
49;2.485580767;42.46350505;0.707613446
51;2.408785391;42.4195606;0.722991498
53;2.455215992;42.30347102;0.798702791
55;2.76155833;42.31731043;0.868912198
57;3.172752113;42.29289911;0.8602251
59;3.190507105;42.27992524;0.931886778
61;2.7908556;42.32566388;1.014702508
63;3.158818023;42.25755665;1.04903476
65;3.32593272;42.38328998;1.061126527
67;3.411122685;42.31368419;1.156494807
69;3.211377822;42.25690422;1.177276293
71;4.003379769;42.18018479;1.200630117
73;3.775631315;42.26562709;1.289049423
75;3.879508604;42.1460671;1.356240109
77;3.824351232;42.15765067;1.523372348
79;3.585338668;42.06858456;1.707318096
81;3.92635744;42.07912929;1.916354212
83;4.03325068;42.03349114;2.021362514
85;3.937847378;42.01252255;2.043754897
87;4.96065017;41.9530746;2.049030562
89;5.380287142;41.91513018;1.833865531
91;5.265658792;41.94726049;1.392658766
93;9.341516299;41.90729081;1.068957679
95;22.84171091;41.83010197;0.820473823
97;37.64995296;41.78025068;0.437422173
99;48.02952163;41.59348686;0.232842254
101;50.55144853;41.61300204;0.25878753
103;51.74242238;41.45750298;0.230264138
105;49.79282273;41.36762668;0.219537668
107;48.29242543;41.30331073;0.251270239
109;48.20871535;41.20474942;0.29867303
111;47.80044944;41.14149271;0.336474904
113;49.04023852;40.85721419;0.361340699
115;50.00290566;40.83700872;0.418368472
117;51.67987628;40.84146263;0.458466619
