Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;F1A-1-3;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 12:22:33
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;96;41.94;9.01;;;42.79;9.54;8.53;;195.12;;17.85;0.0088;End flame at 322s.
;2011-09-15;c_LSFIRE_F1A-1-3_20c;29.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;4.292977506;42.79;0
3;4.845716995;42.66255598;0
5;5.052069099;42.68187843;0.020019092
7;5.51908459;42.68689448;0.052253531
9;5.283983307;42.66290695;0.08732613
11;4.719634911;42.7203947;0.146904146
13;4.126623252;42.70119263;0.190892291
15;3.074819238;42.647402;0.238185319
17;2.798244254;42.63599173;0.26558979
19;2.760422719;42.65881955;0.300771238
21;2.619369337;42.58228605;0.329956078
23;2.658179335;42.63565289;0.360006892
25;2.486376893;42.58803754;0.355181773
27;2.465740496;42.54588727;0.376010345
29;2.58884909;42.53868286;0.379112413
31;2.485792352;42.45226725;0.409874674
33;2.453508127;42.38878966;0.449323412
35;2.497153886;42.43222732;0.491789696
37;2.474648933;42.34973893;0.50594777
39;2.317020355;42.33879031;0.536865299
41;2.289679759;42.3473928;0.502352422
43;2.5234522;42.34151315;0.476618132
45;2.587998539;42.22748426;0.470490337
47;2.761219499;42.37930222;0.511791552
49;2.762642911;42.19817971;0.534543164
51;2.780787729;42.27925013;0.58405415
53;2.601205907;42.15881732;0.679802614
55;2.947425633;42.17065914;0.725685768
57;2.974571198;42.12956616;0.838420719
59;3.547712564;42.09882616;0.953924962
61;3.697500817;41.84973476;1.053965613
63;3.891538962;41.99117353;1.101986977
65;3.552343163;42.13541765;1.19418932
67;3.777188537;42.03645052;1.277934997
69;3.892700389;41.99330655;1.266281963
71;4.208683125;41.99232305;1.285261656
73;4.196649368;41.94056689;1.420204949
75;4.227702402;41.829539;1.441584249
77;3.877472116;41.91402255;1.383769355
79;3.900499677;41.96499569;1.45628088
81;4.225993382;41.88180972;1.542868804
83;4.409143481;41.8887185;1.590498539
85;4.452236571;41.7424865;1.680003643
87;4.060828502;41.66410299;1.756681632
89;3.862156044;41.72778398;1.879379027
91;3.535787233;41.62033426;1.963940033
93;3.683186142;41.59757926;1.920566852
95;4.312733017;41.54256629;1.981246608
97;4.081064897;41.57889225;1.78343519
99;4.441372227;41.50581654;1.392752252
101;11.77020904;41.45072055;0.990426655
103;23.38535096;41.50343303;0.628008699
105;31.5903531;41.48093628;0.224121042
107;35.48467238;41.28336269;0.083914904
109;37.12642859;41.19862088;0.056019754
111;37.23359171;41.49712182;0.042565789
113;37.50344359;41.16937895;0.04032122
115;38.8285445;41.01232649;0.047022307
117;39.46325953;40.94707267;0.040021273
119;40.00863076;40.88052127;0.035392225
121;41.93750135;40.73485141;0.034088187
123;41.13767893;40.74724518;0.046574597
125;39.56988374;40.95252999;0.045349693
127;41.16633935;40.58294121;0.050993933
129;41.49406688;40.42241883;0.073377237
131;41.37542712;40.26593627;0.0950577
133;41.22950543;40.25291726;0.108846383
135;41.32170917;40.18363332;0.146394643
137;40.88012093;40.16328173;0.194983956
139;41.80662625;40.09457741;0.222207932
141;41.07113249;40.01738905;0.272801557
143;40.4732666;39.92800013;0.302782186
145;39.8542912;39.87185511;0.348087082
147;37.66358767;39.84062627;0.396486016
149;36.25273486;39.76002478;0.414905931
151;35.82700267;39.78597203;0.402296524
153;35.63526466;39.72089201;0.429511885
155;34.05325736;39.61280733;0.398892938
157;32.70614817;39.58742222;0.35582132
159;32.71789659;39.51169698;0.345633923
161;31.75604581;39.54673507;0.322072496
163;32.89392835;39.35009012;0.289531394
165;31.09999704;39.4689768;0.270708393
167;30.74083913;39.28871011;0.236581855
169;29.84796045;39.39865354;0.215483563
171;28.51065752;39.33935219;0.221177458
173;28.2594485;39.20275374;0.203072072
175;27.15734222;39.14555046;0.194131041
177;25.40386372;39.10735701;0.184375358
179;24.68597192;39.08641562;0.174380864
181;23.55148758;39.17662299;0.141488478
183;23.17435875;39.04274738;0.126408221
185;21.9596225;39.00586947;0.112425362
187;21.30018348;38.95638566;0.10123101
189;20.24876627;38.93985109;0.094061479
191;19.33564282;38.9658163;0.096507341
193;18.92863945;38.95060698;0.094643829
195;17.89945294;38.86625159;0.09020115
197;17.03404112;38.77509712;0.102586538
199;16.93730707;38.78644234;0.089505502
201;16.1710512;38.76817863;0.082490911
203;15.34968574;38.82306344;0.071208319
205;14.89968677;38.7358925;0.060977164
207;14.21854673;38.73213859;0.048906767
209;13.62902849;38.61457619;0.047339509
211;13.59297555;38.71333119;0.03824338
213;13.22157822;38.64733174;0.027915978
215;12.14516694;38.55765738;0.024244541
217;12.37735497;38.54182281;0.01547294
219;11.85513866;38.5038682;0.011251376
221;11.16561068;38.52227948;0.019942369
223;11.22077487;38.53920046;0.026690078
225;10.99133875;38.48159233;0.030655264
227;10.62182892;38.52939166;0.032712674
229;10.50816775;38.46274803;0.035587343
231;10.21250931;38.38588249;0.024623568
233;9.660732077;38.45419118;0.020011762
235;9.341104403;38.40927196;0.016844426
237;8.956917645;38.41418559;0.022690976
239;8.916062233;38.43395901;0.016525653
241;9.134468992;38.32779717;0.018348229
243;8.621696567;38.28439543;0.020990958
245;8.042375935;38.267723;0.017987388
247;7.910864467;38.36149107;0.007803835
249;7.814568407;38.28894012;0.00750862
251;7.855226533;38.24641315;0.006437884
253;7.644882643;38.17551852;0.007320797
255;7.349984932;38.2312315;0.012306416
257;6.889776653;38.20830271;0.012306416
259;6.580242798;38.23974272;0.01291141
261;6.819027119;38.12683617;0.022322504
263;6.886040317;38.14715232;0.026081768
265;6.61569169;38.08031549;0.025946556
267;6.117448461;38.43035122;0.031968673
269;5.837696479;38.65946774;0.03136368
271;5.95553138;38.14441007;0.03062614
273;6.054815631;38.06803191;0.026308654
275;5.850796047;38.07313874;0.029472732
277;5.912064787;38.03522976;0.040713641
279;5.744942767;38.05366872;0.047754824
281;6.00707479;38.10756906;0.049393051
283;6.374949412;38.01191456;0.059641701
285;6.477657342;37.99666932;0.053587671
287;6.320342016;37.92842471;0.045925324
289;6.315232259;37.96463999;0.048191532
291;6.110015754;37.92513003;0.048258799
293;6.275180666;37.98985035;0.039378071
295;6.064564646;37.84203484;0.047220934
297;5.858179758;37.80860744;0.045930389
299;5.457700214;37.71572286;0.042676657
301;5.008189195;37.94519763;0.048785858
303;5.028727631;37.81335553;0.049334627
305;5.027917957;37.52414736;0.05358658
307;4.773608406;37.71293498;0.054431933
309;4.485819288;37.86780685;0.065629469
311;4.346601593;37.71870395;0.060047977
313;4.608778169;37.69881159;0.066415374
315;4.884356558;37.86054806;0.062886153
317;4.778007478;37.60433526;0.079151743
319;4.44175032;37.6815042;0.08058253
321;4.075695196;37.64923603;0.086396773
323;3.948352928;37.73254287;0.098553435
325;4.047868179;37.60973626;0.098175933
327;3.72357643;37.79215588;0.098864374
329;3.841717402;37.5981425;0.094416021
331;3.583328894;37.63741265;0.083845393
333;3.475218379;37.57024426;0.075337551
335;3.917017415;37.58208609;0.078738156
337;3.784976494;37.62540529;0.059915366
339;3.675629614;37.48931171;0.058030283
341;3.531708856;37.4798898;0.068223928
343;3.406337174;37.52294202;0.060103975
345;3.449686803;37.50596618;0.068997502
347;3.411111917;37.4808568;0.075050016
349;3.563502151;37.3931242;0.074049876
351;3.623178308;37.34669574;0.069262894
353;3.365977293;37.43656234;0.061306114
355;3.229750753;37.42304623;0.048074262
357;3.189635959;37.36622063;0.043329968
359;3.463102282;37.34448748;0.036881401
361;3.311729979;37.34728507;0.038941619
363;3.079552694;37.34115687;0.045049031
365;3.041090612;37.32919515;0.03636359
367;3.082072012;37.35769145;0.039452897
369;3.118153473;37.29223472;0.049197051
371;3.143413044;37.28371476;0.039461039
373;2.896864614;37.24138099;0.042142657
375;2.81618398;37.22817702;0.048019674
377;2.716894015;37.32489852;0.039261834
379;2.509618588;37.28722012;0.039881576
381;2.649566143;37.19728896;0.043591572
383;3.008534383;37.20012296;0.039082699
385;2.755143457;37.16940043;0.037684107
387;2.54070981;37.2303484;0.034985599
389;2.574924941;37.18452674;0.019721862
391;2.640663851;37.20191715;0.016970679
393;2.646148503;37.15057507;0.023140366
395;2.867361946;37.07111485;0.024789466
397;2.742523928;36.96726225;0.026685979
399;2.777027311;36.96450204;0.026685979
401;2.474020943;37.20245016;0.0216461
403;2.483802305;37.18499519;0.01052237
405;2.616592405;37.01876889;0.004035754
407;2.803049223;37.01351497;0.006598384
409;2.880027398;36.94451647;0.014256421
411;2.568166251;36.94417666;0.023198738
413;2.367614734;37.0456278;0.025931955
415;2.299029324;36.98575654;0.025765658
417;2.298373712;36.91916874;0.029445567
419;2.405088273;36.89685597;0.031548822
421;2.408227079;36.83114244;0.032953961
423;2.387200284;36.86246255;0.045296017
425;2.436044774;36.85659212;0.045296017
427;2.401807684;36.89646956;0.038208164
429;2.381801405;36.85278239;0.028446873
431;2.9371002;36.82612736;0.020574184
433;2.607676733;36.90899197;0.008723634
435;2.854161749;36.73369279;0.020607718
437;2.89157078;36.78197077;0.027986028
439;2.980651667;36.78326787;0.037543354
441;2.718883467;36.83744394;0.04064329
443;2.857072558;36.86735627;0.041580341
445;2.790721313;36.73486076;0.029696257
447;2.866757436;36.76590562;0.028713631
449;3.345699626;36.68366626;0.030310878
