Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seats, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 12:25:46
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;201;186.97;21.21;;;40.66;13.90;13.31;;729.92;;50.58;0.0088;Flashing from 175s. Melting of the surface. Shrinkage. End flame at 552s.
;2011-09-16;c_LSFIRE_F1A-2-2_20a;28.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;2.422232409;40.66;0
3;3.123210505;40.6317844;0
5;4.606603873;40.63512126;0
7;6.496333117;40.63128684;0
9;7.230709164;40.66470326;0
11;6.630956652;40.65544641;0
13;5.646597895;40.6234902;0
15;4.254840549;40.64322755;0
17;3.373722932;40.6365924;0
19;2.599045877;40.62286368;0
21;2.42077394;40.570958;0
23;2.047984795;40.58330663;0
25;2.020533194;40.64063078;0
27;1.766335141;40.64218467;0
29;1.565283052;40.66522414;0.009956857
31;1.410018286;40.55554286;0.04794212
33;1.666021579;40.59399553;0.093930085
35;1.852681193;40.61039224;0.135623243
37;1.748663543;40.58044204;0.209840611
39;1.46495577;40.50663817;0.298697434
41;1.385129879;40.63287199;0.355919843
43;1.019213761;40.56443175;0.427451662
45;1.135984771;40.42497552;0.492959462
47;1.143262785;40.51728387;0.525945284
49;0.965440102;40.53826265;0.53838089
51;0.774609723;40.57597017;0.58712415
53;0.71130478;40.55402489;0.62780147
55;1.218592725;40.48045014;0.623198874
57;1.682866331;40.55927735;0.666455316
59;1.308365322;40.48105743;0.703803419
61;1.418940738;40.44865771;0.727900641
63;1.436313864;40.48303511;0.714125607
65;1.628215586;40.48143364;0.715906289
67;1.695471172;40.42421046;0.710857798
69;1.449917944;40.41351962;0.69572812
