Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seats, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 12:28:02
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;246;222.00;56.60;;;39.72;26.05;19.01;;789.68;;66.79;0.0088;Melting of the surface. Shrinkage. End flame at 1013s.
;2011-09-16;c_LSFIRE_F1A-2-2_20b;28.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;5.729939253;39.72;0
3;6.956267517;39.59751876;0
5;7.125052152;39.69650581;0
7;6.531743555;39.68220717;0
9;6.412558642;39.67628059;0
11;5.880332218;39.7008657;0
13;4.98330482;39.69553782;0
15;4.047858385;39.65164791;0
17;3.065464685;39.64074444;0
19;2.497866452;39.57559985;0
21;2.80383696;39.7904852;0
23;2.579091766;39.64083522;0
25;2.565478162;39.65623774;0
27;2.181955641;39.70060453;0
29;1.912917947;39.66157321;0
31;1.820187974;39.67007764;0.000210317
33;1.653481522;39.56412405;0.000652428
35;1.16864716;39.67962818;0.012531943
37;0.956114887;39.7015272;0.030693906
39;1.312641303;39.65275116;0.046663507
41;1.417404882;39.78770639;0.064741932
43;1.527337412;39.67772268;0.093421804
45;1.825870395;39.71880741;0.132028039
47;1.572569148;39.69677959;0.141913604
49;1.908740635;39.70892482;0.167701416
51;1.907651145;39.71597389;0.196162164
53;1.39084221;39.70320342;0.231086934
55;1.133238191;39.64619141;0.261451013
57;1.479726268;39.77020531;0.281347795
59;1.46596443;39.70931899;0.310412086
61;1.243389802;39.57934049;0.396340199
63;1.319807408;39.57426133;0.435506805
65;1.043592533;39.568788;0.439323998
67;1.280190078;39.61841987;0.451327215
69;1.663752182;39.61972716;0.466980327
71;1.648119919;39.63705251;0.411845719
73;1.58435507;39.70004418;0.36663199
75;1.54231921;39.60322754;0.358989444
77;1.177860937;39.60366929;0.354296533
79;1.239593484;39.5710419;0.357440335
81;1.284148598;39.51867748;0.39754675
83;0.992181538;39.47038057;0.427204369
85;0.709968357;39.50743518;0.43597617
87;1.108309755;39.47446604;0.479762472
89;0.93378125;39.4773646;0.44533286
91;0.89116336;39.51065462;0.411007809
93;0.660784507;39.51321191;0.425556143
95;0.565966618;39.33699671;0.449358713
97;0.544675485;39.19973321;0.436578433
99;1.071013021;39.36810613;0.477592142
101;0.831595794;39.60323531;0.517214636
103;0.600943046;39.29676053;0.533536131
105;0.637105545;39.38115524;0.533380153
107;0.409252142;39.33280348;0.536495789
109;0.648616598;39.34376229;0.537787406
111;0.73586797;39.23356789;0.572565186
113;0.646870857;39.25151801;0.59449458
115;0.192955438;39.13076918;0.611962517
117;0.662231037;39.28039926;0.625163359
119;0.706096811;39.28183471;0.667240872
121;0.324619769;39.21354301;0.643468797
123;0.326970843;39.1441547;0.620686427
125;0.06715478;38.80356174;0.671250026
127;0.090985981;38.80552146;0.710153656
129;0.594923601;39.22243869;0.765312323
131;0.606186508;39.0986913;0.791947883
133;0.847118139;39.07664553;0.853433082
135;1.410715749;39.05153614;0.866581366
137;1.263797121;38.84072606;0.902470101
139;1.775400634;39.1199759;0.953135593
141;2.045954616;39.04676087;0.978948954
143;1.859858804;39.09603352;0.947957852
145;1.899179123;38.98338231;1.001813045
147;1.986982292;39.02012332;1.045955665
149;1.469411418;38.90861387;1.014305778
151;1.013109128;39.08801065;1.054197123
153;1.243074572;38.97373128;1.070943803
155;1.298162922;39.22188918;1.029949411
157;1.303047843;38.81938854;1.031928282
159;1.48291124;38.35694238;1.067812694
161;1.300001147;38.87275442;1.098618535
163;1.414647504;38.86654321;1.185172055
165;1.576687845;38.84362219;1.217062441
167;1.615312603;38.70438878;1.193080464
169;1.513750752;38.66430842;1.140355599
171;1.5028054;38.70069992;1.124266906
173;1.428322599;38.75474832;1.045688673
175;1.67999361;38.7517017;1.066459612
177;2.35081751;38.54502271;1.095026927
179;1.875194771;38.66072733;1.129215744
181;1.481869134;38.64023545;1.149213786
183;1.425832175;38.54008918;1.208542928
185;1.381213304;38.39676059;1.211183552
187;1.427365964;38.54698;1.27935757
189;1.778490042;38.52438277;1.312265881
