Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Foam;;;F1A-2-2;Upholstery for passenger seats, not vandalise protected;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 12:29:52
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
20;174;179.69;28.58;;;41.39;18.35;13.54;;788.13;;58.21;0.0088;Melting of the surface. Shrinkage. End flame at 651s.
;2011-09-16;c_LSFIRE_F1A-2-2_20c;28.0;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g);SPR (m2/(m2*s))
1;8.872645815;41.39;0
3;6.611418607;41.45198566;0
5;5.911695299;41.3570467;0
7;5.99215259;41.40305428;0
9;6.087491616;41.3034051;0
11;6.129116166;41.21380404;0
13;6.106471983;41.31937025;0
15;4.444317228;41.28983414;0
17;3.49757323;41.38404542;0
19;3.113007349;41.31531246;0
21;2.618762007;41.27454181;0
23;2.656130555;41.42405053;0.000290142
25;2.331678895;41.31225613;0.000290142
27;1.734235372;41.36259722;0.011172398
29;1.506151259;41.32418096;0.032235055
31;1.602104164;41.28685305;0.070374076
33;1.761281871;41.27341025;0.129517031
35;1.56492238;41.2762156;0.196416667
37;1.653982367;41.30575172;0.259419886
39;1.20087047;41.29041181;0.321067774
41;1.649844507;41.49399807;0.357817291
43;2.130585019;41.2609689;0.402047501
45;1.605701275;41.21673027;0.396215749
47;1.46422241;41.2534606;0.437723214
49;1.731723288;41.27522968;0.458237736
51;1.227592706;41.26416067;0.469012318
53;1.469900289;41.29625408;0.452433775
55;2.040678091;41.28760403;0.500256438
57;1.734559108;41.16901929;0.470060996
59;1.703920318;41.31955132;0.47764372
61;1.917363573;41.39032701;0.501626616
63;1.793309124;41.26368154;0.507114132
65;1.608740904;41.26285338;0.512130785
67;1.89124032;41.05396758;0.544509645
69;1.284878659;41.01121925;0.528234136
71;1.255774263;41.22885608;0.524551563
73;1.608220078;41.18635629;0.575073965
75;2.388589002;41.20507146;0.590808895
77;2.809964559;41.15513667;0.592789506
79;3.049622852;41.09416832;0.676705264
81;1.965181519;41.11793498;0.720845976
83;1.934052151;41.13665015;0.676115526
85;1.637224877;41.28323507;0.650853984
87;1.71446065;41.02398195;0.648697157
89;1.749857493;41.02740479;0.609639475
91;1.833493578;41.03409512;0.572967765
93;1.427013906;41.01690569;0.634745667
95;1.682153146;41.03654951;0.697052558
97;1.774944988;40.96754081;0.712945012
99;1.650885615;40.97756078;0.72844121
101;1.268064237;40.92668764;0.760628088
103;1.457021256;40.92939251;0.784316734
105;0.923276356;40.99384681;0.761064756
107;0.932308158;40.95196256;0.783110671
109;1.107481903;40.9135759;0.790849254
111;1.504439365;40.89077527;0.851302393
113;1.182476129;40.90260933;0.889601066
115;1.425966803;40.876948;0.941877433
117;1.159137228;40.92709347;1.018258537
119;1.157025412;40.80090771;1.034520109
121;1.284599857;40.84215749;1.012565507
123;1.397431158;40.74799183;1.012649886
125;1.284229233;40.77204247;1.004243145
127;1.204703476;40.7687575;0.996005914
129;0.875652392;40.77240121;1.068131053
131;1.34148631;40.76322688;1.150760723
133;1.391248505;40.69454926;1.161498088
135;1.046782735;40.66177429;1.18727446
137;0.895358323;40.65180918;1.186736304
139;1.088810031;40.76256474;1.147792176
141;0.90733279;40.73885294;1.164066899
