Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
;;;;X;;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 13:05:36
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;;;43.88;;;;13.13;;;;;97.69;;;;EX11-2_2;;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g)
0;4.167513565;67.9
5;2.738412567;69.259544
10;1.733610769;69.506902
15;0.383628271;69.603723
20;0.757883865;69.507755
25;1.801029218;69.501772
30;5.409690279;69.427508
35;78.55098439;69.409323
40;144.7935737;69.292278
45;175.4602216;69.100765
50;232.6898866;68.832966
55;263.5492867;68.514723
60;197.8769205;68.0349
65;114.8677394;67.713345
70;64.69484395;67.515381
75;34.09384192;67.417833
80;22.02430454;67.295093
85;13.26516633;67.300948
90;15.68793873;67.208462
95;19.48234328;67.115402
100;18.32728988;67.190375
105;12.03279548;67.09766
110;9.464684641;67.083731
115;7.256290345;67.094491
120;6.70734448;67.098421
125;6.180478189;67.002924
130;6.514339178;67.006877
135;6.220274076;67.00479
140;4.213332908;67.078335
145;3.857179375;66.996387
150;3.830908987;67.000731
155;4.988780297;66.986794
160;3.102168457;66.928693
165;2.259937834;66.908547
170;2.504556792;66.905223
175;3.529847566;66.908766
180;3.434380642;66.897631
185;8.679719725;66.899499
190;10.17258404;66.760434
195;12.65840438;66.770261
200;14.4396099;66.700739
205;17.75806613;66.685536
210;20.85413256;66.689317
215;23.74404556;66.690094
220;25.44570306;66.571847
225;26.52372622;66.574331
230;29.85545689;66.555085
235;36.50620446;66.449204
240;39.28805783;66.475784
245;44.34262445;66.362901
250;48.54299714;66.353756
255;59.81742951;66.360315
260;67.68034861;66.175129
265;74.45438432;66.074035
270;87.50291387;65.978415
275;99.99905178;65.879589
280;102.9801747;65.779886
285;107.3528001;65.85114
290;116.2367301;65.706234
295;128.7979547;65.401102
300;141.4966293;65.121073
305;162.1678002;64.993034
310;179.7482642;64.790558
315;199.5319718;64.496691
320;223.0652678;64.201372
325;233.8688065;63.962959
330;244.4792177;63.57939
335;261.6776681;63.196889
340;277.9934932;62.886645
345;262.495359;62.464896
350;283.8422592;62.113727
355;278.7065746;61.71492
360;284.7350367;61.300746
365;278.7208681;60.906343
370;276.6709867;60.429608
375;273.5919589;60.000417
380;272.1039544;59.605513
385;265.640226;59.208934
390;244.0292425;58.834953
395;214.5863106;58.504335
400;187.5562276;58.18667
405;159.3590783;57.876052
410;135.7197791;57.604955
415;115.7781523;57.50259
420;97.43354708;57.189165
425;78.41954634;57.116632
430;63.621055;56.980322
435;51.08206374;56.894171
440;41.34304889;56.891991
445;33.43413847;56.764972
450;22.14549823;56.776125
455;16.33139992;56.777776
460;12.30549629;56.76202
465;10.23435541;56.711495
470;6.96111091;56.766225
475;6.852102221;56.690357
480;5.313738261;56.690543
485;3.891854265;56.695137
490;2.523952698;56.688402
495;2.406008284;56.685841
500;2.377001685;56.681806
505;2.349330389;56.674945
510;2.436877242;56.679126
515;2.680150978;56.694658
520;2.852719202;56.693261
525;2.739607637;56.691647
530;1.534577466;56.598341
535;1.517031876;56.675159
540;1.621977154;56.600445
545;1.959742082;56.587326
550;2.37709784;56.691548
555;2.807035601;56.597454
560;3.521912196;56.670849
565;2.787941343;56.691747
570;2.799131274;56.599964
575;2.912267754;56.700176
580;1.990714499;56.586023
585;2.315297242;56.579844
590;3.631485132;56.584859
595;3.506288447;56.582385
600;2.974622197;56.55988
605;1.948340913;56.591562
610;2.01560729;56.579354
615;2.986054533;56.579143
620;3.492192856;56.492723
625;2.770068112;56.580066
630;1.391947244;56.511794
635;2.232691121;56.588783
640;2.102576887;56.590909
645;2.297584717;56.590904
650;2.252429545;56.586801
655;2.224781483;56.58467
660;2.049691974;56.588389
665;2.589019431;56.588154
670;2.464789;56.583826
675;2.277849326;56.58158
680;1.254267366;56.563891
685;1.85711682;56.48738
690;1.649560717;56.495713
695;1.826656389;56.495498
700;1.636957639;56.515198
705;1.332276942;56.568033
710;2.237676345;56.513825
715;1.126600012;56.490827
720;2.365031013;56.498466
725;1.449654184;56.590218
730;1.479184436;56.494422
735;1.487574511;56.493388
740;2.318518958;56.491099
745;1.864308706;56.492396
750;1.008567424;56.567711
755;1.137854957;56.485478
760;0.276693931;56.491282
765;1.563172618;56.586441
770;1.500434688;56.499325
775;2.383334333;56.503035
780;1.157957166;56.500318
