Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Fabric;Interliner;Foam;;F3;Mattresse upholstery;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 13:11:51
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;;;56.11;;;;22.59;;;;;67.49;;;;F3_3;;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g)
0;7.897886078;29.1
5;3.45276507;28.63174
10;0.377501794;28.509798
15;1.057582727;28.514297
20;-0.165271207;28.514216
25;-0.071623806;28.648066
30;7.90672424;28.449836
35;52.93753117;28.424042
40;81.41850276;28.236289
45;107.4122322;28.049223
50;126.40183;27.839726
55;141.4711688;27.546469
60;145.7962393;27.224507
65;150.2688289;27.005045
70;132.0605685;26.241372
75;97.29254239;25.937157
80;56.15151609;25.557074
85;24.99976008;25.405464
90;7.630672889;25.230972
95;-5.4888355;25.085119
100;-6.196347723;25.116566
105;-1.691818073;25.007525
110;0.480081057;24.923806
115;0.987497252;24.909542
120;5.914242258;24.828852
125;8.994137236;24.928478
130;5.942896827;24.813505
135;2.526606028;24.795871
140;0.849559459;24.810722
145;1.052622609;24.7266
150;-0.11485537;24.617253
155;0.698725359;24.611999
160;0.227224334;24.609814
165;-0.194975659;24.60192
170;0.829260627;24.71695
175;-0.116660869;24.611675
180;0.358070491;24.607542
185;0.265897763;24.608342
190;-0.779165494;24.606279
195;-0.664620761;24.597114
200;-0.455076404;24.596625
205;1.098608616;24.514897
210;0.415961015;24.507107
215;1.792562716;24.512571
220;1.49624011;24.502219
225;1.621306688;24.513735
230;2.518529493;24.508741
235;2.64301089;24.502035
240;2.745729174;24.422885
245;1.897389708;24.40176
250;1.997600219;24.328412
255;2.893427976;24.394813
260;2.522763995;24.380432
265;2.653003468;24.294388
270;2.643055562;24.28033
275;2.834852989;24.283474
280;2.224397812;24.280408
285;2.089767858;24.284704
290;2.951139255;24.163579
295;1.53296224;24.179944
300;3.386004732;24.17194
305;3.350983284;24.175194
310;3.685052671;24.170755
315;3.843792506;24.170519
320;3.804605435;24.076231
325;4.762460911;24.080155
330;5.442202118;24.076847
335;3.384873282;23.971213
340;3.400444899;23.983809
345;3.478306298;23.883374
350;4.147209666;23.884706
355;3.828818601;23.887769
360;3.645489295;23.887629
365;4.334350737;23.777316
370;5.453412083;23.693216
375;6.487336686;23.684531
380;6.69848671;23.687759
385;7.787924893;23.692746
390;7.871258707;23.642244
395;7.390873974;23.594525
400;9.392794477;23.580554
405;9.314728803;23.581926
410;9.094026467;23.49334
415;9.064213395;23.479467
420;8.197494884;23.468619
425;8.305487922;23.473226
430;10.16641719;23.392017
435;15.06104218;23.392337
440;13.92841707;23.294074
445;11.49271097;23.275466
450;19.65832748;23.278962
455;20.03479995;23.183554
460;16.7463737;23.096624
465;14.95644361;23.004045
470;14.60491247;22.985672
475;12.51257285;23.086292
480;8.094371512;22.988062
485;7.114758588;22.880883
490;10.91564603;22.882088
495;11.23906198;22.799719
500;13.31596054;22.862923
505;21.76584806;22.867191
510;24.15855141;22.800364
515;26.32360739;22.756307
520;27.99242872;22.678335
525;29.79689659;22.676702
530;26.41572666;22.502653
535;29.3019062;22.483618
540;36.34190715;22.412925
545;33.8954237;22.464922
550;30.11016886;22.389805
555;29.03336503;22.284299
560;28.96181746;22.200659
565;31.91331899;22.074028
570;33.45221436;22.077054
575;33.77517272;22.012819
580;35.91855334;21.881397
585;38.50854773;21.880519
590;40.75744762;21.787402
595;44.43673743;21.695187
600;47.46313135;21.586204
605;51.05404656;21.47626
610;56.32988973;21.470414
615;59.73558911;21.293178
620;62.92388586;21.282053
625;66.47965193;21.085683
630;74.94333606;20.903356
635;78.84587202;20.789666
640;82.8075425;20.667663
645;85.30896946;20.492987
650;83.29959236;20.383697
655;85.43780501;20.188917
660;88.16420864;20.077177
665;92.82854272;19.885977
670;94.8444902;19.794535
675;98.10205805;19.580153
680;102.4471915;19.398881
685;104.9324383;19.269789
690;109.4215414;19.061414
695;114.6368917;18.885283
700;116.0769813;18.683614
705;119.4527604;18.209324
710;120.0761827;18.097864
715;126.1234763;17.969687
720;126.2156087;17.769307
725;127.5307622;17.494127
730;129.7410462;17.274878
735;132.8409051;17.07524
740;132.375531;16.868884
745;135.6523152;16.580997
750;133.6398518;16.282035
755;131.633605;16.082309
760;130.903411;15.87596
765;131.1851881;15.606249
770;130.232277;15.36913
775;130.006916;15.248691
780;130.2111355;14.972869
785;129.2681904;14.744905
790;127.8412492;14.464527
795;129.0997558;14.262556
800;127.544925;14.039588
805;127.7336961;13.844976
810;125.0457295;13.650467
815;126.0235446;13.444809
820;123.6416749;13.169686
825;122.9968477;12.971211
830;119.3760393;12.84404
