Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polycarbonate;;;;IN3-2;Wall or ceiling strips;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 13:16:22
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
50;;;60.99;;;;60.38;;;;;282.50;;;;IN3-2_2;;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);Mass (g)
0;-2.95649909468658;62.5
5;-3.08427198565586;62.602552
10;-3.87842499269468;62.565271
15;-5.91377489536309;62.759022
20;-6.40073039560662;62.870699
25;-5.83992971598893;62.798524
30;-5.77470364544268;62.887114
35;-5.62964427486708;62.881176
40;-4.81759096584668;62.872436
45;-3.48950552557849;62.863084
50;-2.16614300928152;62.883333
55;-0.0788529682763991;62.885169
60;43.9848768423788;62.880191
65;118.539191906875;62.706208
70;158.714183773027;62.594747
75;162.39875328024;62.221823
80;164.182856983517;61.975928
85;165.573480292995;61.300538
90;168.714903205457;60.218537
95;179.938760690659;59.228994
100;189.299096405695;57.503918
105;213.826671286396;56.073201
110;232.17159621547;54.335239
115;262.913144867515;51.98825
120;281.056864529637;49.681687
125;309.691504324983;47.826555
130;356.834129387711;45.609927
135;432.992780312142;42.954493
140;510.25653112008;40.525562
145;658.194620395041;37.400447
150;773.154332059806;34.161967
155;880.737647489267;31.113523
160;908.931698799597;28.416483
165;849.010575064773;26.007954
170;780.309466588303;23.686132
175;753.3446585093;21.776034
180;617.308733577654;19.960965
185;415.93229759927;18.091115
190;293.699210986139;16.599603
195;223.770873543899;15.94214
200;156.490524804314;15.3189
205;111.645249593825;14.665382
210;91.2091974227184;14.114613
215;78.0016710869299;13.841157
220;65.2505799176704;13.63098
225;60.481130734375;13.334064
230;53.811695303989;13.033541
235;50.658932525748;12.718857
240;47.6092317289885;12.525914
245;41.9750326818007;12.234434
250;36.9178531003392;12.109129
255;32.1527007582397;11.930218
260;26.6073697053366;11.724542
265;23.9743713034234;11.34969
270;22.5422738032677;11.102288
275;19.8343720735913;10.81135
280;17.402667951058;10.315099
285;15.5245614229005;10.110273
290;13.9807363584107;10.001132
295;12.9616854933381;9.818222
300;12.276976614685;9.532496
305;11.4935749068544;9.399397
310;9.01520922912819;9.401788
315;7.88613909996664;9.219669
320;6.52469295573807;9.201378
325;5.56034918296786;9.12594
330;5.80235639009465;9.108904
335;5.12373944435376;9.115345
340;4.61527352084057;8.997098
345;2.65726905915668;8.916047
350;2.65102792933234;8.799393
355;1.99742273899109;8.7051
360;2.19731493259516;8.503007
