Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
FR-polyolefin;;;;E2A-1;Cable containment;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 15:32:12
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;19;252.3;68.60;;;25.04;24.7;24.56;;1943;;163.8;0.00884;Swell up approximately 100 mm. Touches the cone so the weight measurement is effected;2011-08-17;BRd6011d3;2.5;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
0;-0.909316105976624;0.0135852688650027;25.04
2;0.581948755260962;0.0109153778284463;24.990552
4;1.27851466138922;0.0137810712449458;24.882472
6;2.15511729253295;0.00767874062312286;24.839533
8;2.37023230304441;0.0177670658124518;24.745934
10;1.70513053532756;0.0774947834021799;24.838684
12;2.68616291918579;0.164946021779498;24.841387
14;4.02382160627351;0.242401288078015;24.926163
16;23.2759043398022;0.373063170089797;24.857307
18;60.9571467085562;0.610954830360368;24.838211
20;85.5524613611504;1.59796389195225;24.753153
22;90.0523386016824;10.4094183714538;24.974524
24;89.8802177899375;4.47404592274071;24.660907
26;86.001819295923;4.84908402667081;24.640214
28;84.7694505390236;4.25269941663963;24.534909
30;85.5060142906502;3.87802421458275;24.43728
32;88.1945761560959;5.08906868534513;24.333313
34;87.7986984483024;5.51108146695976;24.155442
36;90.7856743743178;5.19246923759536;24.057884
38;95.8819023927436;5.27678788554011;23.952256
40;101.663526578609;5.07713492638505;23.858065
42;110.710211843099;6.11666418139332;23.56854
44;118.812872094363;5.64457364918054;23.638648
46;123.197621286019;7.35798525366912;23.459176
48;128.443235833665;9.95696209557047;23.459741
50;135.123295657351;8.51507386612605;23.354447
52;134.86045678545;7.45303729269133;23.261035
54;143.435837553767;7.79276502733433;23.243741
56;151.308491416769;7.04249673755094;23.062736
58;157.375107194476;7.98898644009818;22.93205
60;159.794407823441;7.34136157100528;22.680625
62;163.085645117515;8.05932344419034;22.553792
64;158.575998224083;8.11733618545645;22.4396
66;158.360411827719;8.91919916264548;22.326646
68;154.607714887944;7.50081278970803;22.058883
70;156.077351598339;8.72410889877927;21.862985
72;151.825571358902;7.8315880153879;21.758101
