Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
MDF board;;;;Medium density fibre board (M25);;;ISO 5660;SBI Project;C000405_m25;;1;2003-08-12 11:11:36
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);Area (m2);Thickness (mm);Density (kg/m3)
50;30;361;130.97;188.61;159.68;82.5;12.16;NA;NA;63.65;0.0088;12;700
VectorData
Time (s);HRR (kW/m2);SEA (m2/kg);SPR (m2/s)
0; 2.9; 0; 0.0000
5; 4.7; 0; 0.0000
10; 4.4; 1; 0.0000
15; 1.5; 82; 0.0013
20; 0.2; 121; 0.0025
25; 0.0; 196; 0.0042
30; 7.8; 220; 0.0058
35; 67.7; 6; 0.0005
40; 149.8; 29; 0.0043
45; 203.8; 50; 0.0079
50; 228.0; 55; 0.0092
55; 235.8; 70; 0.0115
60; 239.3; 80; 0.0143
65; 236.2; 93; 0.0166
70; 237.1; 109; 0.0186
75; 233.7; 119; 0.0207
80; 232.3; 118; 0.0207
85; 226.6; 112; 0.0199
90; 221.3; 111; 0.0191
95; 217.0; 108; 0.0183
100; 212.3; 113; 0.0185
105; 207.7; 106; 0.0168
110; 203.1; 105; 0.0170
115; 200.3; 97; 0.0157
120; 197.5; 89; 0.0145
125; 191.1; 79; 0.0132
130; 184.8; 71; 0.0116
135; 180.9; 71; 0.0109
140; 176.3; 62; 0.0098
145; 175.1; 60; 0.0093
150; 170.9; 61; 0.0092
155; 167.9; 62; 0.0094
160; 167.7; 59; 0.0087
165; 167.0; 57; 0.0085
170; 165.8; 57; 0.0085
175; 163.1; 47; 0.0069
180; 162.0; 50; 0.0073
185; 161.0; 52; 0.0074
190; 157.3; 48; 0.0068
195; 155.9; 51; 0.0069
200; 152.9; 49; 0.0066
205; 151.8; 51; 0.0069
210; 149.0; 46; 0.0061
215; 147.7; 46; 0.0059
220; 144.2; 37; 0.0047
225; 140.7; 40; 0.0050
230; 139.7; 36; 0.0045
235; 135.6; 39; 0.0046
240; 132.5; 39; 0.0042
245; 129.7; 33; 0.0039
250; 126.3; 32; 0.0036
255; 122.4; 23; 0.0025
260; 119.9; 31; 0.0035
265; 117.3; 23; 0.0024
270; 114.7; 25; 0.0026
275; 112.2; 16; 0.0016
280; 110.6; 31; 0.0030
285; 108.7; 24; 0.0024
290; 106.8; 18; 0.0018
295; 104.4; 28; 0.0026
300; 103.3; 24; 0.0022
305; 101.8; 21; 0.0019
310; 101.1; 18; 0.0018
315; 99.8; 23; 0.0021
320; 99.1; 22; 0.0019
325; 98.8; 14; 0.0013
330; 98.7; 24; 0.0021
335; 98.2; 19; 0.0017
340; 98.9; 8; 0.0007
345; 98.6; 16; 0.0014
350; 99.5; 16; 0.0014
355; 100.1; 12; 0.0011
360; 102.0; 13; 0.0012
365; 103.1; 15; 0.0013
370; 105.6; 15; 0.0014
375; 107.6; 18; 0.0017
380; 109.9; 20; 0.0017
385; 112.2; 13; 0.0011
390; 115.9; 20; 0.0019
395; 118.4; 21; 0.0022
400; 123.6; 18; 0.0018
405; 129.8; 32; 0.0033
410; 133.7; 27; 0.0030
415; 140.0; 42; 0.0047
420; 145.3; 40; 0.0047
425; 151.2; 42; 0.0052
430; 159.5; 45; 0.0056
435; 167.4; 51; 0.0069
440; 176.7; 50; 0.0072
445; 186.3; 65; 0.0093
450; 195.3; 57; 0.0089
455; 205.4; 67; 0.0110
460; 216.9; 69; 0.0117
465; 226.3; 69; 0.0124
470; 236.9; 77; 0.0142
475; 249.9; 73; 0.0146
480; 262.1; 80; 0.0164
485; 272.6; 85; 0.0180
490; 285.8; 84; 0.0185
495; 294.8; 87; 0.0195
500; 308.7; 92; 0.0216
505; 318.8; 84; 0.0201
510; 330.7; 85; 0.0209
515; 339.0; 91; 0.0231
520; 348.8; 98; 0.0250
525; 353.4; 100; 0.0257
530; 360.9; 115; 0.0292
535; 358.3; 119; 0.0297
540; 352.1; 121; 0.0289
545; 335.1; 115; 0.0251
550; 306.6; 140; 0.0262
555; 262.6; 151; 0.0217
560; 214.5; 134; 0.0138
565; 175.7; 148; 0.0106
570; 146.5; 82; 0.0049
575; 122.7; 75; 0.0038
580; 108.9; 85; 0.0038
585; 98.2; 84; 0.0031
590; 92.1; 89; 0.0026
595; 87.2; 85; 0.0025
600; 83.6; 38; 0.0012
605; 81.1; 26; 0.0008
610; 77.4; 4; 0.0001
615; 74.6; 23; 0.0007
620; 73.0; 0; 0.0000
625; 70.3; 0; 0.0000
630; 68.4; 0; 0.0000
635; 66.9; 0; 0.0000
640; 65.6; 0; 0.0000
645; 65.3; 0; 0.0000
650; 63.8; 0; 0.0000
655; 63.1; 0; 0.0000
660; 63.1; 0; 0.0000
665; 61.3; 0; 0.0000
670; 60.8; 0; 0.0000
675; 60.0; 0; 0.0000
680; 59.1; 0; 0.0000
685; 57.5; 0; 0.0000
690; 58.3; 0; 0.0000
695; 58.3; 0; 0.0000
700; 57.3; 0; 0.0000
705; 55.6; 0; 0.0000
710; 55.3; 0; 0.0000
715; 55.4; 0; 0.0000
720; 55.9; 0; 0.0000
725; 54.8; 0; 0.0000
730; 53.9; 0; 0.0000
735; 52.5; 0; 0.0000
740; 52.2; 0; 0.0000
745; 50.9; 0; 0.0000
750; 51.3; 0; 0.0000
755; 50.9; 0; 0.0000
760; 50.7; 0; 0.0000
765; 51.1; 0; 0.0000
770; 51.2; 0; 0.0000
775; 50.4; 0; 0.0000
780; 50.0; 0; 0.0000
785; 50.1; 0; 0.0000
790; 50.2; 0; 0.0000
795; 49.4; 0; 0.0000
800; 48.7; 0; 0.0000
805; 49.5; 0; 0.0000
810; 49.0; 0; 0.0000
815; 49.1; 0; 0.0000
820; 49.5; 0; 0.0000
825; 47.8; 0; 0.0000
830; 48.1; 0; 0.0000
835; 48.9; 0; 0.0000
840; 47.8; 0; 0.0000
845; 47.7; 0; 0.0000
850; 47.1; 0; 0.0000
855; 47.6; 0; 0.0000
860; 47.2; 0; 0.0000
865; 46.7; 0; 0.0000
870; 47.5; 0; 0.0000
875; 47.6; 0; 0.0000
880; 47.5; 0; 0.0000
885; 46.9; 0; 0.0000
