Keywords
Material1;Material2;Material3;Material4;Product;Object;Scenario;Method;Reference;Comment;Owner;IsPublic;ImportDate
Polyester wool;;;;IN14-1;Air Filter;;ISO 5660;TRANSFEU;;TRANSFEU;1;2011-11-09 15:43:54
Scalars
Flux (kW/m2);tig (s);qmax (kw/m2);qtotal (MJ/m2);q180 (kw/m2);q300 (kw/m2);Sample mass (g);Mass loss (g);DHc (MJ/kg);Peak smoke production (m2/m2s);Total smoke produced (m2/m2);Specific extinction area (avg) (m2/kg);MARHE (kW/m2);Area exposed (m2);Observations;Test date (YYYY-MM-DD);Test identifier;Product thickness (mm);Thickness1 (mm);Thickness2 (mm);Thickness3 (mm);Thickness4 (mm);Product density (kg/m3);Density1 (kg/m3);Density2 (kg/m3);Density3 (kg/m3);Density4 (kg/m3);Product area weight (kg/m2);Area weight1 (kg/m2);Area weight2 (kg/m2);Area weight3 (kg/m2);Area weight4 (kg/m2)
25;NI;;;;;1.68;;;;;;2.1;0.00884;Shrink to one corner;2011-08-16;BRD6011b1;10;;;;;;;;;;;;;;
VectorData
Time (s);HRR (kW/m2);SPR (m2/(m2*s));Mass (g)
0;2.26707006165561;0.180105143638024;1.68
2;1.94197327219635;0.172437534380951;1.189104
4;2.40905020254607;0.116130912544534;1.076391
6;1.83107657979417;0.0972199542386598;0.675535
8;1.35575168376451;0.0723330659783679;0.477686
10;1.86560525894313;0.0669246552140543;0.589252
12;1.97819423283064;0.081800611197749;0.678349
14;1.46860070782554;0.083477953512852;0.881841
16;1.06133799850693;0.51972956716741;1.03860328089888
18;-0.30666091511932;0.0743973691778512;1.073528
20;-1.39441464317055;0.0909270306396251;1.078362
22;-1.94855251418537;0.0938534924641317;1.078284
24;-2.4674711726113;0.0876083799965656;1.079093
26;-1.73285184111065;0.0608139742683755;1.087623
28;-0.798629714812116;0.0269958268645904;1.078995
30;-0.283097795223223;0.020858821283701;1.191039
32;-1.11324001943942;0.00781091021133538;1.189535
34;-0.462625166551834;-0.00714103434484588;1.087095
36;-0.898937572756399;0.00772479008119183;1.190276
38;-0.779481447067512;0.0204539517138697;1.075547
40;-0.164807311297506;0.0140736480561475;1.185906
42;-1.18856728956943;0.0339883526719776;1.179073
44;-1.13505792840999;0.0299162931288902;1.076547
46;-0.655808937533958;0.079125182976517;1.090477
48;-1.44271008273498;0.103598528395465;1.077775
50;-1.08286113367231;0.12869231883208;1.078323
52;0.397534074987993;0.150099265045845;1.001089
54;-0.527597795414125;0.181416703802641;1.075179
56;-0.494988541867997;0.166859845298433;1.078434
58;0.173162708646437;0.174087556764463;1.066638
60;-0.173818890957819;0.13888671653315;1.000989
62;-1.09903992816859;0.116738020789139;1.078696
64;0.644790513180068;0.10538155679334;1.076734
66;-0.123801273097488;0.0542971635479042;0.989471
68;0.640652943687063;0.0442763092798249;1.077448
70;1.30090752231403;0.0514914758242656;1.00357
72;1.25505435773663;0.075680185898551;1.063669
74;1.22183080058881;0.0844174840338238;1.003553
76;1.22294919766429;0.0838876841769402;1.062705
78;0.81496004309308;0.0863104790893073;1.080395
80;1.03402415682764;0.0475822740718169;0.98753
82;0.699404804954199;0.0257113505959263;1.00613
84;-0.233255922483007;0.0115526245129249;1.076009
86;0.414706016140451;0.00513775296974774;1.058059
88;-0.865819619555426;0.000789952878678322;1.076274
90;-1.29089715502336;-0.00163759451547478;1.062512
92;-0.680109945742899;-0.00991621262748457;0.987896
94;-1.56071360182851;-0.00765711977146481;1.008097
96;-1.55277462220032;-0.00288016953237999;1.055017
